ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Budżet Państwa
0001-0008-0001-0001;0001-0008-0001;d;Dysponent;Krajowa Rada Radiofonii i Telewizji;09;;3835
0001-0008-0002;0001-0008;c;Podzadanie 1.8.2;Kontrola programów radiowych, telewizyjnych i  usług na żądanie oraz organizowanie badań treści i odbioru tych programów i usług;;;4826
0001-0008-0002-0001;0001-0008-0002;d;Dysponent;Krajowa Rada Radiofonii i Telewizji;09;;4826
0001-0008-0003;0001-0008;c;Podzadanie 1.8.3;Działalność KRRiT w zakresie środków abonamentowych;;;2114
0001-0008-0003-0001;0001-0008-0003;d;Dysponent;Krajowa Rada Radiofonii i Telewizji;09;;2114
0001-0009;0001;b;Zadanie 1.9;Gromadzenie i zarządzanie dokumentami organów określonych w ustawie o IPN;;;247567
0001-0009-0001;0001-0009;c;Podzadanie 1.9.1;Udostępnianie dokumentów i informacji o zbiorach zgromadzonych w archiwach IPN;;;122459
0001-0009-0001-0001;0001-0009-0001;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;122459
0001-0009-0002;0001-0009;c;Podzadanie 1.9.2;Prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych oraz przeciwko ludzkości i innych;;;31231
0001-0009-0002-0001;0001-0009-0002;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;31231
0001-0009-0003;0001-0009;c;Podzadanie 1.9.3;Przygotowywanie i publikowanie informacji dotyczących funkcjonariuszy organów bezpieczeństwa państwa, osób rozpracowywanych, funkcjonariuszy państwowych i partyjnych w latach 1944-1990 oraz osób publicznych, prowadzenie rejestru oświadczeń lustracyjnych i jego analiza, przygotowanie postępowań lustracyjnych;;;28381
0001-0009-0003-0001;0001-0009-0003;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;28381
0001-0009-0004;0001-0009;c;Podzadanie 1.9.4;Prowadzenie działalności edukacyjnej i popularyzatorskiej;;;65496
0001-0009-0004-0001;0001-0009-0004;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;65496
0001-0010;0001;b;Zadanie 1.10;Ocena gospodarki finansowej jednostek samorządu terytorialnego z punktu widzenia kryteriów ustawowych;;;107595
0001-0010-0001;0001-0010;c;Podzadanie 1.10.1;Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników;;;50461
0001-0010-0001-0001;0001-0010-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;80;;48306
0001-0010-0001-0002;0001-0010-0001;d;Dysponent;Wojewodowie;85;;2155
0001-0010-0002;0001-0010;c;Podzadanie 1.10.2;Sprawowanie nadzoru nad jednostkami samorządu terytorialnego oraz działalność opiniodawcza;;;57134
0001-0010-0002-0001;0001-0010-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;80;;54978
0001-0010-0002-0002;0001-0010-0002;d;Dysponent;Wojewodowie;85;;2156
0002;;a;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;;;15764059
0002-0001;0002;b;Zadanie 2.1;Ochrona obywateli, utrzymanie porządku publicznego oraz działania na rzecz poprawy bezpieczeństwa;;;5829003
0002-0001-0001;0002-0001;c;Podzadanie 2.1.1;Bezpieczeństwo wewnętrzne państwa;;;642038
0002-0001-0001-0001;0002-0001-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;141341
0002-0001-0001-0002;0002-0001-0001;d;Dysponent;Agencja Bezpieczeństwa Wewnętrznego;57;;500697
0002-0001-0002;0002-0001;c;Podzadanie 2.1.2;Bezpieczeństwo najważniejszych osób, obiektów i urządzeń w państwie;;;200298
0002-0001-0002-0001;0002-0001-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;200298
0002-0001-0003;0002-0001;c;Podzadanie 2.1.3;Funkcjonowanie służby prewencyjnej;;;4263765
0002-0001-0003-0001;0002-0001-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;4263765
0002-0001-0004;0002-0001;c;Podzadanie 2.1.4;Funkcjonowanie służby ruchu drogowego;;;712756
0002-0001-0004-0001;0002-0001-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;712756
0002-0001-0005;0002-0001;c;Podzadanie 2.1.5;Działania na rzecz poprawy bezpieczeństwa powszechnego i porządku publicznego;;;10146
0002-0001-0005-0001;0002-0001-0005;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;9030
0002-0001-0005-0002;0002-0001-0005;d;Dysponent;Wojewodowie;85;;1116
0002-0002;0002;b;Zadanie 2.2;Redukowanie przestępczości;;;3015132
0002-0002-0001;0002-0002;c;Podzadanie 2.2.1;Funkcjonowanie służby kryminalnej;;;2907093
0002-0002-0001-0001;0002-0002-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;2907093
0002-0002-0003;0002-0002;c;Podzadanie 2.2.3;Zwalczanie korupcji;;;108039
0002-0002-0003-0001;0002-0002-0003;d;Dysponent;Centralne Biuro Antykorupcyjne;56;;108039
0002-0003;0002;b;Zadanie 2.3;Strzeżenie praworządności i czuwanie nad ściganiem przestępstw przez prokuraturę;;;1066093
0002-0003-0001;0002-0003;c;Podzadanie 2.3.1;Przygotowanie postępowania przygotowawczego i procesowego;;;1008780
0002-0003-0001-0001;0002-0003-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;40859
0002-0003-0001-0002;0002-0003-0001;d;Dysponent;Prokuratura Generalna;88;;967921
0002-0003-0002;0002-0003;c;Podzadanie 2.3.2;Zwalczanie przestępczości zorganizowanej;;;29682
0002-0003-0002-0001;0002-0003-0002;d;Dysponent;Prokuratura Generalna;88;;29682
0002-0003-0003;0002-0003;c;Podzadanie 2.3.3;Realizacja zadań Prokuratora Generalnego w postępowaniach przed SN, TK, NSA oraz innych przewidzianych w ustawach;;;27631
0002-0003-0003-0001;0002-0003-0003;d;Dysponent;Prokuratura Generalna;88;;27631
0002-0004;0002;b;Zadanie 2.4;Ochrona przeciwpożarowa, działalność zapobiegawcza, ratownicza i gaśnicza;;;2225298
0002-0004-0001;0002-0004;c;Podzadanie 2.4.1;Działalność ratownicza i gaśnicza;;;2093952
0002-0004-0001-0001;0002-0004-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;215932
0002-0004-0001-0002;0002-0004-0001;d;Dysponent;Wojewodowie;85;;1878020
0002-0004-0002;0002-0004;c;Podzadanie 2.4.2;Rozpoznawanie zagrożeń i działalność profilaktyczna;;;131346
0002-0004-0002-0001;0002-0004-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;1172
0002-0004-0002-0002;0002-0004-0002;d;Dysponent;Wojewodowie;85;;130174
0002-0005;0002;b;Zadanie 2.5;Zarządzanie kryzysowe i obrona cywilna;;;2131002
0002-0005-0001;0002-0005;c;Podzadanie 2.5.1;Koordynacja przedsięwzięć z zakresu zarządzania kryzysowego i przeciwdziałanie zagrożeniom terrorystycznym;;;25582
0002-0005-0001-0001;0002-0005-0001;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;40
0002-0005-0001-0002;0002-0005-0001;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;65
0002-0005-0001-0003;0002-0005-0001;d;Dysponent;Ministerstwo Środowiska;41;;81
0002-0005-0001-0004;0002-0005-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;6748
0002-0005-0001-0005;0002-0005-0001;d;Dysponent;Wojewodowie;85;;18648
0002-0005-0002;0002-0005;c;Podzadanie 2.5.2;Przeciwdziałanie i usuwanie skutków klęsk żywiołowych;;;2196
0002-0005-0002-0001;0002-0005-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;1542
0002-0005-0002-0002;0002-0005-0002;d;Dysponent;Wojewodowie;85;;654
0002-0005-0003;0002-0005;c;Podzadanie 2.5.3;Obrona cywilna;;;18822
0002-0005-0003-0001;0002-0005-0003;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;10
0002-0005-0003-0002;0002-0005-0003;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;71
0002-0005-0003-0003;0002-0005-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;1936
0002-0005-0003-0004;0002-0005-0003;d;Dysponent;Wojewodowie;85;;16805
0002-0005-0004;0002-0005;c;Podzadanie 2.5.4;System powiadomienia ratunkowego 112;;;2084402
0002-0005-0004-0001;0002-0005-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;479
0002-0005-0004-0002;0002-0005-0004;d;Dysponent;Wojewodowie;85;;2083923
0002-0006;0002;b;Zadanie 2.6;Ochrona granicy państwowej, kontrola ruchu granicznego i przeciwdziałanie nielegalnej migracji;;;1497531
0002-0006-0001;0002-0006;c;Podzadanie 2.6.1;Ochrona granicy państwowej;;;705842
0002-0006-0001-0001;0002-0006-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;705842
0002-0006-0002;0002-0006;c;Podzadanie 2.6.2;Kontrola ruchu granicznego;;;309685
0002-0006-0002-0001;0002-0006-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;309685
0002-0006-0003;0002-0006;c;Podzadanie 2.6.3;Zapobieganie nielegalnej migracji;;;261353
0002-0006-0003-0001;0002-0006-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;261353
0002-0006-0004;0002-0006;c;Podzadanie 2.6.4;Sprawne funkcjonowanie przejść granicznych;;;220651
0002-0006-0004-0001;0002-0006-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;224
0002-0006-0004-0002;0002-0006-0004;d;Dysponent;Wojewodowie;85;;220427
0003;;a;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;;;52368661
0003-0001;0003;b;Zadanie 3.1;Oświata i wychowanie;;;40384231
0003-0001-0001;0003-0001;c;Podzadanie 3.1.1;Zarządzanie i nadzór nad systemem oświaty;;;119707
0003-0001-0001-0001;0003-0001-0001;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;13921
0003-0001-0001-0002;0003-0001-0001;d;Dysponent;Wojewodowie;85;;105786
0003-0001-0002;0003-0001;c;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;;;1075882
0003-0001-0002-0001;0003-0001-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;669484
0003-0001-0002-0002;0003-0001-0002;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;56313
0003-0001-0002-0003;0003-0001-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;97542
0003-0001-0002-0004;0003-0001-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;168116
0003-0001-0002-0005;0003-0001-0002;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;1058
0003-0001-0002-0006;0003-0001-0002;d;Dysponent;Ministerstwo Sprawiedliwości;37;;41137
0003-0001-0002-0007;0003-0001-0002;d;Dysponent;Ministerstwo Środowiska;41;;39049
0003-0001-0002-0008;0003-0001-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;368
0003-0001-0002-0009;0003-0001-0002;d;Dysponent;Wojewodowie;85;;2815
0003-0001-0003;0003-0001;c;Podzadanie 3.1.3;Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej;;;83440
0003-0001-0003-0001;0003-0001-0003;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;6263
0003-0001-0003-0002;0003-0001-0003;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;55899
0003-0001-0003-0003;0003-0001-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;1582
0003-0001-0003-0004;0003-0001-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;33;;25
0003-0001-0003-0005;0003-0001-0003;d;Dysponent;Ministerstwo Środowiska;41;;249
0003-0001-0003-0006;0003-0001-0003;d;Dysponent;Wojewodowie;85;;19422
0003-0001-0004;0003-0001;c;Podzadanie 3.1.4;Egzaminowanie zewnętrzne;;;208624
0003-0001-0004-0001;0003-0001-0004;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;199809
0003-0001-0004-0002;0003-0001-0004;d;Dysponent;Ministerstwo Zdrowia;46;;6567
0003-0001-0004-0003;0003-0001-0004;d;Dysponent;Wojewodowie;85;;2248
0003-0001-0005;0003-0001;c;Podzadanie 3.1.5;Wspieranie dzieci i młodzieży ze specjalnymi potrzebami edukacyjnymi, w tym uczniów zdolnych;;;23783
0003-0001-0005-0001;0003-0001-0005;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;17159
0003-0001-0005-0002;0003-0001-0005;d;Dysponent;Wojewodowie;85;;6624
0003-0001-0006;0003-0001;c;Podzadanie 3.1.6;Edukacja pozalekcyjna i pozaszkolna;;;61355
0003-0001-0006-0001;0003-0001-0006;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;27834
0003-0001-0006-0002;0003-0001-0006;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;1119
0003-0001-0006-0003;0003-0001-0006;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;524
0003-0001-0006-0004;0003-0001-0006;d;Dysponent;Wojewodowie;85;;31878
0003-0001-0007;0003-0001;c;Podzadanie 3.1.7;Wspieranie działalności edukacyjno- wychowawczej;;;70413
0003-0001-0007-0001;0003-0001-0007;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;27430
0003-0001-0007-0002;0003-0001-0007;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;508
0003-0001-0007-0003;0003-0001-0007;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;40685
0003-0001-0007-0004;0003-0001-0007;d;Dysponent;Wojewodowie;85;;1790
0003-0001-0008;0003-0001;c;Podzadanie 3.1.8;Wspomaganie JST w finansowaniu zadań oświatowych poprzez część oświatową subwencji ogólnej;;;38713100
0003-0001-0008-0001;0003-0001-0008;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;584
0003-0001-0008-0002;0003-0001-0008;d;Dysponent;Ministerstwo Finansów;82;;38712516
0003-0001-0009;0003-0001;c;Podzadanie 3.1.9;Utrzymanie i rozbudowa infrastruktury systemu oświaty;;;27927
0003-0001-0009-0001;0003-0001-0009;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;19800
0003-0001-0009-0002;0003-0001-0009;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;220
0003-0001-0009-0003;0003-0001-0009;d;Dysponent;Ministerstwo Środowiska;41;;6857
0003-0001-0009-0004;0003-0001-0009;d;Dysponent;Wojewodowie;85;;1050
0003-0002;0003;b;Zadanie 3.2;Szkolnictwo wyższe;;;11984430
0003-0002-0001;0003-0002;c;Podzadanie 3.2.1;Zarządzanie systemem szkolnictwa wyższego;;;35793
0003-0002-0001-0001;0003-0002-0001;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;837
0003-0002-0001-0002;0003-0002-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;79
0003-0002-0001-0003;0003-0002-0001;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;34329
0003-0002-0001-0004;0003-0002-0001;d;Dysponent;Ministerstwo Zdrowia;46;;548
0003-0002-0002;0003-0002;c;Podzadanie 3.2.2;Kształcenie w szkolnictwie wyższym;;;9620851
0003-0002-0002-0001;0003-0002-0002;d;Dysponent;Ministerstwo Infrastruktury;21;;90692
0003-0002-0002-0002;0003-0002-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;412229
0003-0002-0002-0003;0003-0002-0002;d;Dysponent;Ministerstwo Obrony Narodowej;29;;274025
0003-0002-0002-0004;0003-0002-0002;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;7531478
0003-0002-0002-0005;0003-0002-0002;d;Dysponent;Ministerstwo Infrastruktury;39;;10162
0003-0002-0002-0006;0003-0002-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;64635
0003-0002-0002-0007;0003-0002-0002;d;Dysponent;Ministerstwo Zdrowia;46;;1237630
0003-0002-0003;0003-0002;c;Podzadanie 3.2.3;Wsparcie procesu studiowania;;;1795244
0003-0002-0003-0001;0003-0002-0003;d;Dysponent;Ministerstwo Infrastruktury;21;;12350
0003-0002-0003-0002;0003-0002-0003;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;29720
0003-0002-0003-0003;0003-0002-0003;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;1655240
0003-0002-0003-0004;0003-0002-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;1549
0003-0002-0003-0005;0003-0002-0003;d;Dysponent;Ministerstwo Zdrowia;46;;96385
0003-0002-0004;0003-0002;c;Podzadanie 3.2.4;Utrzymanie i rozbudowa infrastruktury szkolnictwa wyższego;;;532542
0003-0002-0004-0001;0003-0002-0004;d;Dysponent;Ministerstwo Infrastruktury;21;;1928
0003-0002-0004-0002;0003-0002-0004;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;21600
0003-0002-0004-0003;0003-0002-0004;d;Dysponent;Ministerstwo Obrony Narodowej;29;;35201
0003-0002-0004-0004;0003-0002-0004;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;439709
0003-0002-0004-0005;0003-0002-0004;d;Dysponent;Ministerstwo Zdrowia;46;;34104
0004;;a;FUNKCJA 4;ZARZĄDZANIE FINANSAMI PAŃSTWA;;;92997714
0004-0001;0004;b;Zadanie 4.1;Realizacja należności budżetu państwa;;;3386870
0004-0001-0001;0004-0001;c;Podzadanie 4.1.1;Pobór podatków i niepodatkowych należności budżetu państwa;;;2877325
0004-0001-0001-0001;0004-0001-0001;d;Dysponent;Ministerstwo Finansów;19;;2859265
0004-0001-0001-0002;0004-0001-0001;d;Dysponent;Wojewodowie;85;;18060
0004-0001-0002;0004-0001;c;Podzadanie 4.1.2;Pobór i egzekucja ceł oraz udogodnienia w handlu i podróżach przez granicę;;;509545
0004-0001-0002-0001;0004-0001-0002;d;Dysponent;Ministerstwo Finansów;19;;509545
0004-0002;0004;b;Zadanie 4.2;Działania kontrolne realizowane przez służby skarbowe i celne;;;1656069
0004-0002-0001;0004-0002;c;Podzadanie 4.2.1;Kontrole podatkowe oraz czynności sprawdzające;;;615596
0004-0002-0001-0001;0004-0002-0001;d;Dysponent;Ministerstwo Finansów;19;;615596
0004-0002-0002;0004-0002;c;Podzadanie 4.2.2;Kontrole wykonywane przez Służbę Celną;;;485980
0004-0002-0002-0001;0004-0002-0002;d;Dysponent;Ministerstwo Finansów;19;;485980
0004-0002-0003;0004-0002;c;Podzadanie 4.2.3;Kontrola skarbowa i wywiad skarbowy;;;554493
0004-0002-0003-0001;0004-0002-0003;d;Dysponent;Ministerstwo Finansów;19;;554493
0004-0003;0004;b;Zadanie 4.3;Kształtowanie polityki finansowej państwa oraz realizacja budżetu państwa;;;87749043
0004-0003-0001;0004-0003;c;Podzadanie 4.3.1;Zarządzanie i obsługa w zakresie budżetu państwa;;;28275784
0004-0003-0001-0001;0004-0003-0001;d;Dysponent;Ministerstwo Finansów;19;;183346
0004-0003-0001-0002;0004-0003-0001;d;Dysponent;Ministerstwo Finansów;81;;95000
0004-0003-0001-0003;0004-0003-0001;d;Dysponent;Ministerstwo Finansów;82;;11508600
0004-0003-0001-0004;0004-0003-0001;d;Dysponent;Ministerstwo Finansów;83;;16479435
0004-0003-0001-0005;0004-0003-0001;d;Dysponent;Wojewodowie;85;;9403
0004-0003-0002;0004-0003;c;Podzadanie 4.3.2;Spójność systemu finansów publicznych w zakresie przepisów krajowych, dostosowanie do przepisów międzynarodowych oraz współpraca międzynarodowa;;;41807
0004-0003-0002-0001;0004-0003-0002;d;Dysponent;Ministerstwo Finansów;19;;41807
0004-0003-0003;0004-0003;c;Podzadanie 4.3.3;Zarządzanie długiem publicznym;;;42744006
0004-0003-0003-0001;0004-0003-0003;d;Dysponent;Ministerstwo Finansów;78;;9905186
0004-0003-0003-0002;0004-0003-0003;d;Dysponent;Ministerstwo Finansów;79;;32838820
0004-0003-0004;0004-0003;c;Podzadanie 4.3.4;Środki własne UE;;;16687446
0004-0003-0004-0001;0004-0003-0004;d;Dysponent;Ministerstwo Finansów;84;;16687446
0004-0004;0004;b;Zadanie 4.4;Nadzór nad rynkiem kapitałowym, ubezpieczeniowym, emerytalnym i bankowym;;;205732
0004-0004-0001;0004-0004;c;Podzadanie 4.4.1;Nadzór nad podmiotami rynku kapitałowego;;;39089
0004-0004-0001-0001;0004-0004-0001;d;Dysponent;Komisja Nadzoru Finansowego;70;;39089
0004-0004-0002;0004-0004;c;Podzadanie 4.4.2;Nadzór nad działalnością zakładów ubezpieczeń;;;24688
0004-0004-0002-0001;0004-0004-0002;d;Dysponent;Komisja Nadzoru Finansowego;70;;24688
0004-0004-0003;0004-0004;c;Podzadanie 4.4.3;Nadzór nad działalnością rynku emerytalnego;;;16459
0004-0004-0003-0001;0004-0004-0003;d;Dysponent;Komisja Nadzoru Finansowego;70;;16459
0004-0004-0004;0004-0004;c;Podzadanie 4.4.4;Nadzór bankowy;;;125496
