ID;Rodzic;Poziom;Typ;Nazwa;Środki europejskie
0018-0003-0010-0001;0018-0003-0010;d;Podzadanie 4.10.1;Utrzymanie systemów informatycznych;20127
0018-0003-0010-0001-0001;0018-0003-0010-0001;e;Część 19;BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;20127
0018-0003-0010-0002;0018-0003-0010;d;Podzadanie 4.10.2;Budowa i wdrożenie rozwiązań informatycznych;9740
0018-0003-0010-0002-0001;0018-0003-0010-0002;e;Część 19;BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;9740
0018-0009;0018;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;4682
0018-0009-0003;0018-0009;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;4682
0018-0009-0003-0002;0018-0009-0003;d;Podzadanie 17.4.2;Zarządzanie realizacją zadań w ramach Szwajcarsko-Polskiego Programu Współpracy (SPPW);4682
0018-0009-0003-0002-0001;0018-0009-0003-0002;e;Część 19;BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;4682
0019;;a;Dysponent;Ministerstwo Gospodarki;1545544
0019-0001;0019;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;1545544
0019-0001-0001;0019-0001;c;Zadanie 6.1;Wzrost konkurencyjności gospodarki;1245544
0019-0001-0001-0001;0019-0001-0001;d;Podzadanie 6.1.1;Zmiana systemu stanowienia prawa i usprawnienie systemu oceny skutków regulacji;7892
0019-0001-0001-0001-0001;0019-0001-0001-0001;e;Część 20;GOSPODARKA;7892
0019-0001-0001-0002;0019-0001-0001;d;Podzadanie 6.1.2;Tworzenie warunków do zwiększania innowacyjności przedsiębiorstw;1095013
0019-0001-0001-0002-0001;0019-0001-0001-0002;e;Część 20;GOSPODARKA;1095013
0019-0001-0001-0003;0019-0001-0001;d;Podzadanie 6.1.3;Tworzenie warunków dla funkcjonowania przedsiębiorstw;22457
0019-0001-0001-0003-0001;0019-0001-0001-0003;e;Część 20;GOSPODARKA;22457
0019-0001-0001-0005;0019-0001-0001;d;Podzadanie 6.1.5;System wsparcia inwestorów;94093
0019-0001-0001-0005-0001;0019-0001-0001-0005;e;Część 20;GOSPODARKA;94093
0019-0001-0001-0007;0019-0001-0001;d;Podzadanie 6.1.7;Promocja gospodarcza Polski;4839
0019-0001-0001-0007-0001;0019-0001-0001-0007;e;Część 20;GOSPODARKA;4839
0019-0001-0001-0008;0019-0001-0001;d;Podzadanie 6.1.8;Intensyfikacja wymiany handlowej w zakresie produktu, usług i kapitału;21250
0019-0001-0001-0008-0001;0019-0001-0001-0008;e;Część 20;GOSPODARKA;21250
0019-0001-0002;0019-0001;c;Zadanie 6.2;Bezpieczeństwo gospodarcze państwa;300000
0019-0001-0002-0001;0019-0001-0002;d;Podzadanie 6.2.1;Dywersyfikacja źródeł energii i tworzenie nowych zdolności przesyłowych i transportowych energii elektrycznej, gazu ziemnego i ropy naftowej oraz rozbudowa podziemnych magazynów gazu ziemnego;96332
0019-0001-0002-0001-0001;0019-0001-0002-0001;e;Część 20;GOSPODARKA;96332
0019-0001-0002-0003;0019-0001-0002;d;Podzadanie 6.2.3;Wspieranie bezpieczeństwa energetycznego;203668
0019-0001-0002-0003-0001;0019-0001-0002-0003;e;Część 20;GOSPODARKA;203668
0020;;a;Dysponent;Ministerstwo Infrastruktury;7719740
0020-0002;0020;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;191
0020-0002-0001;0020-0002;c;Zadanie 6.3;Wspieranie i regulacja rynku telekomunikacyjnego i pocztowego;191
0020-0002-0001-0001;0020-0002-0001;d;Podzadanie 6.3.1;Regulacja rynku usług telekomunikacyjnych i pocztowych;191
0020-0002-0001-0001-0001;0020-0002-0001-0001;e;Część 26;ŁĄCZNOŚĆ;191
0020-0008;0020;b;FUNKCJA 19;INFRASTRUKTURA TRANSPORTOWA;7719549
0020-0008-0001;0020-0008;c;Zadanie 19.1;Wspieranie transportu drogowego;6602
0020-0008-0001-0003;0020-0008-0001;d;Podzadanie 19.1.3;Zapewnienie bezpieczeństwa użytkownikom sieci drogowej;6602
0020-0008-0001-0003-0001;0020-0008-0001-0003;e;Część 39;TRANSPORT;6602
0020-0008-0002;0020-0008;c;Zadanie 19.2;Wspieranie transportu kolejowego;2738828
0020-0008-0002-0001;0020-0008-0002;d;Podzadanie 19.2.1;Budowa, rozbudowa i modernizacja infrastruktury kolejowej;2629395
0020-0008-0002-0001-0001;0020-0008-0002-0001;e;Część 39;TRANSPORT;2629395
0020-0008-0002-0004;0020-0008-0002;d;Podzadanie 19.2.4;Zakup i modernizacja taboru kolejowego;109433
0020-0008-0002-0004-0001;0020-0008-0002-0004;e;Część 39;TRANSPORT;109433
0020-0008-0003;0020-0008;c;Zadanie 19.3;Wspieranie transportu morskiego i żeglugi śródlądowej;163199
0020-0008-0003-0001;0020-0008-0003;d;Podzadanie 19.3.1;Bezpieczeństwo żeglugi morskiej, ochrona brzegów i środowiska morskiego;95802
0020-0008-0003-0001-0001;0020-0008-0003-0001;e;Część 21;GOSPODARKA  MORSKA;95802
0020-0008-0003-0002;0020-0008-0003;d;Podzadanie 19.3.2;Wspieranie infrastruktury morskiej i żeglugi śródlądowej;67397
0020-0008-0003-0002-0001;0020-0008-0003-0002;e;Część 21;GOSPODARKA  MORSKA;67397
0020-0008-0004;0020-0008;c;Zadanie 19.4;Wspieranie transportu lotniczego i infrastruktury lotniczej;462742
0020-0008-0004-0001;0020-0008-0004;d;Podzadanie 19.4.1;Wspieranie infrastruktury lotniskowej i nawigacyjnej;462742
0020-0008-0004-0001-0001;0020-0008-0004-0001;e;Część 39;TRANSPORT;462742
0020-0008-0005;0020-0008;c;Zadanie 19.5;Wspieranie zrównoważonego rozwoju transportu;4348178
0020-0008-0005-0001;0020-0008-0005;d;Podzadanie 19.5.1;Wspieranie infrastruktury portowej;394181
0020-0008-0005-0001-0001;0020-0008-0005-0001;e;Część 39;TRANSPORT;394181
0020-0008-0005-0002;0020-0008-0005;d;Podzadanie 19.5.2;Wspieranie transportu intermodalnego;158159
0020-0008-0005-0002-0001;0020-0008-0005-0002;e;Część 39;TRANSPORT;158159
0020-0008-0005-0003;0020-0008-0005;d;Podzadanie 19.5.3;Wspieranie rozwoju transportu miejskiego;3795838
0020-0008-0005-0003-0001;0020-0008-0005-0003;e;Część 39;TRANSPORT;3795838
0021;;a;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;400000
0021-0004;0021;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;400000
0021-0004-0002;0021-0004;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;400000
0021-0004-0002-0001;0021-0004-0002;d;Podzadanie 17.3.10;Wdrażanie PO Infrastruktura i Środowisko;400000
0021-0004-0002-0001-0001;0021-0004-0002-0001;e;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;400000
0022;;a;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;1383782
0022-0001;0022;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;619691
0022-0001-0001;0022-0001;c;Zadanie 3.2;Szkolnictwo wyższe;619691
0022-0001-0001-0002;0022-0001-0001;d;Podzadanie 3.2.2;Kształcenie w szkolnictwie wyższym akademickim;355685
0022-0001-0001-0002-0001;0022-0001-0001-0002;e;Część 38;SZKOLNICTWO  WYśSZE;355685
0022-0001-0001-0004;0022-0001-0001;d;Podzadanie 3.2.5;Infrastruktura szkolnictwa wyższego;264006
0022-0001-0001-0004-0001;0022-0001-0001-0004;e;Część 38;SZKOLNICTWO  WYśSZE;264006
0022-0002;0022;b;FUNKCJA 10;NAUKA POLSKA;760643
0022-0002-0001;0022-0002;c;Zadanie 10.1;Prowadzenie badań naukowych;12281
0022-0002-0001-0001;0022-0002-0001;d;Podzadanie 10.1.1;Wspieranie badań naukowych;12281
0022-0002-0001-0001-0001;0022-0002-0001-0001;e;Część 28;NAUKA;12281
0022-0002-0002;0022-0002;c;Zadanie 10.2;Wzmocnienie badań naukowych służących praktycznym zastosowaniom;364362
0022-0002-0002-0001;0022-0002-0002;d;Podzadanie 10.2.1;Wsparcie badań stosowanych i prac rozwojowych;364362
0022-0002-0002-0001-0001;0022-0002-0002-0001;e;Część 28;NAUKA;364362
0022-0002-0003;0022-0002;c;Zadanie 10.3;Rozbudowa infrastruktury nauki polskiej;330240
0022-0002-0003-0001;0022-0002-0003;d;Podzadanie 10.3.1;Inwestycje wspierające badania naukowe;330240
0022-0002-0003-0001-0001;0022-0002-0003-0001;e;Część 28;NAUKA;330240
0022-0002-0005;0022-0002;c;Zadanie 10.5;Informatyzacja działalności i budowa społeczeństwa informacyjnego;53760
0022-0002-0005-0002;0022-0002-0005;d;Podzadanie 10.5.2;Rozbudowa infrastruktury informatycznej nauki;53760
0022-0002-0005-0002-0001;0022-0002-0005-0002;e;Część 28;NAUKA;53760
0022-0007;0022;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;3448
0022-0007-0001;0022-0007;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;45
0022-0007-0001-0002;0022-0007-0001;d;Część 28;NAUKA;45
0022-0007-0002;0022-0007;c;Zadanie 22.2;Obsługa administracyjna;2764
0022-0007-0002-0004;0022-0007-0002;d;Część 28;NAUKA;1654
0022-0007-0002-0005;0022-0007-0002;d;Część 38;SZKOLNICTWO  WYśSZE;1110
0022-0007-0003;0022-0007;c;Zadanie 22.3;Obsługa techniczna;639
0022-0007-0003-0006;0022-0007-0003;d;Część 28;NAUKA;639
0024;;a;Dysponent;Ministerstwo Pracy i Polityki Społecznej;939055
0024-0002;0024;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;3996
0024-0002-0007;0024-0002;c;Zadanie 13.7;Informatyzacja działalności i budowa społeczeństwa informacyjnego;3996
0024-0002-0007-0001;0024-0002-0007;d;Podzadanie 13.7.1;Utrzymanie systemów informatycznych;3996
0024-0002-0007-0001-0001;0024-0002-0007-0001;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;3996
0024-0003;0024;b;FUNKCJA 14;RYNEK PRACY;376843
0024-0003-0001;0024-0003;c;Zadanie 14.1;Wspieranie zatrudnienia i przeciwdziałanie bezrobociu;345043
0024-0003-0001-0001;0024-0003-0001;d;Podzadanie 14.1.1;Wspieranie programów aktywizacji;345043
0024-0003-0001-0001-0001;0024-0003-0001-0001;e;Część 31;PRACA;345043
0024-0003-0003;0024-0003;c;Zadanie 14.3;Aktywizacja zawodowa osób niepełnosprawnych;31800
0024-0003-0003-0002;0024-0003-0003;d;Podzadanie 14.3.2;Wspomaganie aktywizacji zawodowej osób niepełnosprawnych;31800
0024-0003-0003-0002-0001;0024-0003-0003-0002;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;31800
0024-0005;0024;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;7919
0024-0005-0001;0024-0005;c;Zadanie 16.8;Budowa społeczeństwa obywatelskiego;7919
0024-0005-0001-0001;0024-0005-0001;d;Podzadanie 16.8.1;Tworzenie warunków dla rozwoju podmiotów prowadzących działalność pożytku publicznego, współpracy tych podmiotów z organami administracji publicznej oraz dialogu obywatelskiego;4453
0024-0005-0001-0001-0001;0024-0005-0001-0001;e;Część 44;ZABEZPIECZENIE SPOŁECZNE;4453
0024-0005-0001-0005;0024-0005-0001;d;Podzadanie 16.8.5;Koordynacja współpracy z partnerami społecznymi i wzmocnienie instytucji dialogu społecznego;3466
0024-0005-0001-0005-0001;0024-0005-0001-0005;e;Część 31;PRACA;3466
0024-0006;0024;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;550297
0024-0006-0001;0024-0006;c;Zadanie 17.1;Wsparcie rozwoju regionalnego kraju;9296
0024-0006-0001-0001;0024-0006-0001;d;Podzadanie 17.1.2;Wsparcie rozwoju poszczególnych województw w ramach 16 RPO;9296
0024-0006-0001-0001-0001;0024-0006-0001-0001;e;Część 31;PRACA;9296
0024-0006-0002;0024-0006;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;541001
0024-0006-0002-0001;0024-0006-0002;d;Podzadanie 17.3.4;Zarządzanie realizacją PO Kapitał Ludzki;307823
0024-0006-0002-0001-0001;0024-0006-0002-0001;e;Część 31;PRACA;307823
0024-0006-0002-0003;0024-0006-0002;d;Podzadanie 17.3.11;Wdrażanie PO Kapitał Ludzki;233178
0024-0006-0002-0003-0001;0024-0006-0002-0003;e;Część 31;PRACA;233178
0025;;a;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;18633770
0025-0001;0025;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;16853
0025-0001-0001;0025-0001;c;Zadanie 3.1;Edukacja i wychowanie;16853
0025-0001-0001-0001;0025-0001-0001;d;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;16853
0025-0001-0001-0001-0001;0025-0001-0001-0001;e;Część 32;ROLNICTWO;16853
0025-0006;0025;b;FUNKCJA 21;POLITYKA ROLNA I RYBACKA;18616917
0025-0006-0005;0025-0006;c;Zadanie 21.6;Wspieranie rybactwa śródlądowego i rybołówstwa morskiego;356502
0025-0006-0005-0003;0025-0006-0005;d;Podzadanie 21.6.3;PO Zrównoważony rozwój sektora rybołówstwa i nadbrzeżnych obszarów rybackich 2007-2013;356502
0025-0006-0005-0003-0001;0025-0006-0005-0003;e;Część 62;RYBOŁÓWSTWO;356502
0025-0006-0006;0025-0006;c;Zadanie 21.7;Realizacja Wspólnej Polityki Rolnej oraz pomocy krajowej;18260415
0025-0006-0006-0003;0025-0006-0006;d;Podzadanie 21.7.3;WPR finansowane z EFRG;580648
0025-0006-0006-0003-0001;0025-0006-0006-0003;e;Część 33;ROZWÓJ WSI;580648
0025-0006-0006-0004;0025-0006-0006;d;Podzadanie 21.7.4;Wspieranie realizacji WPR Unii Europejskiej;550000
0025-0006-0006-0004-0001;0025-0006-0006-0004;e;Część 35;RYNKI ROLNE;550000
0025-0006-0006-0005;0025-0006-0006;d;Podzadanie 21.7.5;Program Rozwoju Obszarów Wiejskich 2007-2013;10481630
0025-0006-0006-0005-0001;0025-0006-0006-0005;e;Część 33;ROZWÓJ WSI;10481630
0025-0006-0006-0006;0025-0006-0006;d;Podzadanie 21.7.8;Realizacja płatności bezpośrednich;6648137
0025-0006-0006-0006-0001;0025-0006-0006-0006;e;Część 33;ROZWÓJ WSI;6648137
0026;;a;Dysponent;Ministerstwo Rozwoju Regionalnego;11586592
0026-0001;0026;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;2864
0026-0001-0001;0026-0001;c;Zadanie 3.1;Edukacja i wychowanie;2864
0026-0001-0001-0001;0026-0001-0001;d;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;2864
0026-0001-0001-0001-0001;0026-0001-0001-0001;e;Część 34;ROZWÓJ REGIONALNY;2864
0026-0002;0026;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;52437
0026-0002-0001;0026-0002;c;Zadanie 6.4;Wsparcie i promocja turystyki;52437
0026-0002-0001-0001;0026-0002-0001;d;Podzadanie 6.4.2;Wsparcie produktów turystycznych;52437
0026-0002-0001-0001-0001;0026-0002-0001-0001;e;Część 34;ROZWÓJ REGIONALNY;52437
0026-0004;0026;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;7661
0026-0004-0001;0026-0004;c;Zadanie 16.1;Obsługa administracyjna obywatela;3664
0026-0004-0001-0001;0026-0004-0001;d;Podzadanie 16.1.3;Wzmacnianie potencjału administracji publicznej;3664
0026-0004-0001-0001-0001;0026-0004-0001-0001;e;Część 34;ROZWÓJ REGIONALNY;3664
0026-0004-0002;0026-0004;c;Zadanie 16.8;Budowa społeczeństwa obywatelskiego;3997
0026-0004-0002-0001;0026-0004-0002;d;Podzadanie 16.8.2;Wspieranie społeczeństwa obywatelskiego oraz instytucji gospodarki społecznej;3997
0026-0004-0002-0001-0001;0026-0004-0002-0001;e;Część 34;ROZWÓJ REGIONALNY;3997
0026-0005;0026;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;11523630
0026-0005-0001;0026-0005;c;Zadanie 17.1;Wsparcie rozwoju regionalnego kraju;11465567
0026-0005-0001-0001;0026-0005-0001;d;Podzadanie 17.1.1;Wsparcie regionów w zakresie wzrostu poziomu zatrudnienia i spójności gospodarczej;2678027
0026-0005-0001-0001-0001;0026-0005-0001-0001;e;Część 34;ROZWÓJ REGIONALNY;2678027
0026-0005-0001-0002;0026-0005-0001;d;Podzadanie 17.1.2;Wsparcie rozwoju poszczególnych województw w ramach 16 RPO;7562864
0026-0005-0001-0002-0001;0026-0005-0001-0002;e;Część 34;ROZWÓJ REGIONALNY;7562864
0026-0005-0001-0003;0026-0005-0001;d;Podzadanie 17.1.3;Wsparcie województw Polski Wschodniej;1224676
0026-0005-0001-0003-0001;0026-0005-0001-0003;e;Część 34;ROZWÓJ REGIONALNY;1224676
0026-0005-0004;0026-0005;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;58063
0026-0005-0004-0004;0026-0005-0004;d;Podzadanie 17.4.5;Wdrażanie projektów w ramach SPPW;5863
0026-0005-0004-0004-0001;0026-0005-0004-0004;e;Część 34;ROZWÓJ REGIONALNY;5863
0026-0005-0004-0005;0026-0005-0004;d;Podzadanie 17.4.6;Wsparcie organizacji pozarządowych w ramach Mechanizów Finansowych oraz SPPW;9948
0026-0005-0004-0005-0001;0026-0005-0004-0005;e;Część 34;ROZWÓJ REGIONALNY;9948
0026-0005-0004-0006;0026-0005-0004;d;Podzadanie 17.4.7;Wsparcie sektora prywatnego w ramach SPPW;42252
0026-0005-0004-0006-0001;0026-0005-0004-0006;e;Część 34;ROZWÓJ REGIONALNY;42252
0029;;a;Dysponent;Ministerstwo Sprawiedliwości;53310
0029-0007;0029;b;FUNKCJA 18;SPRAWIEDLIWOŚĆ;35727
0029-0007-0002;0029-0007;c;Zadanie 18.4;Wykonywanie kary pozbawienia wolności i tymczasowego aresztowania;16598
0029-0007-0002-0001;0029-0007-0002;d;Podzadanie 18.4.1;Wykonywanie obowiązków statutowych jednostek organizacyjnych Służby Więziennej;16598
0029-0007-0002-0001-0001;0029-0007-0002-0001;e;Część 37;SPRAWIEDLIWOŚĆ;16598
0029-0007-0003;0029-0007;c;Zadanie 18.5;Przeciwdziałanie demoralizacji i przestępczości wśród nieletnich i stworzenie warunków do powrotu nieletnich do normalnego życia;4882
0029-0007-0003-0001;0029-0007-0003;d;Podzadanie 18.5.1;Działalność zakładów poprawczych i schronisk dla nieletnich;4882
0029-0007-0003-0001-0001;0029-0007-0003-0001;e;Część 37;SPRAWIEDLIWOŚĆ;4882
0029-0007-0004;0029-0007;c;Zadanie 18.6;Informatyzacja działalności i budowa społeczeństwa informacyjnego;14247
0029-0007-0004-0001;0029-0007-0004;d;Podzadanie 18.6.1;Utrzymanie systemów informatycznych;14247
0029-0007-0004-0001-0002;0029-0007-0004-0001;e;Część 37;SPRAWIEDLIWOŚĆ;14247
0029-0009;0029;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;17583
0029-0009-0002;0029-0009;c;Zadanie 22.2;Obsługa administracyjna;17583
0029-0009-0002-0003;0029-0009-0002;d;Część 37;SPRAWIEDLIWOŚĆ;17583
0030;;a;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;653278
0030-0001;0030;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;500
0030-0001-0001;0030-0001;c;Zadanie 1.10;Ocena gospodarki finansowej jednostek samorządu terytorialnego z punktu widzenia kryteriów ustawowych;500
0030-0001-0001-0001;0030-0001-0001;d;Podzadanie 1.10.1;Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników;205
0030-0001-0001-0001-0001;0030-0001-0001-0001;e;Część 80;REGIONALNE IZBY OBRACHUNKOWE;205
0030-0001-0001-0002;0030-0001-0001;d;Podzadanie 1.10.2;Sprawowanie nadzoru nad jednostkami samorządu terytorialnego oraz działalność opiniodawcza;295
0030-0001-0001-0002-0001;0030-0001-0001-0002;e;Część 80;REGIONALNE IZBY OBRACHUNKOWE;295
0030-0002;0030;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;58779
0030-0002-0001;0030-0002;c;Zadanie 2.1;Ochrona obywateli i utrzymanie porządku publicznego;37059
0030-0002-0001-0003;0030-0002-0001;d;Podzadanie 2.1.3;Zapewnienie działania służby prewencyjnej;31751
0030-0002-0001-0003-0001;0030-0002-0001-0003;e;Część 42;SPRAWY WEWNĘTRZNE;31751
0030-0002-0001-0004;0030-0002-0001;d;Podzadanie 2.1.4;Zapewnienie działania służby ruchu drogowego;5308
0030-0002-0001-0004-0001;0030-0002-0001-0004;e;Część 42;SPRAWY WEWNĘTRZNE;5308
0030-0002-0002;0030-0002;c;Zadanie 2.2;Redukowanie przestępczości i działania na rzecz poprawy społecznego poczucia bezpieczeństwa;21650
