ID;Rodzic;Poziom;Numer;Treść;Przewidywane wykonanie w 2010;Plan na 2011
005-003-001;005-003;c;5.3.1;uzupełniającą do  powierzchni upraw chmielu;228926;262125
005-003-002;005-003;c;5.3.2;Pozostałe koszty;22523;22840
006;;a;6;AGENCJA NIERUCHOMOŚCI ROLNYCH;154100;160300
006-001;006;b;6.1;Amortyzacja;5000;5000
006-002;006;b;6.2;Materiały i energia;5000;5450
006-003;006;b;6.3;Remonty;2200;2200
006-004;006;b;6.4;Pozostałe usługi obce;16000;18800
006-005;006;b;6.5;Wynagrodzenia;94100;98500
006-006;006;b;6.6;Składki na ubezpieczenie społeczne;14100;12700
006-007;006;b;6.7;Składki na Fundusz Pracy;2400;2150
006-008;006;b;6.8;Inne koszty funkcjonowania;15300;15500
007;;a;7;POLSKA AGENCJA ROZWOJU PRZEDSIĘBIORCZOŚCI;834278;800395
007-001;007;b;7.1;Koszty według rodzaju;88969;92476
007-001-001;007-001;c;7.1.1;Amortyzacja;3343;4889
007-001-002;007-001;c;7.1.2; Materiały i energia;1495;1384
007-001-003;007-001;c;7.1.3;Usługi obce;23992;25754
007-001-003-001;007-001-003;d;7.1.3.1;remonty;45;75
007-001-003-002;007-001-003;d;7.1.3.2;pozostałe;23947;25679
007-001-004;007-001;c;7.1.4;Podatki i opłaty, w tym:;846;1125
007-001-004-001;007-001-004;d;7.1.4.1;opłaty urzędowe;268;595
007-001-004-002;007-001-004;d;7.1.4.2;wpłaty na PFRON;578;530
007-001-005;007-001;c;7.1.5;Wynagrodzenia;48514;48514
007-001-005-001;007-001-005;d;7.1.5.1;osobowe;45151;45151
007-001-005-002;007-001-005;d;7.1.5.2;pozostałe;3363;3363
007-001-006;007-001;c;7.1.6;Ubezpieczenia społeczne i inne świadczenia;8277;7513
007-001-006-001;007-001-006;d;7.1.6.1;składki na Ubezpieczenia społeczne;6581;5771
007-001-006-002;007-001-006;d;7.1.6.2;składki na Fundusz Pracy;1129;1127
007-001-006-003;007-001-006;d;7.1.6.3;świadczenia socjalne;567;615
007-001-007;007-001;c;7.1.7;pozostałe;2502;3297
007-002;007;b;7.2;Środki z Unii Europejskiej przekazane dla:;2186;5239
007-002-001;007-002;c;7.2.1;jednostek zaliczanych do sektora finansów publicznych;0;955
007-002-002;007-002;c;7.2.2;jednostek niezaliczanych do sektora finansów publicznych;2186;4284
007-003;007;b;7.3;Środki przekazane na realizację zadań bieżących dla jednostek zaliczanych do sektora finansów publicznych;18329;13336
007-004;007;b;7.4;Środki przekazane na realizację zadań bieżących dla jednostek niezaliczanych do sektora finansów publicznych;352997;241030
007-005;007;b;7.5;Środki przekazane na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych jednostek zaliczanych do sektora finansów publicznych;76106;80732
007-006;007;b;7.6;Środki przekazane na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych jednostek niezaliczanych do sektora finansów publicznych;290547;353753
007-007;007;b;7.7;Koszty finansowe;12;12
007-007-001;007-007;c;7.7.1;obsługa długu;12;12
007-008;007;b;7.8;Pozostałe koszty;5132;13817
008;;a;8;AGENCJA OCENY TECHNOLOGII MEDYCZNYCH;9690;10290
008-001;008;b;8.1;Koszty funkcjonowania;9690;10290
008-001-001;008-001;c;8.1.1;Amortyzacja;140;150
008-001-002;008-001;c;8.1.2;Materiały i energia;600;600
008-001-003;008-001;c;8.1.3;Remonty;80;50
008-001-004;008-001;c;8.1.4;Pozostałe usługi obce;1140;2055
008-001-005;008-001;c;8.1.5;Wynagrodzenia;5580;5280
008-001-006;008-001;c;8.1.6;Składki na ubezpieczenie społeczne;682;730
008-001-007;008-001;c;8.1.7;Składki na Fundusz Pracy;108;110
008-001-008;008-001;c;8.1.8;Pozostałe koszty funkcjonowania;1360;1315
009;;a;9;CENTRUM DORADZTWA ROLNICZEGO Z SIEDZIBĄ W BRWINOWIE;15893;15632
009-001;009;b;9.1;Koszty według rodzaju:;15770;15541
009-001-001;009-001;c;9.1.1;Amortyzacja;649;685
009-001-002;009-001;c;9.1.2;Materiały i energia;1661;1694
009-001-003;009-001;c;9.1.3;remonty;249;297
009-001-004;009-001;c;9.1.4;pozostałe Usługi obce;2409;2109
009-001-005;009-001;c;9.1.5;Podatki i opłaty, z tego:;452;442
009-001-005-001;009-001-005;d;9.1.5.1;podatek akcyzowy i VAT;248;244
009-001-005-002;009-001-005;d;9.1.5.2;Podatki stanowiące źródło dochodów własnych jednostek samorządu terytorialnego;117;119
009-001-005-003;009-001-005;d;9.1.5.3;opłaty urzędowe;13;13
009-001-005-004;009-001-005;d;9.1.5.4;wpłaty na PFRON;74;66
009-001-006;009-001;c;9.1.6;Wynagrodzenia:;8361;8361
009-001-006-001;009-001-006;d;9.1.6.1;osobowe;7982;7982
009-001-006-002;009-001-006;d;9.1.6.2;pozostałe;379;379
009-001-007;009-001;c;9.1.7; Ubezpieczenia społeczne i inne świadczenia:;1662;1661
009-001-007-001;009-001-007;d;9.1.7.1;składki na ubezpieczenie społeczne;1196;1165
009-001-007-002;009-001-007;d;9.1.7.2;składki na Fundusz Pracy;187;202
009-001-007-003;009-001-007;d;9.1.7.3;świadczenia socjalne;239;239
009-001-007-004;009-001-007;d;9.1.7.4;inne;40;55
009-001-008;009-001;c;9.1.8;pozostałe;327;292
009-002;009;b;9.2;Koszty finansowe:;3;3
009-002-001;009-002;c;9.2.1;płatności odsetkowe wynikające z zaciągniętych zobowiązań;1;0
009-002-002;009-002;c;9.2.2;inne;2;3
009-003;009;b;9.3;Pozostałe koszty;120;88
010;;a;10;POLSKA AGENCJA ŻEGLUGI POWIETRZNEJ;611687;676396
010-001;010;b;10.1;Koszty według rodzaju;602234;661057
010-001-001;010-001;c;10.1.1;Amortyzacja;51389;60846
010-001-002;010-001;c;10.1.2;Materiały i energia;12963;15958
010-001-003;010-001;c;10.1.3;Usługi obce;76097;81158
010-001-003-001;010-001-003;d;10.1.3.1;remonty;5881;3059
010-001-003-002;010-001-003;d;10.1.3.2;pozostałe;70216;78099
010-001-004;010-001;c;10.1.4;Podatki i opłaty, w tym:;13673;15739
010-001-005;010-001;c;10.1.5;Wynagrodzenia;320854;341433
010-001-005-001;010-001-005;d;10.1.5.1;osobowe;319756;339981
010-001-005-002;010-001-005;d;10.1.5.2;pozostałe;1098;1452
010-001-006;010-001;c;10.1.6;Ubezpieczenia społeczne i inne świadczenia;69618;84053
010-001-006-001;010-001-006;d;10.1.6.1;składki na ubezpieczenie społeczne;25567;29621
010-001-006-002;010-001-006;d;10.1.6.2;składki na Fundusz Pracy;6712;7635
010-001-006-003;010-001-006;d;10.1.6.3; świadczenia socjalne;1963;2209
010-001-006-004;010-001-006;d;10.1.6.4;składki na Fundusz Emerytur Pomostowych;645;825
010-001-006-005;010-001-006;d;10.1.6.5;inne;34731;43763
010-001-007;010-001;c;10.1.7;pozostałe;57640;61870
010-002;010;b;10.2;Koszty finansowe;4163;6209
010-002-001;010-002;c;10.2.1;obsługa długu;770;6209
010-002-002;010-002;c;10.2.2;inne;3393;0
010-003;010;b;10.3;Pozostałe koszty;5290;9130
011;;a;11;ZASÓB WŁASNOŚCI ROLNEJ SKARBU PAŃSTWA;2092000;2536030
011-001;011;b;11.1;Przekazy zewnętrzne;1210100;1697250
011-001-001;011-001;c;11.1.1;Różnica między środkami uzyskanymi z gospodarowania Zasobem w danym roku obrotowym a środkami wydatkowanymi na realizację zadań obciążających mienie Zasobu;659000;1593600
011-001-002;011-001;c;11.1.2;Zasilenie Funduszu Rekompensacyjnego;551100;103650
011-002;011;b;11.2;Środki na koszty funkcjonowania Agencji;141100;145300
011-003;011;b;11.3;Koszty gospodarowania mieniem Zasobu, z tego:;740800;693480
011-003-001;011-003;c;11.3.1;amortyzacja;140600;126000
011-003-002;011-003;c;11.3.2;materiały i energia;26000;22100
011-003-003;011-003;c;11.3.3;remonty;42500;9100
011-003-004;011-003;c;11.3.4;usługi obce;98500;117000
011-003-005;011-003;c;11.3.5;wynagrodzenia (z narzutami);88400;83280
011-003-005-001;011-003-005;d;11.3.5.1;wynagrodzenia;73400;69000
011-003-005-002;011-003-005;d;11.3.5.2;FUS;11000;10490
011-003-005-003;011-003-005;d;11.3.5.3;Fundusz Pracy;1800;1620
011-003-005-004;011-003-005;d;11.3.5.4;inne świadczenia na rzecz pracowników;2200;2170
011-003-006;011-003;c;11.3.6;bezzwrotna pomoc finansowa dla jednostek sektora finansów publicznych;57400;57800
011-003-007;011-003;c;11.3.7;bezzwrotna pomoc finansowa dla pozostałych jednostek;5900;10000
011-003-008;011-003;c;11.3.8;pozostałe koszty rodzajowe;6500;8200
011-003-009;011-003;c;11.3.9;pozostałe koszty operacyjne, w tym:;111000;115000
011-003-010;011-003;c;11.3.10;podatki i opłaty;54000;55000
011-003-011;011-003;c;11.3.11;koszty finansowe;110000;90000
011-003-011-001;011-003-011;d;11.3.11.1;inne;110000;90000
012;;a;12;POLSKIE CENTRUM AKREDYTACJI;16300;15000
012-001;012;b;12.1;Koszty funkcjonowania;16200;14900
012-001-001;012-001;c;12.1.1;amortyzacja;270;200
012-001-002;012-001;c;12.1.2;materiały i energia;750;735
012-001-003;012-001;c;12.1.3;remonty;100;100
012-001-004;012-001;c;12.1.4;pozostałe usługi obce;6700;5900
012-001-005;012-001;c;12.1.5;wynagrodzenia;6000;6000
012-001-006;012-001;c;12.1.6;składki na ubezpieczenie społeczne;780;695
012-001-007;012-001;c;12.1.7;składki na Fundusz Pracy;125;200
012-001-008;012-001;c;12.1.8;składki na Fundusz Emerytur Pomostowych;15;20
012-001-009;012-001;c;12.1.9;Płatności odsetkowe wynikające z zaciągniętych zobowiązań;60;60
012-001-010;012-001;c;12.1.10;pozostałe koszty funkcjonowania;1400;990
012-002;012;b;12.2;Pozostałe koszty;100;100
013;;a;13;POLSKA ORGANIZACJA TURYSTYCZNA;95602;114314
013-001;013;b;13.1;Koszty funkcjonowania;9610;9666
013-001-001;013-001;c;13.1.1;pozostałe usługi obce;2300;2350
013-001-002;013-001;c;13.1.2;wynagrodzenia;6220;6220
013-001-003;013-001;c;13.1.3;składki na ubezpieczenie społeczne;850;850
013-001-004;013-001;c;13.1.4;składki na Fundusz Pracy;148;148
013-001-005;013-001;c;13.1.5;pozostałe koszty funkcjonowania;92;98
013-002;013;b;13.2;Koszty relizacji zadań;30565;30434
013-003;013;b;13.3;Pozostałe koszty;55427;74214
014;;a;14;TRANSPORTOWY DOZRÓ TECHNICZNY;47544;49999
014-001;014;b;14.1;Koszty funkcjonowania;46624;49480
014-001-001;014-001;c;14.1.1;amortyzacja;2576;2433
014-001-002;014-001;c;14.1.2;materiały i energia;1823;1857
014-001-003;014-001;c;14.1.3;remonty;229;234
014-001-004;014-001;c;14.1.4;pozostałe usługi obce;3517;2856
014-001-005;014-001;c;14.1.5;wynagrodzenia;26579;26579
014-001-006;014-001;c;14.1.6;składki na ubezpieczenie społeczne;3820;4046
014-001-007;014-001;c;14.1.7;składki na Fundusz Pracy;616;652
014-001-008;014-001;c;14.1.8;pozostałe koszty funkcjonowania;7464;10823
014-002;014;b;14.2;Pozostałe koszty;920;519
015;;a;15;URZĄD DOZORU TECHNICZNEGO;314722;354290
015-001;015;b;15.1;Koszty funkcjonowania;311992;327387
015-001-001;015-001;c;15.1.1;amortyzacja;13380;13225
015-001-002;015-001;c;15.1.2;materiały i energia;15112;16322
015-001-003;015-001;c;15.1.3;remonty;4381;6547
015-001-004;015-001;c;15.1.4;pozostałe usługi obce;28768;25354
015-001-005;015-001;c;15.1.5;wynagrodzenia;185100;186161
015-001-006;015-001;c;15.1.6;składki na ubezpieczenie społeczne;22900;23115
015-001-007;015-001;c;15.1.7;składki na Fundusz Pracy;4700;4730
015-001-008;015-001;c;15.1.8;pozostałe koszty funkcjonowania;37651;51933
015-002;015;b;15.2;Pozostałe koszty;2730;26903
016;;a;16;RZECZNIK UBEZPIECZONYCH;6200;6418
016-001;016;b;16.1;Koszty według rodzaju;6170;6371
016-001-001;016-001;c;16.1.1;amortyzacja;65;50
016-001-002;016-001;c;16.1.2;materiały i energia;137;92
016-001-002-001;016-001-002;d;16.1.2.1;wydatki dotyczące przedmiotów i materiałów administracyjno - biurowych;89;80
016-001-002-002;016-001-002;d;16.1.2.2;zakup wyposażenia Biura nie uznawanego za środki trwałe;30;6
016-001-002-003;016-001-002;d;16.1.2.3;energia;3;10
016-001-002-004;016-001-002;d;16.1.2.4;woda;15;10
016-001-003;016-001;c;16.1.3;usługi obce;806;688
016-001-003-001;016-001-003;d;16.1.3.1;remonty;40;20
016-001-003-002;016-001-003;d;16.1.3.2;pozostałe;766;668
016-001-004;016-001;c;16.1.4;wynagrodzenia;4305;4305
016-001-004-001;016-001-004;d;16.1.4.1;pozostałe;4305;4305
016-001-005;016-001;c;16.1.5;Ubezpieczenia społeczne i inne świadczenia;664;675
016-001-005-001;016-001-005;d;16.1.5.1;składki na ubezpieczenie społeczne;419;419
016-001-005-002;016-001-005;d;16.1.5.2;składki na Fundusz Pracy;77;77
016-001-005-003;016-001-005;d;16.1.5.3;składka na Fundusz Gwarantowanych Świadczeń Pracowniczych;3;4
016-001-005-004;016-001-005;d;16.1.5.4;świadczenia socjalne;35;45
016-001-005-005;016-001-005;d;16.1.5.5;inne;130;130
016-001-006;016-001;c;16.1.6;pozostałe;193;561
016-002;016;b;16.2;Koszty finansowe;10;17
016-002-001;016-002;c;16.2.1;inne;10;17
016-003;016;b;16.3;Pozostałe koszty;20;30
017;;a;17;POLSKI INSTYTUT SPRAW MIĘDZYNARODOWYCH;10847;10847
017-001;017;b;17.1;Koszty funkcjonowania;10847;10847
017-001-001;017-001;c;17.1.1;materiały i energia;278;278
017-001-002;017-001;c;17.1.2;remonty;1050;1050
017-001-003;017-001;c;17.1.3;pozostałe usługi obce;1650;1650
017-001-004;017-001;c;17.1.4;wynagrodzenia;5850;5850
017-001-005;017-001;c;17.1.5;składki na ubezpieczenie społeczne;780;780
017-001-006;017-001;c;17.1.6;składki na Fundusz Pracy;130;130
017-001-007;017-001;c;17.1.7;pozostałe koszty funkcjonowania;1109;1109
018;;a;18;POLSKI INSTYTUT SZTUKI FILMOWEJ;162337;135246
018-001;018;b;18.1;Koszty funkcjonowania;11836;11736
018-001-001;018-001;c;18.1.1;amortyzacja;570;570
018-001-002;018-001;c;18.1.2;materiały i energia;500;500
018-001-003;018-001;c;18.1.3;remonty;20;20
018-001-004;018-001;c;18.1.4;pozostałe usługi obce;1630;1630
018-001-005;018-001;c;18.1.5;wynagrodzenia;6209;6109
018-001-006;018-001;c;18.1.6;składki na ubezpieczenie społeczne;1022;1022
018-001-007;018-001;c;18.1.7;składki na Fundusz Pracy;135;135
018-001-008;018-001;c;18.1.8;pozostałe koszty funkcjonowania;1750;1750
018-002;018;b;18.2;Koszty relizacji zadań;150481;123490
018-003;018;b;18.3;Pozostałe koszty;20;20
019;;a;19;POLSKI KLUB WYŚCIGÓW KONNYCH;6014;5717
019-001;019;b;19.1;Koszty funkcjonowania;6014;5717
019-001-001;019-001;c;19.1.1;amortyzacja;200;180
019-001-002;019-001;c;19.1.2;materiały i energia;40;40
019-001-003;019-001;c;19.1.3;remonty;2250;1910
019-001-004;019-001;c;19.1.4;pozostałe usługi obce;350;360
019-001-005;019-001;c;19.1.5;wynagrodzenia;1200;1200
019-001-006;019-001;c;19.1.6;składki na ubezpieczenie społeczne;167;167
019-001-007;019-001;c;19.1.7;składki na Fundusz Pracy;27;27
019-001-008;019-001;c;19.1.8;pozostałe koszty funkcjonowania;1780;1833
020;;a;20;ZAKŁAD UBEZPIECZEŃ SPOŁECZNYCH;4185736;4167322
020-001;020;b;20.1;Koszty według rodzaju;4182349;4163935
020-001-001;020-001;c;20.1.1;amortyzacja;233063;233735
020-001-002;020-001;c;20.1.2;materiały i energia;120989;129701
020-001-003;020-001;c;20.1.3;usługi obce;1246622;1206399
020-001-003-001;020-001-003;d;20.1.3.1;remonty;63617;70192
020-001-003-002;020-001-003;d;20.1.3.2;usługi pocztowe i bankowe;458270;448792
020-001-003-003;020-001-003;d;20.1.3.3;usługi telekomunikacyjne;43496;43242
020-001-003-004;020-001-003;d;20.1.3.4;usługi związane z przetwarzaniem danych;472596;433571
020-001-003-005;020-001-003;d;20.1.3.5;pozostałe;208643;210602
020-001-004;020-001;c;20.1.4;podatki i opłaty, w tym:;65218;66477
020-001-004-001;020-001-004;d;20.1.4.1;podatki stanowiące źródło dochodów własnych jednostek samorządu terytorialnego;7471;7637
020-001-004-002;020-001-004;d;20.1.4.2;opłaty za wieczyste użytkowanie gruntów;1440;1440
020-001-004-003;020-001-004;d;20.1.4.3;opłaty urzędowe;30307;31400
020-001-004-004;020-001-004;d;20.1.4.4;wpłaty na PFRON;26000;26000
020-001-005;020-001;c;20.1.5;wynagrodzenia;2063106;2064139
020-001-005-001;020-001-005;d;20.1.5.1;osobowe;2042130;2042130
020-001-005-002;020-001-005;d;20.1.5.2;pozostałe;20976;22009
020-001-006;020-001;c;20.1.6;ubezpieczenia społeczne i inne świadczenia;418820;424612
020-001-006-001;020-001-006;d;20.1.6.1;składki na ubezpieczenie społeczne;304538;304538
020-001-006-002;020-001-006;d;20.1.6.2;składki na Fundusz Pracy;49119;49119
020-001-006-003;020-001-006;d;20.1.6.3;świadczenia socjalne;54900;58266
020-001-006-004;020-001-006;d;20.1.6.4;inne;10263;12689
020-001-007;020-001;c;20.1.7;pozostałe;34531;38872
020-002;020;b;20.2;Koszty finansowe;1631;1631
020-002-001;020-002;c;20.2.1;inne;1631;1631
020-003;020;b;20.3;Pozostałe koszty;1756;1756
021;;a;21;NARODOWY FUNDUSZ OCHRONY ŚRODOWISKA I GOSPODARKI WODNEJ;1262190;1412805
021-001;021;b;21.1;Koszty stałe;111800;116975
021-001-001;021-001;c;21.1.1;Koszty bieżące, z tego:;104370;110015
021-001-001-001;021-001-001;d;21.1.1.1;wynagrodzenia;59800;59800
021-001-001-002;021-001-001;d;21.1.1.2;składki  na ubezpieczenie społeczne;8490;8490
021-001-001-003;021-001-001;d;21.1.1.3;składki na Fundusz Pracy;1560;1560
021-001-001-004;021-001-001;d;21.1.1.4;"zakup towarów i usług;";14495;15860
021-001-001-005;021-001-001;d;21.1.1.5;remonty;790;1560
021-001-001-006;021-001-001;d;21.1.1.6;inne koszty w tym pozostałe koszty finansowe;19235;22745
021-001-002;021-001;c;21.1.2;Wydatki inwestycyjne i zakupy inwestycyjne (własne)*);7430;6960
021-002;021;b;21.2;Dotacje na realizację zadań bieżących, z tego dla:;365450;502160
021-002-001;021-002;c;21.2.1;jednostek zaliczanych do sektora finansów publicznych, w tym:;209780;221920
021-002-001-001;021-002-001;d;21.2.1.1;na finansowanie ochrony środowiska i gospodarki wodnej;209780;221920
021-002-002;021-002;c;21.2.2;jednostek niezaliczanych do sektora finansów publicznych, w tym:;155670;280240
021-002-002-001;021-002-002;d;21.2.2.1;na finansowanie ochrony środowiska i gospodarki wodnej;155670;280240
021-003;021;b;21.3;Dotacje na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych, z tego dla:;774370;762550
021-003-001;021-003;c;21.3.1;- jednostek zaliczanych do sektora finansów publicznych, w tym:;535510;578650
021-003-002;021-003;c;21.3.2;- jednostek niezaliczanych do sektora finansów publicznych, w tym:;238860;183900
021-003-002-001;021-003-002;d;21.3.2.1;na finansowanie ochrony środowiska i gospodarki wodnej;238860;183900
021-004;021;b;21.4;Dopłaty do oprocentowania odsetek od kredytów, z tego dla odbiorców dofinansowania ochrony środowiska kredytami bankowymi;10570;31120
999999;;a;Total;Ogółem;14123400;14998585
