ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Budżet Państwa
0001-0009-0003;0001-0009;c;Podzadanie 1.9.3;Przygotowywanie i publikowanie informacji dotyczących funkcjonariuszy organów bezpieczeństwa państwa, osób rozpracowywanych, funkcjonariuszy państwowych i partyjnych w latach 1944-1990 oraz osób publicznych wg art. 22 tzw. ustawy lustracyjnej z 2006 roku, prowadzenie rejestru oświadczeń lustracyjnych i jego analiza, przygotowanie postępowań lustracyjnych;;;27889
0001-0009-0003-0001;0001-0009-0003;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;27889
0001-0010;0001;b;Zadanie 1.10;Ocena gospodarki finansowej jednostek samorządu terytorialnego z punktu widzenia kryteriów ustawowych;;;102751
0001-0010-0001;0001-0010;c;Podzadanie 1.10.1;Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników;;;46154
0001-0010-0001-0001;0001-0010-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;80;;46154
0001-0010-0002;0001-0010;c;Podzadanie 1.10.2;Sprawowanie nadzoru nad jednostkami samorządu terytorialnego oraz działalność opiniodawcza;;;56597
0001-0010-0002-0001;0001-0010-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;80;;56597
0001-0011;0001;b;Zadanie 1.11;Informatyzacja działalności i budowa społeczeństwa informacyjnego;;;923
0001-0011-0001;0001-0011;c;Podzadanie 1.11.1;Utrzymanie systemów informatycznych;;;923
0001-0011-0001-0001;0001-0011-0001;d;Dysponent;Urząd Zamówień Publicznych;49;;923
0002;;a;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;;;14111837
0002-0001;0002;b;Zadanie 2.1;Ochrona obywateli i utrzymanie porządku publicznego;;;5758225
0002-0001-0001;0002-0001;c;Podzadanie 2.1.1;Zapewnienie bezpieczeństwa wewnętrznego państwa;;;529669
0002-0001-0001-0001;0002-0001-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;31975
0002-0001-0001-0002;0002-0001-0001;d;Dysponent;Agencja Bezpieczeństwa Wewnętrznego;57;;497682
0002-0001-0001-0003;0002-0001-0001;d;Dysponent;Wojewodowie;85;;12
0002-0001-0002;0002-0001;c;Podzadanie 2.1.2;Zapewnienie bezpieczeństwa najważniejszym osobom, obiektom i urządzeniom w państwie;;;177382
0002-0001-0002-0001;0002-0001-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;177382
0002-0001-0003;0002-0001;c;Podzadanie 2.1.3;Zapewnienie działania służby prewencyjnej;;;4278153
0002-0001-0003-0001;0002-0001-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;4278153
0002-0001-0004;0002-0001;c;Podzadanie 2.1.4;Zapewnienie działania służby ruchu drogowego;;;717988
0002-0001-0004-0001;0002-0001-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;717988
0002-0001-0005;0002-0001;c;Podzadanie 2.1.5;Wydawanie zezwoleń, koncesji, wpisu do rejestru działalności regulowanej oraz kontrola własna działalności koncesjonowanej, regulowanej i legalności nabycia nieruchomości, akcji i udziałów przez cudzoziemców;;;3705
0002-0001-0005-0001;0002-0001-0005;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;3705
0002-0001-0006;0002-0001;c;Podzadanie 2.1.6;Wykonywanie zadań z zakresu postępowania mandatowego w sprawach o wykroczenia;;;792
0002-0001-0006-0001;0002-0001-0006;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;792
0002-0001-0007;0002-0001;c;Podzadanie 2.1.7;Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``;;;50536
0002-0001-0007-0001;0002-0001-0007;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;50536
0002-0002;0002;b;Zadanie 2.2;Redukowanie przestępczości i działania na rzecz poprawy społecznego poczucia bezpieczeństwa;;;3063343
0002-0002-0001;0002-0002;c;Podzadanie 2.2.1;Zapewnienie działania służby śledczej i kryminalnej;;;2924753
0002-0002-0001-0001;0002-0002-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;2924753
0002-0002-0002;0002-0002;c;Podzadanie 2.2.2;Zwalczanie korupcji;;;106971
0002-0002-0002-0001;0002-0002-0002;d;Dysponent;Centralne Biuro Antykorupcyjne;56;;106971
0002-0002-0003;0002-0002;c;Podzadanie 2.2.3;Zapobieganie przestępczości i aspołecznym zachowaniom oraz przeciwdziałanie przemocy i patologiom społecznym;;;4033
0002-0002-0003-0001;0002-0002-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;3072
0002-0002-0003-0002;0002-0002-0003;d;Dysponent;Wojewodowie;85;;961
0002-0002-0004;0002-0002;c;Podzadanie 2.2.4;Wsparcie i ochrona ofiar handlu ludźmi;;;1260
0002-0002-0004-0001;0002-0002-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;1260
0002-0002-0006;0002-0002;c;Podzadanie 2.2.6;Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``;;;26326
0002-0002-0006-0001;0002-0002-0006;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;26326
0002-0003;0002;b;Zadanie 2.3;Strzeżenie praworządności i czuwanie nad ściganiem przestępstw przez prokuraturę;;;1585535
0002-0003-0001;0002-0003;c;Podzadanie 2.3.1;Przygotowanie postępowania przygotowawczego i procesowego;;;1468483
0002-0003-0001-0001;0002-0003-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;39276
0002-0003-0001-0002;0002-0003-0001;d;Dysponent;Ministerstwo Sprawiedliwości;37;;0
0002-0003-0001-0003;0002-0003-0001;d;Dysponent;Prokuratura Generalna;88;;1429207
0002-0003-0002;0002-0003;c;Podzadanie 2.3.2;Zwalczanie przestępczości zorganizowanej;;;39380
0002-0003-0002-0001;0002-0003-0002;d;Dysponent;Prokuratura Generalna;88;;39380
0002-0003-0003;0002-0003;c;Podzadanie 2.3.3;Realizacja zadań Prokuratora Generalnego w postępowaniach przed SN, TK, NSA oraz innych przewidzianych w ustawach;;;77672
0002-0003-0003-0001;0002-0003-0003;d;Dysponent;Ministerstwo Sprawiedliwości;37;;0
0002-0003-0003-0002;0002-0003-0003;d;Dysponent;Prokuratura Generalna;88;;77672
0002-0004;0002;b;Zadanie 2.4;Ochrona przeciwpożarowa, działalność ratowniczo-gaśnicza oraz zapobiegawcza;;;2168831
0002-0004-0001;0002-0004;c;Podzadanie 2.4.1;Działalność ratowniczo-gaśnicza;;;2090993
0002-0004-0001-0001;0002-0004-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;143111
0002-0004-0001-0002;0002-0004-0001;d;Dysponent;Wojewodowie;85;;1947882
0002-0004-0002;0002-0004;c;Podzadanie 2.4.2;Działalność ratownictwa górskiego i wodnego;;;12454
0002-0004-0002-0001;0002-0004-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;12454
0002-0004-0003;0002-0004;c;Podzadanie 2.4.3;Rozpoznawanie zagrożeń;;;65240
0002-0004-0003-0001;0002-0004-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;1201
0002-0004-0003-0002;0002-0004-0003;d;Dysponent;Wojewodowie;85;;64039
0002-0004-0004;0002-0004;c;Podzadanie 2.4.4;Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``;;;144
0002-0004-0004-0001;0002-0004-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;116
0002-0004-0004-0002;0002-0004-0004;d;Dysponent;Wojewodowie;85;;28
0002-0005;0002;b;Zadanie 2.5; Zarządzanie kryzysowe i obrona cywilna;;;45541
0002-0005-0001;0002-0005;c;Podzadanie 2.5.1;Koordynacja przedsięwzięć z zakresu zarządzania kryzysowego;;;25237
0002-0005-0001-0001;0002-0005-0001;d;Dysponent;Ministerstwo Środowiska;41;;42
0002-0005-0001-0002;0002-0005-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;7052
0002-0005-0001-0003;0002-0005-0001;d;Dysponent;Wojewodowie;85;;18143
0002-0005-0002;0002-0005;c;Podzadanie 2.5.2;Przeciwdziałanie i usuwanie skutków klęsk żywiołowych;;;1457
0002-0005-0002-0001;0002-0005-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;1457
0002-0005-0002-0002;0002-0005-0002;d;Dysponent;Wojewodowie;85;;0
0002-0005-0003;0002-0005;c;Podzadanie 2.5.3;Obrona cywilna;;;18847
0002-0005-0003-0001;0002-0005-0003;d;Dysponent;Ministerstwo Finansów;19;;227
0002-0005-0003-0002;0002-0005-0003;d;Dysponent;Ministerstwo Środowiska;41;;41
0002-0005-0003-0003;0002-0005-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;1986
0002-0005-0003-0004;0002-0005-0003;d;Dysponent;Wojewodowie;85;;16593
0002-0006;0002;b;Zadanie 2.6;Ochrona granicy państwowej i kontrola ruchu granicznego;;;1427373
0002-0006-0001;0002-0006;c;Podzadanie 2.6.1;Ochrona granicy państwowej;;;502964
0002-0006-0001-0001;0002-0006-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;502964
0002-0006-0002;0002-0006;c;Podzadanie 2.6.2;Kontrola ruchu granicznego;;;330499
0002-0006-0002-0001;0002-0006-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;330499
0002-0006-0003;0002-0006;c;Podzadanie 2.6.3;Zapobieganie nielegalnej migracji;;;293973
0002-0006-0003-0001;0002-0006-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;293973
0002-0006-0004;0002-0006;c;Podzadanie 2.6.4;Budowa i utrzymanie przejść granicznych;;;188418
0002-0006-0004-0001;0002-0006-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;299
0002-0006-0004-0002;0002-0006-0004;d;Dysponent;Wojewodowie;85;;188119
0002-0006-0005;0002-0006;c;Podzadanie 2.6.5;Rozpoznawanie, zapobieganie i wykrywanie przestępstw oraz ściganie ich sprawców, w zakresie właściwości SG;;;98548
0002-0006-0005-0001;0002-0006-0005;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;98548
0002-0006-0006;0002-0006;c;Podzadanie 2.6.6;Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``;;;12971
0002-0006-0006-0001;0002-0006-0006;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;12971
0002-0007;0002;b;Zadanie 2.7;Informatyzacja działalności i budowa społeczeństwa informacyjnego;;;62989
0002-0007-0001;0002-0007;c;Podzadanie 2.7.1;Utrzymanie systemów informatycznych;;;61198
0002-0007-0001-0001;0002-0007-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;61198
0002-0007-0002;0002-0007;c;Podzadanie 2.7.2;Budowa i wdrożenie rozwiązań informatycznych;;;1791
0002-0007-0002-0001;0002-0007-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;1791
0003;;a;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;;;13362812
0003-0001;0003;b;Zadanie 3.1;Edukacja i wychowanie;;;1534319
0003-0001-0001;0003-0001;c;Podzadanie 3.1.1;Zarządzanie i nadzór nad systemem edukacji i wychowania;;;92981
0003-0001-0001-0001;0003-0001-0001;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;83847
0003-0001-0001-0002;0003-0001-0001;d;Dysponent;Wojewodowie;85;;9134
0003-0001-0002;0003-0001;c;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;;;978129
0003-0001-0002-0001;0003-0001-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;605793
0003-0001-0002-0002;0003-0001-0002;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;4061
0003-0001-0002-0003;0003-0001-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;88067
0003-0001-0002-0004;0003-0001-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;159267
0003-0001-0002-0005;0003-0001-0002;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;337
0003-0001-0002-0006;0003-0001-0002;d;Dysponent;Ministerstwo Sprawiedliwości;37;;40310
0003-0001-0002-0007;0003-0001-0002;d;Dysponent;Ministerstwo Środowiska;41;;38192
0003-0001-0002-0008;0003-0001-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;27374
0003-0001-0002-0009;0003-0001-0002;d;Dysponent;Ministerstwo Zdrowia;46;;7359
0003-0001-0002-0010;0003-0001-0002;d;Dysponent;Wojewodowie;85;;7369
0003-0001-0003;0003-0001;c;Podzadanie 3.1.3;Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej;;;68235
0003-0001-0003-0001;0003-0001-0003;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;5785
0003-0001-0003-0002;0003-0001-0003;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;45233
0003-0001-0003-0003;0003-0001-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;1551
0003-0001-0003-0004;0003-0001-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;33;;14
0003-0001-0003-0005;0003-0001-0003;d;Dysponent;Ministerstwo Środowiska;41;;336
0003-0001-0003-0006;0003-0001-0003;d;Dysponent;Wojewodowie;85;;15316
0003-0001-0004;0003-0001;c;Podzadanie 3.1.4;Egzaminy zewnętrzne;;;201641
0003-0001-0004-0001;0003-0001-0004;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;195363
0003-0001-0004-0002;0003-0001-0004;d;Dysponent;Ministerstwo Zdrowia;46;;4530
0003-0001-0004-0003;0003-0001-0004;d;Dysponent;Wojewodowie;85;;1748
0003-0001-0005;0003-0001;c;Podzadanie 3.1.5;Wspieranie uczniów zdolnych oraz dzieci i młodzieży ze specjalnymi potrzebami edukacyjnymi;;;18342
0003-0001-0005-0001;0003-0001-0005;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;10560
0003-0001-0005-0002;0003-0001-0005;d;Dysponent;Wojewodowie;85;;7782
0003-0001-0006;0003-0001;c;Podzadanie 3.1.6;Edukacja pozalekcyjna i pozaszkolna;;;30653
0003-0001-0006-0001;0003-0001-0006;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;14582
0003-0001-0006-0002;0003-0001-0006;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;620
0003-0001-0006-0003;0003-0001-0006;d;Dysponent;Wojewodowie;85;;15451
0003-0001-0007;0003-0001;c;Podzadanie 3.1.7;Wspieranie dostępu do podręczników;;;5366
0003-0001-0007-0001;0003-0001-0007;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;5228
0003-0001-0007-0002;0003-0001-0007;d;Dysponent;Wojewodowie;85;;138
0003-0001-0008;0003-0001;c;Podzadanie 3.1.8;Wsparcie działalności edukacyjno-wychowawczej;;;65774
0003-0001-0008-0001;0003-0001-0008;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;25183
0003-0001-0008-0002;0003-0001-0008;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;577
0003-0001-0008-0003;0003-0001-0008;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;37743
0003-0001-0008-0004;0003-0001-0008;d;Dysponent;Wojewodowie;85;;2271
0003-0001-0009;0003-0001;c;Podzadanie 3.1.9;Prowadzenie działalności edukacyjnej, badawczej i popularyzatorskiej przez IPN;;;55198
0003-0001-0009-0001;0003-0001-0009;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;55198
0003-0001-0010;0003-0001;c;Podzadanie 3.1.10;Infrastruktura edukacji;;;18000
0003-0001-0010-0001;0003-0001-0010;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;11740
0003-0001-0010-0002;0003-0001-0010;d;Dysponent;Ministerstwo Środowiska;41;;5340
0003-0001-0010-0003;0003-0001-0010;d;Dysponent;Wojewodowie;85;;920
0003-0002;0003;b;Zadanie 3.2;Szkolnictwo wyższe;;;11823041
0003-0002-0001;0003-0002;c;Podzadanie 3.2.1;Zarządzanie systemem szkolnictwa wyższego;;;28892
0003-0002-0001-0001;0003-0002-0001;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;28892
0003-0002-0002;0003-0002;c;Podzadanie 3.2.2;Kształcenie w szkolnictwie wyższym akademickim;;;9492481
0003-0002-0002-0001;0003-0002-0002;d;Dysponent;Ministerstwo Infrastruktury;21;;81296
0003-0002-0002-0002;0003-0002-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;443982
0003-0002-0002-0003;0003-0002-0002;d;Dysponent;Ministerstwo Obrony Narodowej;29;;272694
0003-0002-0002-0004;0003-0002-0002;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;7462965
0003-0002-0002-0005;0003-0002-0002;d;Dysponent;Ministerstwo Infrastruktury;39;;5473
0003-0002-0002-0006;0003-0002-0002;d;Dysponent;Ministerstwo Zdrowia;46;;1226071
0003-0002-0003;0003-0002;c;Podzadanie 3.2.3;Kształcenie w szkolnictwie wyższym zawodowym;;;59317
0003-0002-0003-0001;0003-0002-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;59317
0003-0002-0004;0003-0002;c;Podzadanie 3.2.4;Wsparcie procesu studiowania;;;1688942
0003-0002-0004-0001;0003-0002-0004;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;26855
0003-0002-0004-0002;0003-0002-0004;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;1565599
0003-0002-0004-0003;0003-0002-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;1292
0003-0002-0004-0004;0003-0002-0004;d;Dysponent;Ministerstwo Zdrowia;46;;95196
0003-0002-0005;0003-0002;c;Podzadanie 3.2.5;Infrastruktura szkolnictwa wyższego;;;414455
0003-0002-0005-0001;0003-0002-0005;d;Dysponent;Ministerstwo Infrastruktury;21;;25365
0003-0002-0005-0002;0003-0002-0005;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;12600
0003-0002-0005-0003;0003-0002-0005;d;Dysponent;Ministerstwo Obrony Narodowej;29;;21740
0003-0002-0005-0004;0003-0002-0005;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;310389
0003-0002-0005-0005;0003-0002-0005;d;Dysponent;Ministerstwo Zdrowia;46;;44361
