ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
02-4;02;Projekt;Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce;POIS.05.01.00-00-214/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;122,404.95;122,404.95;122,404.95;104,044.20;Instytut Badawczy Leśnictwa;5250009200;05-090;Sękocin Stary;Mazowieckie;Powiat pruszkowski;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);jednostka naukowa;00 Nie dotyczy;;;2011/04/12;2011/04/12
10;;Województwo;Łódzkie;;;;;;169114673.46;157686694.92;149190177.5;133865831.75;;;;;;;;;;;;;
10-1;10;Projekt;Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce;POIS.05.01.00-00-214/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;122,404.95;122,404.95;122,404.95;104,044.20;Instytut Badawczy Leśnictwa;5250009200;05-090;Sękocin Stary;Mazowieckie;Powiat pruszkowski;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);jednostka naukowa;00 Nie dotyczy;;;2011/04/12;2011/04/12
18-3;18;Projekt;Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce;POIS.05.01.00-00-214/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;122,404.95;122,404.95;122,404.95;104,044.20;Instytut Badawczy Leśnictwa;5250009200;05-090;Sękocin Stary;Mazowieckie;Powiat pruszkowski;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);jednostka naukowa;00 Nie dotyczy;;;2011/04/12;2011/04/12
24-3;24;Projekt;Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce;POIS.05.01.00-00-214/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;122,404.95;122,404.95;122,404.95;104,044.20;Instytut Badawczy Leśnictwa;5250009200;05-090;Sękocin Stary;Mazowieckie;Powiat pruszkowski;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);jednostka naukowa;00 Nie dotyczy;;;2011/04/12;2011/04/12
26-2;26;Projekt;Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce;POIS.05.01.00-00-214/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;122,404.95;122,404.95;122,404.95;104,044.20;Instytut Badawczy Leśnictwa;5250009200;05-090;Sękocin Stary;Mazowieckie;Powiat pruszkowski;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);jednostka naukowa;00 Nie dotyczy;;;2011/04/12;2011/04/12
32-3;32;Projekt;Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce;POIS.05.01.00-00-214/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;122,404.95;122,404.95;122,404.95;104,044.20;Instytut Badawczy Leśnictwa;5250009200;05-090;Sękocin Stary;Mazowieckie;Powiat pruszkowski;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);jednostka naukowa;00 Nie dotyczy;;;2011/04/12;2011/04/12
14;;Województwo;Mazowieckie;;;;;;391398855.02;371920399.23;363820491.23;315999144.32;;;;;;;;;;;;;
14-1;14;Projekt;Ochrona in situ żubra w Polsce- część północno- wschodnia;POIS.05.01.00-00-229/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;3,346,334.96;3,162,257.31;2,687,918.71;2,687,918.71;Szkoła Główna Gospodarstwa Wiejskiego;5250007425;02-787;Warszawa;Mazowieckie;Powiat m. st. Warszawa;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);uczelnia wyższa;00 Nie dotyczy;;;2011/04/15;2011/04/21
20;;Województwo;Podlaskie;;;;;;288592342.83;243334991.72;229887770.52;209084742.98;;;;;;;;;;;;;
20-1;20;Projekt;Ochrona in situ żubra w Polsce- część północno- wschodnia;POIS.05.01.00-00-229/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;3,346,334.96;3,162,257.31;2,687,918.71;2,687,918.71;Szkoła Główna Gospodarstwa Wiejskiego;5250007425;02-787;Warszawa;Mazowieckie;Powiat m. st. Warszawa;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);uczelnia wyższa;00 Nie dotyczy;;;2011/04/15;2011/04/21
26-3;26;Projekt;Ochrona in situ żubra w Polsce- część północno- wschodnia;POIS.05.01.00-00-229/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;3,346,334.96;3,162,257.31;2,687,918.71;2,687,918.71;Szkoła Główna Gospodarstwa Wiejskiego;5250007425;02-787;Warszawa;Mazowieckie;Powiat m. st. Warszawa;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);uczelnia wyższa;00 Nie dotyczy;;;2011/04/15;2011/04/21
28-2;28;Projekt;Ochrona in situ żubra w Polsce- część północno- wschodnia;POIS.05.01.00-00-229/09-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.01.00;;3,346,334.96;3,162,257.31;2,687,918.71;2,687,918.71;Szkoła Główna Gospodarstwa Wiejskiego;5250007425;02-787;Warszawa;Mazowieckie;Powiat m. st. Warszawa;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);uczelnia wyższa;00 Nie dotyczy;;;2011/04/15;2011/04/21
30-2;30;Projekt;Opracowanie projektu planu ochrony dla Wielkopolskiego Parku Narodowego;POIS.05.03.00-00-271/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;2,492,212.78;2,492,212.78;2,492,212.78;2,118,380.86;Wielkopolski Park Narodowy;7771037163;62-050;Mosina;Wielkopolskie;Powiat poznański;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);państwowa jednostka organizacyjna;00 Nie dotyczy;POIS.05.03.00-00-271/10-01;Nie;2011/01/25;2011/02/01
04-2;04;Projekt;Projekty planów zadań ochronnych dla obszarów Natura 2000 na terenie woj. kujawsko-pomorskiego i mazowieckiego;POIS.05.03.00-00-285/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;680,896.09;680,896.09;578,761.67;578,761.67;Uniwersytet Technologiczno-Przyrodniczy im. J. i J. Śniadeckich;5540313107;85-225;Bydgoszcz;Kujawsko-pomorskie;Powiat m. Bydgoszcz;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);uczelnia wyższa;00 Nie dotyczy;POIS.05.03.00-00-285/10-01;Nie;2011/01/26;2011/01/28
14-2;14;Projekt;Projekty planów zadań ochronnych dla obszarów Natura 2000 na terenie woj. kujawsko-pomorskiego i mazowieckiego;POIS.05.03.00-00-285/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;680,896.09;680,896.09;578,761.67;578,761.67;Uniwersytet Technologiczno-Przyrodniczy im. J. i J. Śniadeckich;5540313107;85-225;Bydgoszcz;Kujawsko-pomorskie;Powiat m. Bydgoszcz;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);uczelnia wyższa;00 Nie dotyczy;POIS.05.03.00-00-285/10-01;Nie;2011/01/26;2011/01/28
18-4;18;Projekt;Program edukacji ekologicznej społeczności lokalnej w Bieszczadzkim Parku Narodowym;POIS.05.04.00-00-054/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;436,000.00;436,000.00;436,000.00;370,600.00;Bieszczadzki Park Narodowy;6890002420;38-714;Ustrzyki Górne;Podkarpackie;Powiat bieszczadzki;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);państwowa jednostka organizacyjna;00 Nie dotyczy;POIS.05.04.00-00-054/08-08;Nie;2011/01/14;2011/02/07
20-2;20;Projekt;Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch;POIS.05.04.00-00-068/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;123,823.50;123,823.50;105,250.00;105,250.00;Stowarzyszenie na rzecz Ekorozwoju Agro - Group;9661252329;15-472;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;;;2011/02/07;2011/03/18
22-3;22;Projekt;Krajowy System Bezpieczeństwa Morskiego (KSBM) Etap I;POIS.07.02.00-00-008/09-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.02.00;;37,221,795.58;33,756,214.38;33,756,214.38;28,692,782.22;Urząd Morski w Gdyni;5860014932;81-338;Gdynia;Pomorskie;Powiat m. Gdynia;30 Porty;państwowa jednostka organizacyjna;00 Nie dotyczy;;;2011/05/05;2011/05/06
28-3;28;Projekt;Krajowy System Bezpieczeństwa Morskiego (KSBM) Etap I;POIS.07.02.00-00-008/09-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.02.00;;37,221,795.58;33,756,214.38;33,756,214.38;28,692,782.22;Urząd Morski w Gdyni;5860014932;81-338;Gdynia;Pomorskie;Powiat m. Gdynia;30 Porty;państwowa jednostka organizacyjna;00 Nie dotyczy;;;2011/05/05;2011/05/06
32-4;32;Projekt;Krajowy System Bezpieczeństwa Morskiego (KSBM) Etap I;POIS.07.02.00-00-008/09-01;Program Operacyjny Infrastruktura i Środowisko;POIS.07.00.00;POIS.07.02.00;;37,221,795.58;33,756,214.38;33,756,214.38;28,692,782.22;Urząd Morski w Gdyni;5860014932;81-338;Gdynia;Pomorskie;Powiat m. Gdynia;30 Porty;państwowa jednostka organizacyjna;00 Nie dotyczy;;;2011/05/05;2011/05/06
12-2;12;Projekt;Poprawa bezpieczeństwa ludności poprzez dostosowanie infrastruktury ratownictwa medycznego SMS im. G. Narutowicza w Krakowie do wymogów prawa;POIS.12.01.00-00-209/08-01;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;11,516,555.46;7,092,018.91;6,028,216.06;6,028,216.06;Szpital Miejski Specjalistyczny im. Gabriela Narutowicza w Krakowie;9451932621;31-202;Kraków;Małopolskie;Powiat m. Kraków;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;POIS.12.01.00-00-209/08-06;Nie;2011/01/17;2011/01/17
18-5;18;Projekt;Modernizacja i doposażenie Szpitalnego Oddziału Ratunkowego w Wojewódzkim Szpitalu Podkarpackim im. Jana Pawła II w Krośnie;POIS.12.01.00-00-227/08-03;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;11,306,580.00;10,794,200.82;9,175,070.70;9,175,070.70;Wojewódzki Szpital Podkarpacki im. Jana Pawła II w Krośnie;6842120222;38-400;Krosno;Podkarpackie;Powiat krośnieński / Powiat m. Krosno;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;POIS.12.01.00-00-227/08-04;Nie;2011/01/04;2011/01/31
30-3;30;Projekt;Budowa lądowiska dla helikopterów oraz doposażenie Szpitalnego Oddziału Ratunkowego SP ZOZ w Środzie Wielkopolskiej w aparaturę medyczną;POIS.12.01.00-00-235/08-01;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;980,240.46;980,240.46;833,204.39;833,204.39;Powiat Średzki;7861493746;63-000;Środa Wielkopolska;Wielkopolskie;Powiat średzki;76 Infrastruktura ochrony zdrowia;wspólnota samorządowa;00 Nie dotyczy;POIS.12.01.00-00-235/08-02;Nie;2011/01/03;2011/01/04
02-5;02;Projekt;Uruchomienie szpitalnego oddziału ratunkowego wraz z budową heliportu w Wojewódzkim Szpitalu Specjalistycznym w Legnicy;POIS.12.01.00-00-248/08-01;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;10,584,896.47;9,821,585.49;8,348,347.66;8,348,347.66;Wojewódzki Szpital Specjalistyczny w Legnicy;6912204853;59-220;Legnica;Dolnośląskie;Powiat legnicki / Powiat m. Legnica;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;POIS.12.01.00-00-248/08-07;Nie;2011/02/18;2011/02/18
16-3;16;Projekt;Zwiększenie dostępności i jakości specjalistycznych świadczeń zdrowotnych w szpitalnym  oddziale ratunkowym  Zespołu Opieki Zdrowotnej z siedzibą w Strzelcach Opolskich poprzez rozbudowę obiektu i zakup nowej specjalistycznej aparatury.;POIS.12.01.00-00-270/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;7,037,530.00;5,597,480.00;4,757,850.00;4,757,850.00;Zespół Opieki Zdrowotnej;7561747987;47-100;Strzelce Opolskie;Opolskie;Powiat strzelecki;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;POIS.12.01.00-00-270/08-07;Nie;2011/01/31;2011/01/31
32-5;32;Projekt;Przebudowa z rozbudową Szpitalnego Oddziału Ratunkowego wraz z zakupem wyrobów medycznych.;POIS.12.01.00-00-300/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.12.00.00;POIS.12.01.00;;21,967,984.00;18,006,544.30;15,305,562.65;15,305,562.65;Szpital Wojewódzki im. Mikołaja Kopernika w Koszalinie;6691044410;75-581;Koszalin;Zachodniopomorskie;Powiat m. Koszalin;76 Infrastruktura ochrony zdrowia;publiczny zakład opieki zdrowotnej;00 Nie dotyczy;;;2011/03/01;2011/03/01
