ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Środki europejskie
0001-0007-0002-0001;0001-0007-0002;d;Dysponent;Najwyższa Izba Kontroli;07;;0
0001-0007-0003;0001-0007;c;Podzadanie 1.7.3;Wykonywanie nie kontrolnych funkcji naczelnego organu kontroli państwowej;;;0
0001-0007-0003-0001;0001-0007-0003;d;Dysponent;Najwyższa Izba Kontroli;07;;0
0001-0007-0004;0001-0007;c;Podzadanie 1.7.4;Zarządzanie kapitałem ludzkim;;;0
0001-0007-0004-0001;0001-0007-0004;d;Dysponent;Najwyższa Izba Kontroli;07;;0
0001-0008;0001;b;Zadanie 1.8;Ochrona wolności słowa, prawo do informacji oraz interes publiczny w radiofonii i telewizji;;;0
0001-0008-0001;0001-0008;c;Podzadanie 1.8.1;Koncesje na rozpowszechnianie programów radiowych i telewizyjnych oraz rejestrowanie programów rozprowadzanych w sieciach kablowych;;;0
0001-0008-0001-0001;0001-0008-0001;d;Dysponent;Krajowa Rada Radiofonii i Telewizji;09;;0
0001-0008-0002;0001-0008;c;Podzadanie 1.8.2;Kontrola programów radiowych i telewizyjnych oraz organizowanie badań treści i odbioru tych programów;;;0
0001-0008-0002-0001;0001-0008-0002;d;Dysponent;Krajowa Rada Radiofonii i Telewizji;09;;0
0001-0008-0003;0001-0008;c;Podzadanie 1.8.3;Działalność KRRiT w zakresie środków abonamentowych;;;0
0001-0008-0003-0001;0001-0008-0003;d;Dysponent;Krajowa Rada Radiofonii i Telewizji;09;;0
0001-0009;0001;b;Zadanie 1.9;Gromadzenie i zarządzanie dokumentami organów bezpieczeństwa państwa oraz organów bezpieczeństwa III Rzeszy Niemieckiej i Związku Socjalistycznych Republik Radzieckich sporządzonymi od 1 września 1939 r. do 31 lipca 1990 r., prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych, zbrodni przeciwko ludzkości i innych, działalność lustracyjna;;;0
0001-0009-0001;0001-0009;c;Podzadanie 1.9.1;Udostępnianie dokumentów i informacji o zbiorach zgromadzonych w archiwach IPN;;;0
0001-0009-0001-0001;0001-0009-0001;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;0
0001-0009-0002;0001-0009;c;Podzadanie 1.9.2;Prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych oraz przeciwko ludzkości i innych;;;0
0001-0009-0002-0001;0001-0009-0002;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;0
0001-0009-0003;0001-0009;c;Podzadanie 1.9.3;Przygotowywanie i publikowanie informacji dotyczących funkcjonariuszy organów bezpieczeństwa państwa, osób rozpracowywanych, funkcjonariuszy państwowych i partyjnych w latach 1944-1990 oraz osób publicznych wg art. 22 tzw. ustawy lustracyjnej z 2006 roku, prowadzenie rejestru oświadczeń lustracyjnych i jego analiza, przygotowanie postępowań lustracyjnych;;;0
0001-0009-0003-0001;0001-0009-0003;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;0
0001-0010;0001;b;Zadanie 1.10;Ocena gospodarki finansowej jednostek samorządu terytorialnego z punktu widzenia kryteriów ustawowych;;;500
0001-0010-0001;0001-0010;c;Podzadanie 1.10.1;Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników;;;205
0001-0010-0001-0001;0001-0010-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;80;;205
0001-0010-0002;0001-0010;c;Podzadanie 1.10.2;Sprawowanie nadzoru nad jednostkami samorządu terytorialnego oraz działalność opiniodawcza;;;295
0001-0010-0002-0001;0001-0010-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;80;;295
0001-0011;0001;b;Zadanie 1.11;Informatyzacja działalności i budowa społeczeństwa informacyjnego;;;0
0001-0011-0001;0001-0011;c;Podzadanie 1.11.1;Utrzymanie systemów informatycznych;;;0
0001-0011-0001-0001;0001-0011-0001;d;Dysponent;Urząd Zamówień Publicznych;49;;0
0002;;a;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;;;58779
0002-0001;0002;b;Zadanie 2.1;Ochrona obywateli i utrzymanie porządku publicznego;;;37059
0002-0001-0001;0002-0001;c;Podzadanie 2.1.1;Zapewnienie bezpieczeństwa wewnętrznego państwa;;;0
0002-0001-0001-0001;0002-0001-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0001-0001-0002;0002-0001-0001;d;Dysponent;Agencja Bezpieczeństwa Wewnętrznego;57;;0
0002-0001-0001-0003;0002-0001-0001;d;Dysponent;Wojewodowie;85;;0
0002-0001-0002;0002-0001;c;Podzadanie 2.1.2;Zapewnienie bezpieczeństwa najważniejszym osobom, obiektom i urządzeniom w państwie;;;0
0002-0001-0002-0001;0002-0001-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0001-0003;0002-0001;c;Podzadanie 2.1.3;Zapewnienie działania służby prewencyjnej;;;31751
0002-0001-0003-0001;0002-0001-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;31751
0002-0001-0004;0002-0001;c;Podzadanie 2.1.4;Zapewnienie działania służby ruchu drogowego;;;5308
0002-0001-0004-0001;0002-0001-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;5308
0002-0001-0005;0002-0001;c;Podzadanie 2.1.5;Wydawanie zezwoleń, koncesji, wpisu do rejestru działalności regulowanej oraz kontrola własna działalności koncesjonowanej, regulowanej i legalności nabycia nieruchomości, akcji i udziałów przez cudzoziemców;;;0
0002-0001-0005-0001;0002-0001-0005;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0001-0006;0002-0001;c;Podzadanie 2.1.6;Wykonywanie zadań z zakresu postępowania mandatowego w sprawach o wykroczenia;;;0
0002-0001-0006-0001;0002-0001-0006;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0001-0007;0002-0001;c;Podzadanie 2.1.7;Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``;;;0
0002-0001-0007-0001;0002-0001-0007;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0002;0002;b;Zadanie 2.2;Redukowanie przestępczości i działania na rzecz poprawy społecznego poczucia bezpieczeństwa;;;21650
0002-0002-0001;0002-0002;c;Podzadanie 2.2.1;Zapewnienie działania służby śledczej i kryminalnej;;;21650
0002-0002-0001-0001;0002-0002-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;21650
0002-0002-0002;0002-0002;c;Podzadanie 2.2.2;Zwalczanie korupcji;;;0
0002-0002-0002-0001;0002-0002-0002;d;Dysponent;Centralne Biuro Antykorupcyjne;56;;0
0002-0002-0003;0002-0002;c;Podzadanie 2.2.3;Zapobieganie przestępczości i aspołecznym zachowaniom oraz przeciwdziałanie przemocy i patologiom społecznym;;;0
0002-0002-0003-0001;0002-0002-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0002-0003-0002;0002-0002-0003;d;Dysponent;Wojewodowie;85;;0
0002-0002-0004;0002-0002;c;Podzadanie 2.2.4;Wsparcie i ochrona ofiar handlu ludźmi;;;0
0002-0002-0004-0001;0002-0002-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0002-0006;0002-0002;c;Podzadanie 2.2.6;Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``;;;0
0002-0002-0006-0001;0002-0002-0006;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0003;0002;b;Zadanie 2.3;Strzeżenie praworządności i czuwanie nad ściganiem przestępstw przez prokuraturę;;;0
0002-0003-0001;0002-0003;c;Podzadanie 2.3.1;Przygotowanie postępowania przygotowawczego i procesowego;;;0
0002-0003-0001-0001;0002-0003-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0002-0003-0001-0002;0002-0003-0001;d;Dysponent;Ministerstwo Sprawiedliwości;37;;0
0002-0003-0001-0003;0002-0003-0001;d;Dysponent;Prokuratura Generalna;88;;0
0002-0003-0002;0002-0003;c;Podzadanie 2.3.2;Zwalczanie przestępczości zorganizowanej;;;0
0002-0003-0002-0001;0002-0003-0002;d;Dysponent;Prokuratura Generalna;88;;0
0002-0003-0003;0002-0003;c;Podzadanie 2.3.3;Realizacja zadań Prokuratora Generalnego w postępowaniach przed SN, TK, NSA oraz innych przewidzianych w ustawach;;;0
0002-0003-0003-0001;0002-0003-0003;d;Dysponent;Ministerstwo Sprawiedliwości;37;;0
0002-0003-0003-0002;0002-0003-0003;d;Dysponent;Prokuratura Generalna;88;;0
0002-0004;0002;b;Zadanie 2.4;Ochrona przeciwpożarowa, działalność ratowniczo-gaśnicza oraz zapobiegawcza;;;70
0002-0004-0001;0002-0004;c;Podzadanie 2.4.1;Działalność ratowniczo-gaśnicza;;;0
0002-0004-0001-0001;0002-0004-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0004-0001-0002;0002-0004-0001;d;Dysponent;Wojewodowie;85;;0
0002-0004-0002;0002-0004;c;Podzadanie 2.4.2;Działalność ratownictwa górskiego i wodnego;;;0
0002-0004-0002-0001;0002-0004-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0004-0003;0002-0004;c;Podzadanie 2.4.3;Rozpoznawanie zagrożeń;;;70
0002-0004-0003-0001;0002-0004-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;70
0002-0004-0003-0002;0002-0004-0003;d;Dysponent;Wojewodowie;85;;0
0002-0004-0004;0002-0004;c;Podzadanie 2.4.4;Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``;;;0
0002-0004-0004-0001;0002-0004-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0004-0004-0002;0002-0004-0004;d;Dysponent;Wojewodowie;85;;0
0002-0005;0002;b;Zadanie 2.5; Zarządzanie kryzysowe i obrona cywilna;;;0
0002-0005-0001;0002-0005;c;Podzadanie 2.5.1;Koordynacja przedsięwzięć z zakresu zarządzania kryzysowego;;;0
0002-0005-0001-0001;0002-0005-0001;d;Dysponent;Ministerstwo Środowiska;41;;0
0002-0005-0001-0002;0002-0005-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0005-0001-0003;0002-0005-0001;d;Dysponent;Wojewodowie;85;;0
0002-0005-0002;0002-0005;c;Podzadanie 2.5.2;Przeciwdziałanie i usuwanie skutków klęsk żywiołowych;;;0
0002-0005-0002-0001;0002-0005-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0005-0002-0002;0002-0005-0002;d;Dysponent;Wojewodowie;85;;0
0002-0005-0003;0002-0005;c;Podzadanie 2.5.3;Obrona cywilna;;;0
0002-0005-0003-0001;0002-0005-0003;d;Dysponent;Ministerstwo Finansów;19;;0
0002-0005-0003-0002;0002-0005-0003;d;Dysponent;Ministerstwo Środowiska;41;;0
0002-0005-0003-0003;0002-0005-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0005-0003-0004;0002-0005-0003;d;Dysponent;Wojewodowie;85;;0
0002-0006;0002;b;Zadanie 2.6;Ochrona granicy państwowej i kontrola ruchu granicznego;;;0
0002-0006-0001;0002-0006;c;Podzadanie 2.6.1;Ochrona granicy państwowej;;;0
0002-0006-0001-0001;0002-0006-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0006-0002;0002-0006;c;Podzadanie 2.6.2;Kontrola ruchu granicznego;;;0
0002-0006-0002-0001;0002-0006-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0006-0003;0002-0006;c;Podzadanie 2.6.3;Zapobieganie nielegalnej migracji;;;0
0002-0006-0003-0001;0002-0006-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0006-0004;0002-0006;c;Podzadanie 2.6.4;Budowa i utrzymanie przejść granicznych;;;0
0002-0006-0004-0001;0002-0006-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0006-0004-0002;0002-0006-0004;d;Dysponent;Wojewodowie;85;;0
0002-0006-0005;0002-0006;c;Podzadanie 2.6.5;Rozpoznawanie, zapobieganie i wykrywanie przestępstw oraz ściganie ich sprawców, w zakresie właściwości SG;;;0
0002-0006-0005-0001;0002-0006-0005;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0006-0006;0002-0006;c;Podzadanie 2.6.6;Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``;;;0
0002-0006-0006-0001;0002-0006-0006;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0007;0002;b;Zadanie 2.7;Informatyzacja działalności i budowa społeczeństwa informacyjnego;;;0
0002-0007-0001;0002-0007;c;Podzadanie 2.7.1;Utrzymanie systemów informatycznych;;;0
0002-0007-0001-0001;0002-0007-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0002-0007-0002;0002-0007;c;Podzadanie 2.7.2;Budowa i wdrożenie rozwiązań informatycznych;;;0
0002-0007-0002-0001;0002-0007-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0003;;a;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;;;1016384
0003-0001;0003;b;Zadanie 3.1;Edukacja i wychowanie;;;395308
0003-0001-0001;0003-0001;c;Podzadanie 3.1.1;Zarządzanie i nadzór nad systemem edukacji i wychowania;;;52454
0003-0001-0001-0001;0003-0001-0001;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;52454
0003-0001-0001-0002;0003-0001-0001;d;Dysponent;Wojewodowie;85;;0
0003-0001-0002;0003-0001;c;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;;;66980
0003-0001-0002-0001;0003-0001-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0003-0001-0002-0002;0003-0001-0002;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;12877
0003-0001-0002-0003;0003-0001-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;0
0003-0001-0002-0004;0003-0001-0002;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;16853
0003-0001-0002-0005;0003-0001-0002;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;2864
0003-0001-0002-0006;0003-0001-0002;d;Dysponent;Ministerstwo Sprawiedliwości;37;;0
0003-0001-0002-0007;0003-0001-0002;d;Dysponent;Ministerstwo Środowiska;41;;0
0003-0001-0002-0008;0003-0001-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0003-0001-0002-0009;0003-0001-0002;d;Dysponent;Ministerstwo Zdrowia;46;;34386
0003-0001-0002-0010;0003-0001-0002;d;Dysponent;Wojewodowie;85;;0
0003-0001-0003;0003-0001;c;Podzadanie 3.1.3;Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej;;;106433
0003-0001-0003-0001;0003-0001-0003;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0003-0001-0003-0002;0003-0001-0003;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;106433
0003-0001-0003-0003;0003-0001-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0003-0001-0003-0004;0003-0001-0003;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;33;;0
0003-0001-0003-0005;0003-0001-0003;d;Dysponent;Ministerstwo Środowiska;41;;0
0003-0001-0003-0006;0003-0001-0003;d;Dysponent;Wojewodowie;85;;0
0003-0001-0004;0003-0001;c;Podzadanie 3.1.4;Egzaminy zewnętrzne;;;40135
0003-0001-0004-0001;0003-0001-0004;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;40135
0003-0001-0004-0002;0003-0001-0004;d;Dysponent;Ministerstwo Zdrowia;46;;0
0003-0001-0004-0003;0003-0001-0004;d;Dysponent;Wojewodowie;85;;0
0003-0001-0005;0003-0001;c;Podzadanie 3.1.5;Wspieranie uczniów zdolnych oraz dzieci i młodzieży ze specjalnymi potrzebami edukacyjnymi;;;42100
0003-0001-0005-0001;0003-0001-0005;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;42100
0003-0001-0005-0002;0003-0001-0005;d;Dysponent;Wojewodowie;85;;0
0003-0001-0006;0003-0001;c;Podzadanie 3.1.6;Edukacja pozalekcyjna i pozaszkolna;;;87206
0003-0001-0006-0001;0003-0001-0006;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;87206
0003-0001-0006-0002;0003-0001-0006;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0003-0001-0006-0003;0003-0001-0006;d;Dysponent;Wojewodowie;85;;0
0003-0001-0007;0003-0001;c;Podzadanie 3.1.7;Wspieranie dostępu do podręczników;;;0
0003-0001-0007-0001;0003-0001-0007;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;0
0003-0001-0007-0002;0003-0001-0007;d;Dysponent;Wojewodowie;85;;0
0003-0001-0008;0003-0001;c;Podzadanie 3.1.8;Wsparcie działalności edukacyjno-wychowawczej;;;0
0003-0001-0008-0001;0003-0001-0008;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0003-0001-0008-0002;0003-0001-0008;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;0
0003-0001-0008-0003;0003-0001-0008;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;0
0003-0001-0008-0004;0003-0001-0008;d;Dysponent;Wojewodowie;85;;0
0003-0001-0009;0003-0001;c;Podzadanie 3.1.9;Prowadzenie działalności edukacyjnej, badawczej i popularyzatorskiej przez IPN;;;0
0003-0001-0009-0001;0003-0001-0009;d;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;13;;0
0003-0001-0010;0003-0001;c;Podzadanie 3.1.10;Infrastruktura edukacji;;;0
0003-0001-0010-0001;0003-0001-0010;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0003-0001-0010-0002;0003-0001-0010;d;Dysponent;Ministerstwo Środowiska;41;;0
0003-0001-0010-0003;0003-0001-0010;d;Dysponent;Wojewodowie;85;;0
0003-0002;0003;b;Zadanie 3.2;Szkolnictwo wyższe;;;619691
0003-0002-0001;0003-0002;c;Podzadanie 3.2.1;Zarządzanie systemem szkolnictwa wyższego;;;0
0003-0002-0001-0001;0003-0002-0001;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;0
0003-0002-0002;0003-0002;c;Podzadanie 3.2.2;Kształcenie w szkolnictwie wyższym akademickim;;;355685
0003-0002-0002-0001;0003-0002-0002;d;Dysponent;Ministerstwo Infrastruktury;21;;0
0003-0002-0002-0002;0003-0002-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0003-0002-0002-0003;0003-0002-0002;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0003-0002-0002-0004;0003-0002-0002;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;355685
0003-0002-0002-0005;0003-0002-0002;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0003-0002-0002-0006;0003-0002-0002;d;Dysponent;Ministerstwo Zdrowia;46;;0
0003-0002-0003;0003-0002;c;Podzadanie 3.2.3;Kształcenie w szkolnictwie wyższym zawodowym;;;0
0003-0002-0003-0001;0003-0002-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0003-0002-0004;0003-0002;c;Podzadanie 3.2.4;Wsparcie procesu studiowania;;;0
0003-0002-0004-0001;0003-0002-0004;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0003-0002-0004-0002;0003-0002-0004;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;0
0003-0002-0004-0003;0003-0002-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0003-0002-0004-0004;0003-0002-0004;d;Dysponent;Ministerstwo Zdrowia;46;;0
0003-0002-0005;0003-0002;c;Podzadanie 3.2.5;Infrastruktura szkolnictwa wyższego;;;264006
0003-0002-0005-0001;0003-0002-0005;d;Dysponent;Ministerstwo Infrastruktury;21;;0
0003-0002-0005-0002;0003-0002-0005;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0003-0002-0005-0003;0003-0002-0005;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0003-0002-0005-0004;0003-0002-0005;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;264006
0003-0002-0005-0005;0003-0002-0005;d;Dysponent;Ministerstwo Zdrowia;46;;0
0003-0002-0006;0003-0002;c;Podzadanie 3.2.6;Program wieloletni ``Budowa kampusu 600-lecia Odnowienia Uniwersytetu Jagiellońskiego``;;;0
0003-0002-0006-0001;0003-0002-0006;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;0
