ID;Rodzic;Poziom;Numer;Treść;Paragrafy;Przewidywane wykonanie w 2010;Plan na 2011
007-004-006;007-004;c;7.4.6;koszty związane  ze specjalizacją oraz realizacją  staży podyplomowych lekarzy, lekarzy dentystów, pielęgniarek i położnych;4320;717583;717583
007-004-007;007-004;c;7.4.7;pozostałe;x;2804847;1297198
007-004-007-001;007-004-007;d;7.4.7.1;koszty poboru składki;4430;43010;47600
007-004-007-002;007-004-007;d;7.4.7.2;umorzenia;4590, 4600;5000;4838
007-004-007-003;007-004-007;d;7.4.7.3;refundacja  kosztów wyposażenia lub doposażenia stanowisk  Pracy;4210, 4300;451264;233139
007-004-007-004;007-004-007;d;7.4.7.4;jednorazowe środki na podjęcie  działalności gospodarczej;4210, 4300;935440;268206
007-004-007-005;007-004-007;d;7.4.7.5;koszty szkolenia;x;151800;45000
007-004-007-005-001;007-004-007-005;e;7.4.7.5.1;zadania realizowane bez prefinansowania i współfinansowania programów i projektów;4210, 4300;143859;41472
007-004-007-005-002;007-004-007-005;e;7.4.7.5.2;współfinansowanie programów i projektów  realizowanych ze środków  Unii Europejskiej;4219, 4309;7941;3528
007-004-007-006;007-004-007;d;7.4.7.6;koszty przygotowania zawodowego dorosłych;4210.43;3800;1500
007-004-007-007;007-004-007;d;7.4.7.7;dofinansowanie pracodawcom kosztów kształcenia młodocianych pracowników;4210, 4300;363400;303930
007-004-007-008;007-004-007;d;7.4.7.8;- koszty wysyłki, druki, prowizje bankowe,   komunikowanie się;4210,4300, 4350, 4360,4370,4740;67980;65562
007-004-007-009;007-004-007;d;7.4.7.9;- koszty przejazdów, zakwaterowania i wyżywienia;x;60000;35000
007-004-007-009-001;007-004-007-009;e;7.4.7.9.1;zadania realizowane bez prefinansowania i współfinansowania programów i projektów;4300, 4410;58235;33235
007-004-007-009-002;007-004-007-009;e;7.4.7.9.2;współfinansowanie programów i projektów  realizowanych ze środków  Unii Europejskiej;4309, 4419;1765;1765
007-004-007-010;007-004-007;d;7.4.7.10;badania lekarskie  bezrobotnych;x;11000;10000
007-004-007-010-001;007-004-007-010;e;7.4.7.10.1;zadania realizowane bez prefinansowania i współfinansowania programów i projektów;4280;10118;9118
007-004-007-010-002;007-004-007-010;e;7.4.7.10.2;współfinansowanie programów i projektów  realizowanych ze środków  Unii Europejskiej;4289;882;882
007-004-007-011;007-004-007;d;7.4.7.11;koszty szkolenia  kadr publicznych służb zatrudnienia oraz ochotniczych hufców Pracy;4170, 4210, 4300,4550, 4700;35000;37000
007-004-007-012;007-004-007;d;7.4.7.12;- poradnictwo zawodowe, badania i ekspertyzy dotyczące  rynku pracy oraz kluby pracy;x;12000;12000
007-004-007-012-001;007-004-007-012;e;7.4.7.12.1;zadania realizowane bez prefinansowania i współfinansowania programów i projektów;4010,4110,4170,4210,4300,4380,4390,4240,4740;10588;10588
007-004-007-012-002;007-004-007-012;e;7.4.7.12.2;współfinansowanie programów i projektów  realizowanych ze środków  Unii Europejskiej;4019,4119,4179,4219,4309, 4389,4399,4249,4749;1412;1412
007-004-007-013;007-004-007;d;7.4.7.13;koszty rozwoju i eksploatacji systemu  informatycznego;4170,4210,4260,4270,4300, 4350,4740,4750;44300;50000
007-004-007-014;007-004-007;d;7.4.7.14;koszty partnerstwa lokalnego,  zadania EURES,;4170,4210,4240,4300,4350,4380,4390,4420;5927;7790
007-004-007-015;007-004-007;d;7.4.7.15;koszty audytu zewnętrznego projektów  realizowanych w ramach Europejskiego Funduszu  Społecznego;4300;9500;500
007-004-007-016;007-004-007;d;7.4.7.16;odpisy na zakładowy  fundusz świadczeń  socjalnych;4440;300;300
007-004-007-017;007-004-007;d;7.4.7.17;- koszty postępowania sądowego, egzekucyjne,  odsetki;4590-4610;1000;2000
007-004-007-018;007-004-007;d;7.4.7.18;przejazdy  członków  rad zatrudnienia;4410;210;210
007-004-007-019;007-004-007;d;7.4.7.19;wydatki kwalifikowalne środków  Europejskiego Funduszu  Społecznego;4170,4210,4240,4300,4350,4380,4390,4420;61101;45000
007-004-007-020;007-004-007;d;7.4.7.20;- koszty związane  z udziałem  publicznych służb zatrudnienia w działaniach współfinansowanych z budżetu Unii Europejskiej;4170,4210,4300;3000;1000
007-004-007-021;007-004-007;d;7.4.7.21;koszty obsługi zasiłków  i świadczeń  przedemerytalnych;,4370,47404210,4300,4350,4360;20100;19200
007-004-007-022;007-004-007;d;7.4.7.22;wsparcie  finansowe  pracowników i przedsiębiorców - ustawa antykryzysowa;4300;135000;15000
007-004-007-023;007-004-007;d;7.4.7.23;koszty umów zawartych  z agencją zatrudnienia;4300;20000;10000
007-004-007-024;007-004-007;d;7.4.7.24;restrukturyzacja zatrudnienia i inne;4210.43;950;1000
007-004-007-025;007-004-007;d;7.4.7.25;projekty pilotażowe;4210.43;4500;5000
007-004-007-026;007-004-007;d;7.4.7.26;programy  specjalne;4210.43;36000;20000
007-004-007-027;007-004-007;d;7.4.7.27;- pomoc państwa  w spłacie niektórych  kredytów  mieszkaniowych udzielonych osobom,  które utraciły pracę;2980;105500;16487
007-004-007-028;007-004-007;d;7.4.7.28;koszty związane  z tworzeniem centrów aktywizacji zawodowej i lokalnych punktów  informacyjno-konsultacyjnych;4210, 4300;45000;0
007-004-007-029;007-004-007;d;7.4.7.29;- instrumenty finansowane w ramach ustawy powodziowej;3110,4010,4110;172765;39936
007-005;007;b;7.5;Wydatki inwestycyjne;x;340000;90000
007-005-001;007-005;c;7.5.1;wydatki inwestycyjne;6110;0;0
007-005-002;007-005;c;7.5.2;wydatki na zakupy inwestycyjne (informatyczne);x;40000;40000
007-005-002-001;007-005-002;d;7.5.2.1;zadania realizowane bez prefinansowania i współfinansowania programów i projektów;6120;39118;38235
007-005-002-002;007-005-002;d;7.5.2.2;współfinansowanie programów i projektów  realizowanych ze środków  Unii Europejskiej;6129;882;1765
007-005-003;007-005;c;7.5.3;refundacja  kosztów wyposażenia lub doposażenia stanowisk  Pracy;6120;300000;50000
008;;a;8;PLAN FINANSOWY CENTRALNEGO FUNDUSZU GOSPODARKI ZASOBEM GEODEZYJNYM I KARTOGRAFICZNYM;;33929;26879
008-001;008;b;8.1;Koszty (własne);x;20061;24193
008-001-001;008-001;c;8.1.1;wynagrodzenia;4010-4100,4170,4180;230;400
008-001-002;008-001;c;8.1.2;- pozostałe,  w tym:;;19831;23793
008-001-002-001;008-001-002;d;8.1.2.1;zakup materiałów i wyposażenia;4210;50;70
008-001-002-002;008-001-002;d;8.1.2.2;remonty;4270;170;200
008-001-002-003;008-001-002;d;8.1.2.3;zakup usług pozostałych;4300;19152;22973
008-001-002-004;008-001-002;d;8.1.2.4;- zakup usług obejmujących wykonanie  ekspertyz,  analiz i opinii;4390;396;450
008-001-002-005;008-001-002;d;8.1.2.5;- zakup akcesoriów komputerowych, w tym programów i licencji;4750;63;100
008-002;008;b;8.2;Wydatki inwestycyjne (własne);x;9072;2686
008-002-001;008-002;c;8.2.1;wydatki inwestycyjne;6110;105;186
008-002-002;008-002;c;8.2.2;wydatki na zakupy inwestycyjne;6120;8967;2500
008-003;008;b;8.3;Przelewy redystrybucyjne;x;4796;0
008-003-001;008-003;c;8.3.1;dla powiatowych funduszy gospodarki zasobem  geodezyjnym i kartograficznym;2960;4796;0
009;;a;9;PLAN FINANSOWY PAŃSTWOWEGO FUNDUSZU REHABILITACJI OSÓB NIEPEŁNOSPRAWNYCH;;4340412;4303226
009-001;009;b;9.1;Dotacje na realizację  zadań bieżących;x;3314968;3335665
009-001-001;009-001;c;9.1.1;dotacje dla jednostek  sektora finansów  publicznych;;189275;170137
009-001-001-001;009-001-001;d;9.1.1.1;środki na zadania ustawowe  (bez współfinansowania);2440;184025;160784
009-001-001-002;009-001-001;d;9.1.1.2;środki na współfinansowanie programów i projektów  realizowanych ze środków  UE;2449;5250;9353
009-001-002;009-001;c;9.1.2;dotacje dla jednostek  niezaliczanych do sektora finansów  publicznych;;3125693;3165528
009-001-002-001;009-001-002;d;9.1.2.1;środki na zadania ustawowe  (bez współfinansowania);2450;3125693;3165528
009-002;009;b;9.2;Transfery  na rzecz ludności;x;39503;3421
009-002-001;009-002;c;9.2.1;różne wydatki na rzecz osób fizycznych;3030;36052;0
009-002-002;009-002;c;9.2.2;wydatki osobowe  niezaliczone do wynagrodzeń;3020;3451;3421
009-003;009;b;9.3;Środki z Unii Europejskiej;x;29750;53000
009-004;009;b;9.4;Wydatki bieżące (własne);x;221941;225015
009-004-001;009-004;c;9.4.1;wynagrodzenia;;52282;52282
009-004-001-001;009-004-001;d;9.4.1.1;środki na zadania ustawowe  (bez współfinansowania);4010 i 4100;52282;52282
009-004-002;009-004;c;9.4.2;składki na ubezpieczenia społeczne;;7997;8558
009-004-002-001;009-004-002;d;9.4.2.1;środki na zadania ustawowe  (bez współfinansowania);4110;7997;8558
009-004-003;009-004;c;9.4.3;składki na Fundusz  Pracy;;1313;1311
009-004-003-001;009-004-003;d;9.4.3.1;środki na zadania ustawowe  (bez współfinansowania);4120;1313;1311
009-004-004;009-004;c;9.4.4;wynagrodzenia bezosobowe;;1280;1200
009-004-004-001;009-004-004;d;9.4.4.1;środki na zadania ustawowe  (bez współfinansowania);4170;1280;1200
009-004-005;009-004;c;9.4.5;pozostałe;x;88002;82664
009-004-005-001;009-004-005;d;9.4.5.1;środki na zadania ustawowe  (bez współfinansowania);x;88002;82664
009-004-006;009-004;c;9.4.6;- odpis aktualizujący wartość  należności z tytułu wpłat na PFRON, pożyczek, odsetek od pożyczek oraz innych należności;4810;71067;79000
009-005;009;b;9.5;Wydatki inwestycyjne;x;25920;40143
009-005-001;009-005;c;9.5.1;wydatki inwestycyjne (własne)  i wydatki na zakupy inwestycyjne (własne);;17124;40061
009-005-001-001;009-005-001;d;9.5.1.1;środki na zadania ustawowe  (bez współfinansowania);6110, 6120;17124;40061
009-005-002;009-005;c;9.5.2;dotacje inwestycyjne;;8796;82
009-005-002-001;009-005-002;d;9.5.2.1;dla sektora finansów  publicznych;6260;1688;0
009-005-002-002;009-005-002;d;9.5.2.2;dla jednostek  niezaliczanych do sektora finansów  publicznych;6270;7108;82
009-006;009;b;9.6;Przelewy redystrybucyjne;2960;708019;640004
009-006-001;009-006;c;9.6.1;samorządów wojewódzkich na realizację  zadań;;75050;89025
009-006-002;009-006;c;9.6.2;samorządów wojewódzkich na pokrycie  kosztów obsługi realizowanych zadań;;1876;2240
009-006-003;009-006;c;9.6.3;samorządów powiatowych na realizację  zadań;;615700;535363
009-006-004;009-006;c;9.6.4;samorządów powiatowych na pokrycie  kosztów obsługi realizowanych zadań;;15393;13376
009-007;009;b;9.7;Zwrot dotacji wykorzystanych niezgodnie z przeznaczeniem lub pobranych  w nadmiernej wysokości;;311;5978
010;;a;10;PLAN FINANSOWY FUNDUSZU PROMOCJI TWÓRCZOŚCI;;780;770
010-001;010;b;10.1;Dotacje na realizacje zadań bieżących;2440, 2450;90;80
010-002;010;b;10.2;Transfery na rzecz ludności;x;690;690
011;;a;11;PLAN FINANSOWY FUNDUSZU ZAJĘĆ SPORTOWYCH DLA UCZNIÓW;;13000;14500
011-001;011;b;11.1;Dotacje na realizacje zadań bieżących;2440, 2450;12996;14496
011-002;011;b;11.2;Wydatki bieżące (własne);x;4;4
011-002-001;011-002;c;11.2.1;pozostałe;x;4;4
011-002-001-001;011-002-001;d;11.2.1.1;inne;x;4;4
011-002-001-001-001;011-002-001-001;e;11.2.1.1.1;opłaty bankowe;4300;4;4
012;;a;12;PLAN FINANSOWY FUNDUSZU WSPARCIA POLICJI;;78579;88744
012-001;012;b;12.1;Wydatki bieżące (własne);x;51961;46913
012-001-001;012-001;c;12.1.1;wynagrodzenia;4010-4100,4170, 4180;27164;26136
012-001-002;012-001;c;12.1.2;pochodne  od wynagrodzeń;4110 , 4120;21;19
012-001-003;012-001;c;12.1.3;- pozostałe,  w tym:;x;24720;20758
012-001-003-001;012-001-003;d;12.1.3.1;zakup materiałów i wyposażenia;4210;6360;6031
012-001-003-002;012-001-003;d;12.1.3.2;zakup środków  żywności;4220;79;14
012-001-003-003;012-001-003;d;12.1.3.3;- zakup leków, wyrobów  medycznych i produktów  biobójczych;4230;3;0
012-001-003-004;012-001-003;d;12.1.3.4;zakup sprzętu i uzbrojenia;4250;3243;3514
012-001-003-005;012-001-003;d;12.1.3.5;zakup energii;4260;428;260
012-001-003-006;012-001-003;d;12.1.3.6;zakup usług remontowych;4270;10914;8946
012-001-003-007;012-001-003;d;12.1.3.7;zakup usług pozostałych;4300;3148;1843
012-001-003-008;012-001-003;d;12.1.3.8;zakup usług dostępu do sieci Internet;4350;2;0
012-001-003-009;012-001-003;d;12.1.3.9;- opłaty z tytułu zakupu usług telekomunikacyjnych świadczonych w ruchomej  publicznej  sieci telefonicznej;4360;26;20
012-001-003-010;012-001-003;d;12.1.3.10;- zakup usług obejmujących wykonanie  ekspertyz,  analiz i opinii;4390;60;60
012-001-003-011;012-001-003;d;12.1.3.11;- opłaty za administrowanie i czynsze za budynki,  lokale i pomiesz.  garaż.;4400;47;47
012-001-003-012;012-001-003;d;12.1.3.12;podróże służbowe krajowe;4410;67;0
012-001-003-013;012-001-003;d;12.1.3.13;różne opłaty i składki;4430;35;23
012-001-003-014;012-001-003;d;12.1.3.14;szkolenia;4550;2;0
012-001-003-015;012-001-003;d;12.1.3.15;zakup materiałów papierniczych do sprzętu druk. i urządzeń  kserog.;4740;194;0
012-001-003-016;012-001-003;d;12.1.3.16;- zakup akcesoriów komputerowych, w tym programów i licencji;4750;112;0
012-001-004;012-001;c;12.1.4;zmniejszenie Funduszu  - zwrot środków  z roku poprzedniego;x;56;0
012-002;012;b;12.2;Wydatki inwestycyjne;x;26618;41831
012-002-001;012-002;c;12.2.1;wydatki inwestycyjne (własne)  i wydatki na zakupy inwestycyjne (własne);6110, 6120;26618;41831
013;;a;13;PLAN FINANSOWY FUNDUSZU ROZWOJU KULTURY FIZYCZNEJ;;749137;565380
013-001;013;b;13.1;Dotacje na realizację  zadań bieżących;2440, 2450;245115;197750
013-002;013;b;13.2;Wydatki bieżące (własne);x;2580;380
013-002-001;013-002;c;13.2.1;pozostałe;x;2580;380
013-002-001-001;013-002-001;d;13.2.1.1;inne;x;2580;380
013-002-001-001-001;013-002-001-001;e;13.2.1.1.1;- obsługa umów o dofinansowanie przebudowy, remontów i inwestycji  obiektów  sportowych oraz opłaty bankowe;4300;2580;380
013-003;013;b;13.3;Wydatki inwestycyjne;x;501442;367250
013-003-001;013-003;c;13.3.1;dotacje inwestycyjne;6260, 6270;501442;367250
014;;a;14;PLAN FINANSOWY FUNDUSZU PROMOCJI KULTURY;;265480;145270
014-001;014;b;14.1;Dotacje na realizację  zadań bieżących:;x;146660;76104
014-001-001;014-001;c;14.1.1;dla jednostek  sektora finansów  publicznych;2440;59460;29650
014-001-002;014-001;c;14.1.2;dla jednostek  sektora finansów  publicznych - współfinansowanie programów ze środków  NMF i EOG;2446;431;20
014-001-003;014-001;c;14.1.3;dla jednostek  sektora finansów  publicznych - współfinansowanie programów ze środków  funduszy strukturalnych;2449;1586;1437
014-001-004;014-001;c;14.1.4;dla jednostek  niezaliczanych do sektora finansów  publicznych;2450;71531;35125
014-001-005;014-001;c;14.1.5;dla jednostek  niezaliczanych do sektora finansów  publicznych - współfinansowanie programów ze środków  NMF i EOG;2456;568;115
014-001-006;014-001;c;14.1.6;dla jednostek  niezaliczanych do sektora finansów  publicznych - współfinansowanie programów ze środków  z funduszy strukturalnych;2459;1263;1057
014-001-007;014-001;c;14.1.7;przekazanie Polskiemu  Instytutowi  Sztuki Filmowej;2890;11821;8700
014-002;014;b;14.2;Wydatki bieżące (własne);x;10;10
014-002-001;014-002;c;14.2.1;pozostałe;x;10;10
014-002-001-001;014-002-001;d;14.2.1.1;inne;x;10;10
014-002-001-001-001;014-002-001-001;e;14.2.1.1.1;koszty obsługi Funduszu;4300;10;10
014-003;014;b;14.3;Transfery  na rzecz ludności - nagrody z FPK;3040;3000;3000
014-004;014;b;14.4;Wydatki inwestycyjne;x;115810;66156
014-004-001;014-004;c;14.4.1;dotacje inwestycyjne;x;115810;66156
014-004-001-001;014-004-001;d;14.4.1.1;dla jednostek  sektora finansów  publicznych;6260;38151;19120
014-004-001-002;014-004-001;d;14.4.1.2;dla jednostek  sektora finansów  publicznych - współfinansowanie programów ze środków  NMF i EOG;6266;5435;271
014-004-001-003;014-004-001;d;14.4.1.3;dla jednostek  sektora finansów  publicznych - współfinansowanie programów ze środków  funduszy strukturalnych;6269;48904;37804
014-004-001-004;014-004-001;d;14.4.1.4;dla jednostek  niezaliczanych do sektora finansów  publicznych;6270;6792;4280
014-004-001-005;014-004-001;d;14.4.1.5;dla jednostek  niezaliczanych do sektora finansów  publicznych - współfinansowanie programów ze środków  NMF i EOG;6276;397;17
014-004-001-006;014-004-001;d;14.4.1.6;dla jednostek  niezaliczanych do sektora finansów  publicznych - współfinansowanie programów ze środków  z funduszy strukturalnych;6279;16131;4664
015;;a;15;PLAN FINANSOWY FUNDUSZU MODERNIZACJI BEZPIECZEŃSTWA PUBLICZNEGO;;8000;5781
015-001;015;b;15.1;Wydatki bieżące (własne);x;4600;1901
015-001-001;015-001;c;15.1.1;- pozostałe,  w tym:;x;4600;1901
015-001-001-001;015-001-001;d;15.1.1.1;zakup materiałów i wyposażenia;4210;4600;1900
015-001-001-002;015-001-001;d;15.1.1.2;opłaty bankowe;4300;0;1
015-002;015;b;15.2;Wydatki inwestycyjne;x;3400;3880
015-002-001;015-002;c;15.2.1;wydatki inwestycyjne (własne)  i wydatki na zakupy inwestycyjne (własne);6110, 6120;3400;3880
016;;a;16;PLAN FINANSOWY FUNDUSZU NAUKI I TECHNOLOGII POLSKIEJ;;592331;300000
016-001;016;b;16.1;Wydatki bieżące (własne);x;0;50000
016-001-001;016-001;c;16.1.1;- pozostałe,  w tym:;x;0;50000
016-001-001-001;016-001-001;d;16.1.1.1;inne;x;0;50000
016-002;016;b;16.2;Wydatki inwestycyjne;x;592331;250000
016-002-001;016-002;c;16.2.1;dotacje inwestycyjne;6260, 6270;592331;250000
017;;a;17;PLAN FINANSOWY FUNDUSZU POMOCY POSTPENITENCJARNEJ;;32156;24001
017-001;017;b;17.1;Dotacje na realizację zadań bieżących;2440;3360;2880
017-002;017;b;17.2;Wydatki bieżące (własne);x;1;1
017-002-001;017-002;c;17.2.1;inne;x;1;1
017-002-001-001;017-002-001;d;17.2.1.1;opłaty bankowe;4300;1;1
017-003;017;b;17.3;Wydatki inwestycyjne;x;50;0
017-003-001;017-003;c;17.3.1;wydatki inwestycyjne (własne) i wydatki na zakupy inwestycyjne (własne);6110.612;50;0
017-004;017;b;17.4;Przelewy redystrybucyjne;2960;28745;21120
018;;a;18;PLAN FINANSOWY FUNDUSZU - CENTRALNA EWIDENCJA POJAZDÓW I KIEROWCÓW;;132553;121311
018-001;018;b;18.1;Wydatki bieżące (własne);x;118555;105311
018-001-001;018-001;c;18.1.1;wynagrodzenia;4010-4100, 4170, 4180;500;855
018-001-002;018-001;c;18.1.2;składki na ubezpieczenia społeczne;4110;80;130
018-001-003;018-001;c;18.1.3;składki na fundusz Pracy;4120;13;21
018-001-004;018-001;c;18.1.4;- pozostałe, w tym:;x;117962;104305
018-001-004-001;018-001-004;d;18.1.4.1;remonty;4270;500;500
018-001-004-002;018-001-004;d;18.1.4.2;- inne, w tym:;x;117462;103805
018-001-004-002-001;018-001-004-002;e;18.1.4.2.1;zakup materiałów i wyposażenia;4210;800;1000
018-001-004-002-002;018-001-004-002;e;18.1.4.2.2;- zakup pomocy naukowych, dydaktycznych i książek;4240;5;5
018-001-004-002-003;018-001-004-002;e;18.1.4.2.3;zakup usług pozostałych;4300;116632;102200
018-001-004-002-004;018-001-004-002;e;18.1.4.2.4;zakup usług dostępu do sieci Internet;4350;20;200
018-001-004-002-005;018-001-004-002;e;18.1.4.2.5;składki do organizacji międzynarodowych;4540;0;200
018-001-004-002-006;018-001-004-002;e;18.1.4.2.6;szkolenia;4550;5;200
018-002;018;b;18.2;Wydatki inwestycyjne;x;13998;16000
