ID;Rodzic;Poziom;Typ;Nazwa;Środki europejskie
0003-0001-0001;0003-0001;c;Zadanie 2.2;Redukowanie przestępczości i działania na rzecz poprawy społecznego poczucia bezpieczeństwa;0
0003-0001-0001-0001;0003-0001-0001;d;Podzadanie 2.2.3;Zapobieganie przestępczości i aspołecznym zachowaniom oraz przeciwdziałanie przemocy i patologiom społecznym;0
0003-0001-0001-0001-0001;0003-0001-0001-0001;e;Część 56;CENTRALNE BIURO ANTYKORUPCYJNE;0
0003-0002;0003;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0003-0002-0001;0003-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0003-0002-0001-0001;0003-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0003-0002-0001-0001-0001;0003-0002-0001-0001;e;Część 56;CENTRALNE BIURO ANTYKORUPCYJNE;0
0004;;a;Dysponent;Generalny Inspektor Ochrony Danych Osobowych;0
0004-0001;0004;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0004-0001-0001;0004-0001;c;Zadanie 16.6;Ochrona Praw Obywatelskich i Praw Dziecka;0
0004-0001-0001-0001;0004-0001-0001;d;Podzadanie 16.6.5;Ochrona danych osobowych;0
0004-0001-0001-0001-0001;0004-0001-0001-0001;e;Część 10;GENERALNY INSPEKTOR OCHRONY DANYCH OSOBOWYCH;0
0005;;a;Dysponent;Główny Urząd Miar;0
0005-0001;0005;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;0
0005-0001-0001;0005-0001;c;Zadanie 6.5;Wykonywanie czynności z dziedziny metrologii i probiernictwa;0
0005-0001-0001-0001;0005-0001-0001;d;Podzadanie 6.5.1;Wykonywanie czynności z dziedziny metrologii na potrzeby podmiotów funkcjonujących w gospodarce;0
0005-0001-0001-0001-0001;0005-0001-0001-0001;e;Część 64;GŁÓWNY URZĄD MIAR;0
0005-0001-0001-0002;0005-0001-0001;d;Podzadanie 6.5.2;Badanie i cechowanie wyrobów z metali szlachetnych oraz nadzór nad obrotem tymi wyrobami;0
0005-0001-0001-0002-0001;0005-0001-0001-0002;e;Część 64;GŁÓWNY URZĄD MIAR;0
0005-0001-0001-0003;0005-0001-0001;d;Podzadanie 6.5.3;Wykonywanie czynności z zakresu kas rejestrujących na potrzeby podmiotów funkcjonujących w gospodarce;0
0005-0001-0001-0003-0001;0005-0001-0001-0003;e;Część 64;GŁÓWNY URZĄD MIAR;0
0005-0002;0005;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0005-0002-0001;0005-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0005-0002-0001-0001;0005-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0005-0002-0001-0001-0001;0005-0002-0001-0001;e;Część 64;GŁÓWNY URZĄD MIAR;0
0006;;a;Dysponent;Główny Urząd Statystyczny;3250
0006-0001;0006;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;3250
0006-0001-0001;0006-0001;c;Zadanie 6.10;Statystyka publiczna;3250
0006-0001-0001-0001;0006-0001-0001;d;Podzadanie 6.10.1;Organizowanie i prowadzenie badań statystycznych;2116
0006-0001-0001-0001-0001;0006-0001-0001-0001;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;2116
0006-0001-0001-0002;0006-0001-0001;d;Podzadanie 6.10.2;Badania i analizy statystyczne;0
0006-0001-0001-0002-0001;0006-0001-0001-0002;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;0
0006-0001-0001-0003;0006-0001-0001;d;Podzadanie 6.10.3;Przeprowadzanie spisów powszechnych;624
0006-0001-0001-0003-0001;0006-0001-0001-0003;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;624
0006-0001-0001-0004;0006-0001-0001;d;Podzadanie 6.10.4;Udostępnianie i upowszechnianie wyników informacji statystycznych oraz innych opracowań;510
0006-0001-0001-0004-0001;0006-0001-0001-0004;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;510
0006-0002;0006;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0006-0002-0001;0006-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0006-0002-0001-0001;0006-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0006-0002-0001-0001-0001;0006-0002-0001-0001;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;0
0006-0003;0006;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0006-0003-0001;0006-0003;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0006-0003-0001-0001;0006-0003-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0006-0003-0001-0001-0001;0006-0003-0001-0001;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;0
0007;;a;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;0
0007-0001;0007;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;0
0007-0001-0001;0007-0001;c;Zadanie 1.9;Gromadzenie i zarządzanie dokumentami organów bezpieczeństwa państwa oraz organów bezpieczeństwa III Rzeszy Niemieckiej i Związku Socjalistycznych Republik Radzieckich sporządzonymi od 1 września 1939 r. do 31 lipca 1990 r., prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych, zbrodni przeciwko ludzkości i innych, działalność lustracyjna;0
0007-0001-0001-0001;0007-0001-0001;d;Podzadanie 1.9.1;Udostępnianie dokumentów i informacji o zbiorach zgromadzonych w archiwach IPN;0
0007-0001-0001-0001-0001;0007-0001-0001-0001;e;Część 13;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;0
0007-0001-0001-0002;0007-0001-0001;d;Podzadanie 1.9.2;Prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych oraz przeciwko ludzkości i innych;0
0007-0001-0001-0002-0001;0007-0001-0001-0002;e;Część 13;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;0
0007-0001-0001-0003;0007-0001-0001;d;Podzadanie 1.9.3;Przygotowywanie i publikowanie informacji dotyczących funkcjonariuszy organów bezpieczeństwa państwa, osób rozpracowywanych, funkcjonariuszy państwowych i partyjnych w latach 1944-1990 oraz osób publicznych wg art. 22 tzw. ustawy lustracyjnej z 2006 roku, prowadzenie rejestru oświadczeń lustracyjnych i jego analiza, przygotowanie postępowań lustracyjnych;0
0007-0001-0001-0003-0001;0007-0001-0001-0003;e;Część 13;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;0
0007-0001-0001-0004;0007-0001-0001;d;Podzadanie 1.9.4;Prowadzenie działalności edukacyjnej i popularyzatorskiej;0
0007-0001-0001-0004-0001;0007-0001-0001-0004;e;Część 13;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;0
0007-0002;0007;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;0
0007-0002-0001;0007-0002;c;Zadanie 13.3;Ubezpieczenia społeczne;0
0007-0002-0001-0001;0007-0002-0001;d;Podzadanie 13.3.4;Prewencja i rehabilitacja;0
0007-0002-0001-0001-0001;0007-0002-0001-0001;e;Część 13;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;0
0008;;a;Dysponent;Kancelaria Prezesa Rady Ministrów;9471
0008-0001;0008;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;9471
0008-0001-0001;0008-0001;c;Zadanie 1.3;Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów i Rady Ministrów;9471
0008-0001-0001-0001;0008-0001-0001;d;Podzadanie 1.3.1;Obsługa i koordynacja prac rządu;0
0008-0001-0001-0001-0001;0008-0001-0001-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;0
0008-0001-0001-0002;0008-0001-0001;d;Podzadanie 1.3.3;Zarządzanie korpusem służby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej;9471
0008-0001-0001-0002-0001;0008-0001-0001-0002;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;9471
0008-0002;0008;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0008-0002-0001;0008-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0008-0002-0001-0001;0008-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0008-0002-0001-0001-0001;0008-0002-0001-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;0
0008-0003;0008;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0008-0003-0001;0008-0003;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0008-0003-0001-0001;0008-0003-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0008-0003-0001-0001-0001;0008-0003-0001-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;0
0008-0004;0008;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0008-0004-0001;0008-0004;c;Zadanie 16.1;Obsługa administracyjna obywatela;0
0008-0004-0001-0001;0008-0004-0001;d;Podzadanie 16.1.2;Wydawanie dokumentów paszportowych;0
0008-0004-0001-0001-0001;0008-0004-0001-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;0
0008-0004-0002;0008-0004;c;Zadanie 16.4;Wspieranie Polonii i Polaków za granicą;0
0008-0004-0002-0001;0008-0004-0002;d;Podzadanie 16.4.1;Współpraca i wspieranie Polonii i Polaków za granicą;0
0008-0004-0002-0001-0001;0008-0004-0002-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;0
0008-0004-0003;0008-0004;c;Zadanie 16.5;Obsługa cudzoziemców i ruchy migracyjne;0
0008-0004-0003-0001;0008-0004-0003;d;Podzadanie 16.5.1;Obsługa cudzoziemców;0
0008-0004-0003-0001-0001;0008-0004-0003-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;0
0008-0005;0008;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;0
0008-0005-0001;0008-0005;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;0
0008-0005-0001-0001;0008-0005-0001;d;Podzadanie 17.3.10;Wdrażanie PO Infrastruktura i Środowisko;0
0008-0005-0001-0001-0001;0008-0005-0001-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;0
0008-0006;0008;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0008-0006-0001;0008-0006;c;Zadanie 22.2;Obsługa administracyjna;0
0008-0006-0001-0002;0008-0006-0001;d;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;0
0009;;a;Dysponent;Kancelaria Prezydenta RP;0
0009-0001;0009;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;0
0009-0001-0001;0009-0001;c;Zadanie 1.1;Obsługa merytoryczna i kancelaryjno-biurowa Prezydenta Rzeczypospolitej Polskiej;0
0009-0001-0001-0001;0009-0001-0001;d;Podzadanie 1.1.1;Obsługa i koordynacja urzędu Prezydenta RP;0
0009-0001-0001-0001-0001;0009-0001-0001-0001;e;Część 01;KANCELARIA PREZYDENTA RP;0
0009-0001-0001-0002;0009-0001-0001;d;Podzadanie 1.1.2;Obsługa prawna urzędu Prezydenta RP;0
0009-0001-0001-0002-0001;0009-0001-0001-0002;e;Część 01;KANCELARIA PREZYDENTA RP;0
0009-0002;0009;b;FUNKCJA 9;KULTURA I DZIEDZICTWO NARODOWE;0
0009-0002-0001;0009-0002;c;Zadanie 9.2;Ochrona dziedzictwa narodowego;0
0009-0002-0001-0001;0009-0002-0001;d;Podzadanie 9.2.3;Zachowanie, utrzymanie i zagospodarowanie zabytków;0
0009-0002-0001-0001-0001;0009-0002-0001-0001;e;Część 01;KANCELARIA PREZYDENTA RP;0
0010;;a;Dysponent;Kancelaria Sejmu;0
0010-0001;0010;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;0
0010-0001-0001;0010-0001;c;Zadanie 1.2;Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym;0
0010-0001-0001-0001;0010-0001-0001;d;Podzadanie 1.2.1;Wsparcie merytoryczne parlamentarzystów;0
0010-0001-0001-0001-0001;0010-0001-0001-0001;e;Część 02;KANCELARIA SEJMU;0
0010-0001-0001-0002;0010-0001-0001;d;Podzadanie 1.2.2;Zapewnianie warunków wykonywania mandatu posła i senatora;0
0010-0001-0001-0002-0001;0010-0001-0001-0002;e;Część 02;KANCELARIA SEJMU;0
0010-0002;0010;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0010-0002-0001;0010-0002;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0010-0002-0001-0001;0010-0002-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0010-0002-0001-0001-0001;0010-0002-0001-0001;e;Część 02;KANCELARIA SEJMU;0
0010-0003;0010;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0010-0003-0001;0010-0003;c;Zadanie 22.3;Obsługa techniczna;0
0010-0003-0001-0002;0010-0003-0001;d;Część 02;KANCELARIA SEJMU;0
0011;;a;Dysponent;Kancelaria Senatu;0
0011-0001;0011;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;0
0011-0001-0001;0011-0001;c;Zadanie 1.2;Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym;0
0011-0001-0001-0001;0011-0001-0001;d;Podzadanie 1.2.1;Wsparcie merytoryczne parlamentarzystów;0
0011-0001-0001-0001-0001;0011-0001-0001-0001;e;Część 03;KANCELARIA SENATU;0
0011-0001-0001-0002;0011-0001-0001;d;Podzadanie 1.2.2;Zapewnianie warunków wykonywania mandatu posła i senatora;0
0011-0001-0001-0002-0001;0011-0001-0001-0002;e;Część 03;KANCELARIA SENATU;0
0011-0002;0011;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0011-0002-0001;0011-0002;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0011-0002-0001-0001;0011-0002-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0011-0002-0001-0001-0001;0011-0002-0001-0001;e;Część 03;KANCELARIA SENATU;0
0011-0003;0011;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0011-0003-0001;0011-0003;c;Zadanie 16.4;Wspieranie Polonii i Polaków za granicą;0
0011-0003-0001-0001;0011-0003-0001;d;Podzadanie 16.4.1;Współpraca i wspieranie Polonii i Polaków za granicą;0
0011-0003-0001-0001-0001;0011-0003-0001-0001;e;Część 03;KANCELARIA SENATU;0
0011-0004;0011;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0011-0004-0001;0011-0004;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0011-0004-0001-0002;0011-0004-0001;d;Część 03;KANCELARIA SENATU;0
0011-0004-0002;0011-0004;c;Zadanie 22.2;Obsługa administracyjna;0
0011-0004-0002-0003;0011-0004-0002;d;Część 03;KANCELARIA SENATU;0
0011-0004-0003;0011-0004;c;Zadanie 22.3;Obsługa techniczna;0
0011-0004-0003-0004;0011-0004-0003;d;Część 03;KANCELARIA SENATU;0
0012;;a;Dysponent;Kasa Rolniczego Ubezpieczenia Społecznego;0
0012-0001;0012;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0012-0001-0001;0012-0001;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0012-0001-0001-0001;0012-0001-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0012-0001-0001-0001-0001;0012-0001-0001-0001;e;Część 72;KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO;0
0012-0002;0012;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;0
0012-0002-0001;0012-0002;c;Zadanie 13.3;Ubezpieczenia społeczne;0
0012-0002-0001-0001;0012-0002-0001;d;Podzadanie 13.3.2;Nadzór nad zgodnością działań Zakładu Ubezpieczeń Społecznych z obowiązującymi przepisami prawa;0
0012-0002-0001-0001-0001;0012-0002-0001-0001;e;Część 72;KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO;0
0012-0003;0012;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0012-0003-0001;0012-0003;c;Zadanie 16.8;Budowa społeczeństwa obywatelskiego;0
0012-0003-0001-0001;0012-0003-0001;d;Podzadanie 16.8.3;Nadzór i kontrola nad organizacjami pożytku publicznego oraz fundacjami, dla których ministrem właściwym jest Minister Pracy i Polityki Społecznej;0
0012-0003-0001-0001-0001;0012-0003-0001-0001;e;Część 72;KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO;0
0012-0004;0012;b;FUNKCJA 20;ZDROWIE;0
0012-0004-0001;0012-0004;c;Zadanie 20.1;Zapewnianie dostępu do świadczeń opieki zdrowotnej;0
0012-0004-0001-0001;0012-0004-0001;d;Podzadanie 20.1.1;Organizacja oraz nadzór nad systemem opieki zdrowotnej;0
0012-0004-0001-0001-0001;0012-0004-0001-0001;e;Część 72;KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO;0
0012-0005;0012;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0012-0005-0001;0012-0005;c;Zadanie 22.2;Obsługa administracyjna;0
0012-0005-0001-0002;0012-0005-0001;d;Część 72;KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO;0
0013;;a;Dysponent;Komisja Nadzoru Finansowego;0
0013-0001;0013;b;FUNKCJA 4;ZARZĄDZANIE FINANSAMI PAŃSTWA;0
0013-0001-0001;0013-0001;c;Zadanie 4.4;Zarządzanie długiem publicznym;0
0013-0001-0001-0001;0013-0001-0001;d;Podzadanie 4.4.1;Zarządzanie i obsługa długu krajowego;0
0013-0001-0001-0001-0001;0013-0001-0001-0001;e;Część 70;KOMISJA NADZORU FINANSOWEGO;0
0013-0001-0001-0002;0013-0001-0001;d;Podzadanie 4.4.2;Zarządzanie i obsługa długu zagranicznego;0
0013-0001-0001-0002-0001;0013-0001-0001-0002;e;Część 70;KOMISJA NADZORU FINANSOWEGO;0
0013-0001-0001-0003;0013-0001-0001;d;Podzadanie 4.4.3;Nadzór nad działalnością rynku emerytalnego;0
0013-0001-0001-0003-0001;0013-0001-0001-0003;e;Część 70;KOMISJA NADZORU FINANSOWEGO;0
0013-0001-0001-0004;0013-0001-0001;d;Podzadanie 4.4.4;Nadzór bankowy;0
0013-0001-0001-0004-0001;0013-0001-0001-0004;e;Część 70;KOMISJA NADZORU FINANSOWEGO;0
0014;;a;Dysponent;Krajowa Rada Radiofonii i Telewizji;0
0014-0001;0014;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;0
0014-0001-0001;0014-0001;c;Zadanie 1.8;Ochrona wolności słowa, prawo do informacji oraz interes publiczny w radiofonii i telewizji;0
0014-0001-0001-0001;0014-0001-0001;d;Podzadanie 1.8.1;Koncesje na rozpowszechnianie programów radiowych i telewizyjnych oraz rejestrowanie programów rozprowadzanych w sieciach kablowych;0
0014-0001-0001-0001-0001;0014-0001-0001-0001;e;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;0
0014-0001-0001-0002;0014-0001-0001;d;Podzadanie 1.8.2;Kontrola programów radiowych i telewizyjnych oraz organizowanie badań treści i odbioru tych programów;0
0014-0001-0001-0002-0001;0014-0001-0001-0002;e;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;0
0014-0001-0001-0003;0014-0001-0001;d;Podzadanie 1.8.3;Działalność KRRiT w zakresie środków abonamentowych;0
0014-0001-0001-0003-0001;0014-0001-0001-0003;e;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;0
0014-0002;0014;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0014-0002-0001;0014-0002;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0014-0002-0001-0002;0014-0002-0001;d;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;0
0014-0002-0002;0014-0002;c;Zadanie 22.2;Obsługa administracyjna;0
0014-0002-0002-0003;0014-0002-0002;d;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;0
0014-0002-0003;0014-0002;c;Zadanie 22.3;Obsługa techniczna;0
0014-0002-0003-0004;0014-0002-0003;d;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;0
0015;;a;Dysponent;Krajowa Rada Sądownictwa;0
0015-0001;0015;b;FUNKCJA 18;SPRAWIEDLIWOŚĆ;0
0015-0001-0001;0015-0001;c;Zadanie 18.3;Sprawowanie wymiaru sprawiedliwości przez Sąd Najwyższy oraz działalność KRS;0
0015-0001-0001-0001;0015-0001-0001;d;Podzadanie 18.3.2;Strzeżenie niezależności sądów i niezawisłości sędziów;0
0015-0001-0001-0001-0001;0015-0001-0001-0001;e;Część 52;KRAJOWA RADA SĄDOWNICTWA;0
0016;;a;Dysponent;Krajowe Biuro Wyborcze;0
0016-0001;0016;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;0
0016-0001-0001;0016-0001;c;Zadanie 1.5;Organizacja i przeprowadzanie wyborów;0
0016-0001-0001-0001;0016-0001-0001;d;Podzadanie 1.5.2;Wybory do Sejmu i Senatu;0
0016-0001-0001-0001-0001;0016-0001-0001-0001;e;Część 11;KRAJOWE BIURO WYBORCZE;0
0016-0001-0001-0002;0016-0001-0001;d;Podzadanie 1.5.4;Wybory do rad gmin, rad powiatów i sejmików województw, wybory wójtów, burmistrzów i prezydentów miast oraz referenda gminne, powiatowe i wojewódzkie;0
0016-0001-0001-0002-0001;0016-0001-0001-0002;e;Część 11;KRAJOWE BIURO WYBORCZE;0
0016-0001-0001-0003;0016-0001-0001;d;Podzadanie 1.5.5;Referenda ogólnokrajowe i konstytucyjne w tym obsługa pod względem merytorycznym, finansowym, technicznym i organizacyjnym PKW i Komisarzy wyborczych;0
0016-0001-0001-0003-0001;0016-0001-0001-0003;e;Część 11;KRAJOWE BIURO WYBORCZE;0
0016-0001-0001-0004;0016-0001-0001;d;Podzadanie 1.5.6;Finansowanie partii politycznych;0
0016-0001-0001-0004-0001;0016-0001-0001-0004;e;Część 11;KRAJOWE BIURO WYBORCZE;0
0016-0002;0016;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0016-0002-0001;0016-0002;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0016-0002-0001-0002;0016-0002-0001;d;Część 11;KRAJOWE BIURO WYBORCZE;0
0016-0002-0002;0016-0002;c;Zadanie 22.2;Obsługa administracyjna;0
0016-0002-0002-0003;0016-0002-0002;d;Część 11;KRAJOWE BIURO WYBORCZE;0
0016-0002-0003;0016-0002;c;Zadanie 22.3;Obsługa techniczna;0
0016-0002-0003-0004;0016-0002-0003;d;Część 11;KRAJOWE BIURO WYBORCZE;0
0017;;a;Dysponent;Ministerstwo Edukacji Narodowej;325321
0017-0001;0017;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;0
0017-0001-0001;0017-0001;c;Zadanie 2.5; Zarządzanie kryzysowe i obrona cywilna;0
0017-0001-0001-0001;0017-0001-0001;d;Podzadanie 2.5.1;Koordynacja przedsięwzięć z zakresu zarządzania kryzysowego;0
0017-0001-0001-0001-0001;0017-0001-0001-0001;e;Część 30;OŚWIATA I WYCHOWANIE;0
0017-0001-0001-0002;0017-0001-0001;d;Podzadanie 2.5.3;Obrona cywilna;0
0017-0001-0001-0002-0001;0017-0001-0001-0002;e;Część 30;OŚWIATA I WYCHOWANIE;0
0017-0002;0017;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;325321
