ID;Rodzic;Poziom;Typ;Treść;Budżet Państwa
0004;;a;Dysponent;Generalny Inspektor Ochrony Danych Osobowych;14700
0004-0001;0004;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;14700
0004-0001-0001;0004-0001;c;Zadanie 16.6;Ochrona Praw Obywatelskich i Praw Dziecka;14700
0004-0001-0001-0001;0004-0001-0001;d;Podzadanie 16.6.5;Ochrona danych osobowych;14700
0004-0001-0001-0001-0001;0004-0001-0001-0001;e;Część 10;GENERALNY INSPEKTOR OCHRONY DANYCH OSOBOWYCH;14700
0005;;a;Dysponent;Główny Urząd Miar;126631
0005-0001;0005;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;126631
0005-0001-0001;0005-0001;c;Zadanie 6.5;Wykonywanie czynności z dziedziny metrologii i probiernictwa;126631
0005-0001-0001-0001;0005-0001-0001;d;Podzadanie 6.5.1;Wykonywanie czynności z dziedziny metrologii na potrzeby podmiotów funkcjonujących w gospodarce;115683
0005-0001-0001-0001-0001;0005-0001-0001-0001;e;Część 64;GŁÓWNY URZĄD MIAR;115683
0005-0001-0001-0002;0005-0001-0001;d;Podzadanie 6.5.2;Badanie i cechowanie wyrobów z metali szlachetnych oraz nadzór nad obrotem tymi wyrobami;10948
0005-0001-0001-0002-0001;0005-0001-0001-0002;e;Część 64;GŁÓWNY URZĄD MIAR;10948
0006;;a;Dysponent;Główny Urząd Statystyczny;694382
0006-0001;0006;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;693963
0006-0001-0001;0006-0001;c;Zadanie 6.10;Statystyka publiczna;693963
0006-0001-0001-0001;0006-0001-0001;d;Podzadanie 6.10.1;Organizowanie i prowadzenie badań statystycznych;278486
0006-0001-0001-0001-0001;0006-0001-0001-0001;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;278486
0006-0001-0001-0002;0006-0001-0001;d;Podzadanie 6.10.2;Badania i analizy statystyczne;2966
0006-0001-0001-0002-0001;0006-0001-0001-0002;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;2966
0006-0001-0001-0003;0006-0001-0001;d;Podzadanie 6.10.3;Przeprowadzanie spisów powszechnych;317600
0006-0001-0001-0003-0001;0006-0001-0001-0003;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;317600
0006-0001-0001-0004;0006-0001-0001;d;Podzadanie 6.10.4;Udostępnianie i upowszechnianie wyników informacji statystycznych oraz innych opracowań;53131
0006-0001-0001-0004-0001;0006-0001-0001-0004;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;53131
0006-0001-0001-0005;0006-0001-0001;d;Podzadanie 6.10.5;Prowadzenie krajowych rejestrów urzędowych;41780
0006-0001-0001-0005-0001;0006-0001-0001-0005;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;41780
0006-0002;0006;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;419
0006-0002-0001;0006-0002;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;419
0006-0002-0001-0001;0006-0002-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;419
0006-0002-0001-0001-0001;0006-0002-0001-0001;e;Część 58;GŁÓWNY URZĄD STATYSTYCZNY;419
0007;;a;Dysponent;Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu;239849
0007-0001;0007;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;182556
0007-0001-0001;0007-0001;c;Zadanie 1.9;Gromadzenie i zarządzanie dokumentami organów bezpieczeństwa państwa oraz organów bezpieczeństwa III Rzeszy Niemieckiej i Związku Socjalistycznych Republik Radzieckich sporządzonymi od 1 września 1939 r. do 31 lipca 1990 r., prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych, zbrodni przeciwko ludzkości i innych, działalność lustracyjna;182556
0007-0001-0001-0001;0007-0001-0001;d;Podzadanie 1.9.1;Udostępnianie dokumentów i informacji o zbiorach zgromadzonych w archiwach IPN;124046
0007-0001-0001-0001-0001;0007-0001-0001-0001;e;Część 13;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;124046
0007-0001-0001-0002;0007-0001-0001;d;Podzadanie 1.9.2;Prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych oraz przeciwko ludzkości i innych;30621
0007-0001-0001-0002-0001;0007-0001-0001-0002;e;Część 13;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;30621
0007-0001-0001-0003;0007-0001-0001;d;Podzadanie 1.9.3;Przygotowywanie i publikowanie informacji dotyczących funkcjonariuszy organów bezpieczeństwa państwa, osób rozpracowywanych, funkcjonariuszy państwowych i partyjnych w latach 1944-1990 oraz osób publicznych wg art. 22 tzw. ustawy lustracyjnej z 2006 roku, prowadzenie rejestru oświadczeń lustracyjnych i jego analiza, przygotowanie postępowań lustracyjnych;27889
0007-0001-0001-0003-0001;0007-0001-0001-0003;e;Część 13;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;27889
0007-0002;0007;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;55198
0007-0002-0001;0007-0002;c;Zadanie 3.1;Edukacja i wychowanie;55198
0007-0002-0001-0001;0007-0002-0001;d;Podzadanie 3.1.9;Prowadzenie działalności edukacyjnej, badawczej i popularyzatorskiej przez IPN;55198
0007-0002-0001-0001-0001;0007-0002-0001-0001;e;Część 13;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;55198
0007-0003;0007;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;2095
0007-0003-0001;0007-0003;c;Zadanie 13.3;Ubezpieczenia społeczne;2095
0007-0003-0001-0001;0007-0003-0001;d;Podzadanie 13.3.6;Uposażenia dla sędziów i prokuratorów  w stanie spoczynku i uposażenia rodzinne;2095
0007-0003-0001-0001-0001;0007-0003-0001-0001;e;Część 13;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;2095
0008;;a;Dysponent;Kancelaria Prezesa Rady Ministrów;118464
0008-0001;0008;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;79992
0008-0001-0001;0008-0001;c;Zadanie 1.3;Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów i Rady Ministrów;79992
0008-0001-0001-0001;0008-0001-0001;d;Podzadanie 1.3.1;Obsługa i koordynacja prac rządu;63232
0008-0001-0001-0001-0001;0008-0001-0001-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;63232
0008-0001-0001-0002;0008-0001-0001;d;Podzadanie 1.3.3;Zarządzanie korpusem służby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej;16760
0008-0001-0001-0002-0001;0008-0001-0001-0002;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;16760
0008-0002;0008;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;3029
0008-0002-0001;0008-0002;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;3029
0008-0002-0001-0001;0008-0002-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;3029
0008-0002-0001-0001-0001;0008-0002-0001-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;3029
0008-0003;0008;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;5184
0008-0003-0001;0008-0003;c;Zadanie 16.1;Obsługa administracyjna obywatela;2589
0008-0003-0001-0001;0008-0003-0001;d;Podzadanie 16.1.5;Prowadzenie spraw związanych z przyjmowaniem oraz rozpatrywaniem skarg i wniosków;2589
0008-0003-0001-0001-0001;0008-0003-0001-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;2589
0008-0003-0002;0008-0003;c;Zadanie 16.4;Wspieranie Polonii i Polaków za granicą;558
0008-0003-0002-0001;0008-0003-0002;d;Podzadanie 16.4.1;Współpraca i wspieranie Polonii i Polaków za granicą;558
0008-0003-0002-0001-0001;0008-0003-0002-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;558
0008-0003-0003;0008-0003;c;Zadanie 16.5;Obsługa cudzoziemców i ruchy migracyjne;2037
0008-0003-0003-0001;0008-0003-0003;d;Podzadanie 16.5.4;Ochrona praw uchodźców na terytorium RP;2037
0008-0003-0003-0001-0001;0008-0003-0003-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;2037
0008-0004;0008;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;5832
0008-0004-0001;0008-0004;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;5832
0008-0004-0001-0001;0008-0004-0001;d;Podzadanie 17.3.11;Wdrażanie PO Kapitał Ludzki;5832
0008-0004-0001-0001-0001;0008-0004-0001-0001;e;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;5832
0008-0005;0008;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;24427
0008-0005-0001;0008-0005;c;Zadanie 22.2;Obsługa administracyjna;24427
0008-0005-0001-0002;0008-0005-0001;d;Część 16;KANCELARIA PREZESA RADY MINISTRÓW;24427
0009;;a;Dysponent;Kancelaria Prezydenta RP;181833
0009-0001;0009;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;151833
0009-0001-0001;0009-0001;c;Zadanie 1.1;Obsługa merytoryczna i kancelaryjno-biurowa Prezydenta Rzeczypospolitej Polskiej;151833
0009-0001-0001-0001;0009-0001-0001;d;Podzadanie 1.1.1;Obsługa i koordynacja urzędu Prezydenta RP;130148
0009-0001-0001-0001-0001;0009-0001-0001-0001;e;Część 01;KANCELARIA PREZYDENTA RP;130148
0009-0001-0001-0002;0009-0001-0001;d;Podzadanie 1.1.2;Obsługa prawna urzędu Prezydenta RP;4960
0009-0001-0001-0002-0001;0009-0001-0001-0002;e;Część 01;KANCELARIA PREZYDENTA RP;4960
0009-0001-0001-0003;0009-0001-0001;d;Podzadanie 1.1.3;Obsługa merytoryczna Biura Bezpieczeństwa Narodowego;16725
0009-0001-0001-0003-0001;0009-0001-0001-0003;e;Część 01;KANCELARIA PREZYDENTA RP;16725
0009-0002;0009;b;FUNKCJA 9;KULTURA I DZIEDZICTWO NARODOWE;30000
0009-0002-0001;0009-0002;c;Zadanie 9.2;Ochrona dziedzictwa narodowego;30000
0009-0002-0001-0001;0009-0002-0001;d;Podzadanie 9.2.3;Zachowanie, utrzymanie i zagospodarowanie zabytków;30000
0009-0002-0001-0001-0001;0009-0002-0001-0001;e;Część 01;KANCELARIA PREZYDENTA RP;30000
0010;;a;Dysponent;Kancelaria Sejmu;430780
0010-0001;0010;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;380176
0010-0001-0001;0010-0001;c;Zadanie 1.2;Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym;380176
0010-0001-0001-0001;0010-0001-0001;d;Podzadanie 1.2.1;Wsparcie merytoryczne parlamentarzystów;50426
0010-0001-0001-0001-0001;0010-0001-0001-0001;e;Część 02;KANCELARIA SEJMU;50426
0010-0001-0001-0002;0010-0001-0001;d;Podzadanie 1.2.2;Zapewnianie warunków wykonywania mandatu posła i senatora;329750
0010-0001-0001-0002-0001;0010-0001-0001-0002;e;Część 02;KANCELARIA SEJMU;329750
0010-0002;0010;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;5712
0010-0002-0001;0010-0002;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;5712
0010-0002-0001-0001;0010-0002-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;5712
0010-0002-0001-0001-0001;0010-0002-0001-0001;e;Część 02;KANCELARIA SEJMU;5712
0010-0003;0010;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;44892
0010-0003-0001;0010-0003;c;Zadanie 22.3;Obsługa techniczna;44892
0010-0003-0001-0002;0010-0003-0001;d;Część 02;KANCELARIA SEJMU;44892
0011;;a;Dysponent;Kancelaria Senatu;176212
0011-0001;0011;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;64909
0011-0001-0001;0011-0001;c;Zadanie 1.2;Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym;64909
0011-0001-0001-0001;0011-0001-0001;d;Podzadanie 1.2.1;Wsparcie merytoryczne parlamentarzystów;12389
0011-0001-0001-0001-0001;0011-0001-0001-0001;e;Część 03;KANCELARIA SENATU;12389
0011-0001-0001-0002;0011-0001-0001;d;Podzadanie 1.2.2;Zapewnianie warunków wykonywania mandatu posła i senatora;52520
0011-0001-0001-0002-0001;0011-0001-0001-0002;e;Część 03;KANCELARIA SENATU;52520
0011-0002;0011;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;3675
0011-0002-0001;0011-0002;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;3675
0011-0002-0001-0001;0011-0002-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;3675
0011-0002-0001-0001-0001;0011-0002-0001-0001;e;Część 03;KANCELARIA SENATU;3675
0011-0003;0011;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;76845
0011-0003-0001;0011-0003;c;Zadanie 16.4;Wspieranie Polonii i Polaków za granicą;76845
0011-0003-0001-0001;0011-0003-0001;d;Podzadanie 16.4.1;Współpraca i wspieranie Polonii i Polaków za granicą;76845
0011-0003-0001-0001-0001;0011-0003-0001-0001;e;Część 03;KANCELARIA SENATU;76845
0011-0004;0011;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;30783
0011-0004-0001;0011-0004;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;6119
0011-0004-0001-0002;0011-0004-0001;d;Część 03;KANCELARIA SENATU;6119
0011-0004-0002;0011-0004;c;Zadanie 22.2;Obsługa administracyjna;5653
0011-0004-0002-0003;0011-0004-0002;d;Część 03;KANCELARIA SENATU;5653
0011-0004-0003;0011-0004;c;Zadanie 22.3;Obsługa techniczna;19011
0011-0004-0003-0004;0011-0004-0003;d;Część 03;KANCELARIA SENATU;19011
0012;;a;Dysponent;Kasa Rolniczego Ubezpieczenia Społecznego;15811660
0012-0001;0012;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;13927545
0012-0001-0001;0012-0001;c;Zadanie 13.3;Ubezpieczenia społeczne;13927545
0012-0001-0001-0001;0012-0001-0001;d;Podzadanie 13.3.1;Świadczenia społeczne;13258101
0012-0001-0001-0001-0001;0012-0001-0001-0001;e;Część 72;KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO;13258101
0012-0001-0001-0002;0012-0001-0001;d;Podzadanie 13.3.4;Prewencja i rehabilitacja;1000
0012-0001-0001-0002-0001;0012-0001-0001-0002;e;Część 72;KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO;1000
0012-0001-0001-0003;0012-0001-0001;d;Podzadanie 13.3.7;Wypłata świadczeń zleconych do realizacji Zakładowi Ubezpieczeń Społecznych i Kasie Rolniczego Ubezpieczenia Społecznego;668444
0012-0001-0001-0003-0001;0012-0001-0001-0003;e;Część 72;KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO;668444
0012-0001-0002;0012-0001;c;Zadanie 13.7;Informatyzacja działalności i budowa społeczeństwa informacyjnego;0
0012-0001-0002-0001;0012-0001-0002;d;Podzadanie 13.7.2;Budowa i wdrożenie rozwiązań informatycznych;0
0012-0001-0002-0001-0001;0012-0001-0002-0001;e;Część 72;KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO;0
0012-0002;0012;b;FUNKCJA 20;ZDROWIE;1884115
0012-0002-0001;0012-0002;c;Zadanie 20.1;Zapewnianie dostępu do świadczeń opieki zdrowotnej;1884115
0012-0002-0001-0001;0012-0002-0001;d;Podzadanie 20.1.6;Składki na ubezpieczenia zdrowotne opłacane z budżetu państwa za osoby uprawnione;1884115
0012-0002-0001-0001-0001;0012-0002-0001-0001;e;Część 72;KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO;1884115
0012-0003;0012;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0012-0003-0001;0012-0003;c;Zadanie 22.2;Obsługa administracyjna;0
0012-0003-0001-0002;0012-0003-0001;d;Część 72;KASA ROLNICZEGO UBEZPIECZENIA  SPOŁECZNEGO;0
0013;;a;Dysponent;Komisja Nadzoru Finansowego;203144
0013-0001;0013;b;FUNKCJA 4;ZARZĄDZANIE FINANSAMI PAŃSTWA;202674
0013-0001-0001;0013-0001;c;Zadanie 4.9;Nadzór nad rynkiem kapitałowym, ubezpieczeniowym, emerytalnym i bankowym;202674
0013-0001-0001-0001;0013-0001-0001;d;Podzadanie 4.9.1;Nadzór nad podmiotami rynku kapitałowego;36483
0013-0001-0001-0001-0001;0013-0001-0001-0001;e;Część 70;KOMISJA NADZORU FINANSOWEGO;36483
0013-0001-0001-0002;0013-0001-0001;d;Podzadanie 4.9.2;Nadzór nad działalnością zakładów ubezpieczeń;22295
0013-0001-0001-0002-0001;0013-0001-0001-0002;e;Część 70;KOMISJA NADZORU FINANSOWEGO;22295
0013-0001-0001-0003;0013-0001-0001;d;Podzadanie 4.9.3;Nadzór nad działalnością rynku emerytalnego;14187
0013-0001-0001-0003-0001;0013-0001-0001-0003;e;Część 70;KOMISJA NADZORU FINANSOWEGO;14187
0013-0001-0001-0004;0013-0001-0001;d;Podzadanie 4.9.4;Nadzór bankowy;129709
0013-0001-0001-0004-0001;0013-0001-0001-0004;e;Część 70;KOMISJA NADZORU FINANSOWEGO;129709
0013-0002;0013;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;470
0013-0002-0001;0013-0002;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;470
0013-0002-0001-0001;0013-0002-0001;d;Podzadanie 17.4.3;Wdrażanie projektów w ramach Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego;470
0013-0002-0001-0001-0001;0013-0002-0001-0001;e;Część 70;KOMISJA NADZORU FINANSOWEGO;470
0014;;a;Dysponent;Krajowa Rada Radiofonii i Telewizji;20590
0014-0001;0014;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;9993
0014-0001-0001;0014-0001;c;Zadanie 1.8;Ochrona wolności słowa, prawo do informacji oraz interes publiczny w radiofonii i telewizji;9993
0014-0001-0001-0001;0014-0001-0001;d;Podzadanie 1.8.1;Koncesje na rozpowszechnianie programów radiowych i telewizyjnych oraz rejestrowanie programów rozprowadzanych w sieciach kablowych;3290
0014-0001-0001-0001-0001;0014-0001-0001-0001;e;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;3290
0014-0001-0001-0002;0014-0001-0001;d;Podzadanie 1.8.2;Kontrola programów radiowych i telewizyjnych oraz organizowanie badań treści i odbioru tych programów;4660
0014-0001-0001-0002-0001;0014-0001-0001-0002;e;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;4660
0014-0001-0001-0003;0014-0001-0001;d;Podzadanie 1.8.3;Działalność KRRiT w zakresie środków abonamentowych;2043
0014-0001-0001-0003-0001;0014-0001-0001-0003;e;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;2043
0014-0002;0014;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;10597
0014-0002-0001;0014-0002;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;5219
0014-0002-0001-0002;0014-0002-0001;d;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;5219
0014-0002-0002;0014-0002;c;Zadanie 22.2;Obsługa administracyjna;2746
0014-0002-0002-0003;0014-0002-0002;d;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;2746
0014-0002-0003;0014-0002;c;Zadanie 22.3;Obsługa techniczna;2632
0014-0002-0003-0004;0014-0002-0003;d;Część 09;KRAJOWA RADA RADIOFONII I TELEWIZJI;2632
0015;;a;Dysponent;Krajowa Rada Sądownictwa;11650
0015-0001;0015;b;FUNKCJA 18;SPRAWIEDLIWOŚĆ;11650
0015-0001-0001;0015-0001;c;Zadanie 18.3;Sprawowanie wymiaru sprawiedliwości przez Sąd Najwyższy oraz działalność KRS;11650
0015-0001-0001-0001;0015-0001-0001;d;Podzadanie 18.3.2;Strzeżenie niezależności sądów i niezawisłości sędziów;11650
0015-0001-0001-0001-0001;0015-0001-0001-0001;e;Część 52;KRAJOWA RADA SĄDOWNICTWA;11650
0016;;a;Dysponent;Krajowe Biuro Wyborcze;46629
0016-0001;0016;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;0
0016-0001-0001;0016-0001;c;Zadanie 1.5;Organizacja i przeprowadzanie wyborów;0
0016-0001-0001-0001;0016-0001-0001;d;Podzadanie 1.5.1;Wybory Prezydenta Rzeczpospolitej Polskiej;0
0016-0001-0001-0001-0001;0016-0001-0001-0001;e;Część 11;KRAJOWE BIURO WYBORCZE;0
0016-0001-0001-0002;0016-0001-0001;d;Podzadanie 1.5.2;Wybory do Sejmu i Senatu;0
0016-0001-0001-0002-0001;0016-0001-0001-0002;e;Część 11;KRAJOWE BIURO WYBORCZE;0
0016-0001-0001-0003;0016-0001-0001;d;Podzadanie 1.5.4;Wybory do rad gmin, rad powiatów i sejmików województw, wybory wójtów, burmistrzów i prezydentów miast oraz referenda gminne, powiatowe i wojewódzkie;0
0016-0001-0001-0003-0001;0016-0001-0001-0003;e;Część 11;KRAJOWE BIURO WYBORCZE;0
0016-0001-0001-0004;0016-0001-0001;d;Podzadanie 1.5.5;Referenda ogólnokrajowe i konstytucyjne w tym obsługa pod względem merytorycznym, finansowym, technicznym i organizacyjnym PKW i Komisarzy wyborczych;0
0016-0001-0001-0004-0001;0016-0001-0001-0004;e;Część 11;KRAJOWE BIURO WYBORCZE;0
0016-0002;0016;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;46629
0016-0002-0001;0016-0002;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;4293
0016-0002-0001-0002;0016-0002-0001;d;Część 11;KRAJOWE BIURO WYBORCZE;4293
0016-0002-0002;0016-0002;c;Zadanie 22.2;Obsługa administracyjna;35487
0016-0002-0002-0003;0016-0002-0002;d;Część 11;KRAJOWE BIURO WYBORCZE;35487
0016-0002-0003;0016-0002;c;Zadanie 22.3;Obsługa techniczna;6849
0016-0002-0003-0004;0016-0002-0003;d;Część 11;KRAJOWE BIURO WYBORCZE;6849
0017;;a;Dysponent;Ministerstwo Edukacji Narodowej;409582
0017-0001;0017;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;364351
0017-0001-0001;0017-0001;c;Zadanie 3.1;Edukacja i wychowanie;359451
0017-0001-0001-0001;0017-0001-0001;d;Podzadanie 3.1.1;Zarządzanie i nadzór nad systemem edukacji i wychowania;83847
0017-0001-0001-0001-0001;0017-0001-0001-0001;e;Część 30;OŚWIATA I WYCHOWANIE;83847
0017-0001-0001-0002;0017-0001-0001;d;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;4061
0017-0001-0001-0002-0001;0017-0001-0001-0002;e;Część 30;OŚWIATA I WYCHOWANIE;4061
0017-0001-0001-0003;0017-0001-0001;d;Podzadanie 3.1.3;Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej;45233
0017-0001-0001-0003-0001;0017-0001-0001-0003;e;Część 30;OŚWIATA I WYCHOWANIE;45233
0017-0001-0001-0004;0017-0001-0001;d;Podzadanie 3.1.4;Egzaminy zewnętrzne;195363
0017-0001-0001-0004-0001;0017-0001-0001-0004;e;Część 30;OŚWIATA I WYCHOWANIE;195363
0017-0001-0001-0005;0017-0001-0001;d;Podzadanie 3.1.5;Wspieranie uczniów zdolnych oraz dzieci i młodzieży ze specjalnymi potrzebami edukacyjnymi;10560
0017-0001-0001-0005-0001;0017-0001-0001-0005;e;Część 30;OŚWIATA I WYCHOWANIE;10560
