ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
02-16-04-1;02-16-04;Projekt;Wdrożenie innowacyjnej technologii produkcji nowych na rynku siedzeń modułowych;POIG.04.04.00-02-003/08-07;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;131,108,688.32;98,774,643.00;39,509,857.20;33,583,378.62;Sitech Sp. z o.o.;6922088905;59-101;Polkowice;Dolnośląskie;Powiat polkowicki;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo;00 Nie dotyczy;POIG.04.04.00-02-003/08-03;Nie;2008/12/30;2010/10/21
02-62;02;Powiat;Powiat m. Legnica;;;;;;50660500.0;37630000.0;15052000.0;12794200.0;;;;;;;;;;;;;
02-62-01;02-62;Gmina;M. Legnica;;;;;;50660500.0;37630000.0;15052000.0;12794200.0;;;;;;;;;;;;;
02-62-01-1;02-62-01;Projekt;Inwestycja w innowacyjną technologię do produkcji złączek do instalacji wody pitnej i sanitarnej z ekologicznych, bezołowiowych stopów miedzi;POIG.04.04.00-02-005/08-10;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;50,660,500.00;37,630,000.00;15,052,000.00;12,794,200.00;SANHA Polska Spółka z ograniczoną odpowiedzialnością;6911972076;59-220;Legnica;Dolnośląskie;Powiat legnicki / Powiat m. Legnica;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2011/01/27
02-10;02;Powiat;Powiat lubański;;;;;;10830184.0;8877200.0;3550880.0;3018248.0;;;;;;;;;;;;;
02-10-04;02-10;Gmina;Lubań - miasto;;;;;;10830184.0;8877200.0;3550880.0;3018248.0;;;;;;;;;;;;;
02-10-04-1;02-10-04;Projekt;Wdrożenie technologii Merkel Vocomatic do produkcji siłowników hydraulicznych;POIG.04.04.00-02-007/08-06;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;10,830,184.00;8,877,200.00;3,550,880.00;3,018,248.00;Agromet ZEHS Lubań S.A.;6130003164;59-800;Lubań;Dolnośląskie;Powiat lubański;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2011/05/23
02-23;02;Powiat;Powiat wrocławski;;;;;;27902720.0;25974500.0;12986700.0;11038695.0;;;;;;;;;;;;;
02-23-05;02-23;Gmina;Kobierzyce;;;;;;10017220.0;8201000.0;4099950.0;3484957.5;;;;;;;;;;;;;
02-23-05-1;02-23-05;Projekt;Nano Beton - Polski Produkt Przyszłości - Nowa Era w Budownictwie.;POIG.04.04.00-02-009/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;10,017,220.00;8,201,000.00;4,099,950.00;3,484,957.50;SANBET FABRYKA BETONU WIESŁAWA, STEFAN PIOTROWSCY SPÓŁKA JAWNA;8961381183;55-040;Ślęza;Dolnośląskie;Powiat wrocławski;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka jawna - średnie przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2010/11/19
02-15;02;Powiat;Powiat oławski;;;;;;20420886.37;16571938.0;8283969.0;7041373.65;;;;;;;;;;;;;
02-15-04;02-15;Gmina;Oława;;;;;;10248000.0;8400000.0;4200000.0;3570000.0;;;;;;;;;;;;;
02-15-04-1;02-15-04;Projekt;"Innowacyjny wkład firmy ""Heiche - Matusewicz"" w rozwój technologii galwanizacji w przemyśle samochodowym.";POIG.04.04.00-02-014/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;10,248,000.00;8,400,000.00;4,200,000.00;3,570,000.00;"""HEICHE POLSKA"" Spółka z ograniczoną odpowiedzialnością";8971713149;52-016;Wrocław;Dolnośląskie;Powiat m. Wrocław;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;POIG.04.04.00-02-014/08-01;Tak;2008/12/30;2011/03/10
02-15-04;02-15;Gmina;Oława - miasto;;;;;;10172886.37;8171938.0;4083969.0;3471373.65;;;;;;;;;;;;;
02-15-04-1;02-15-04;Projekt;Dywersyfikacja produkcji poprzez wdrożenie innowacyjnej technologii wytwarzania mebli lekkich;POIG.04.04.00-02-015/08-08;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;10,172,886.37;8,171,938.00;4,083,969.00;3,471,373.65;STANDIS POLSKA Sp. z o.o.;8951768101;55-200;Oława;Dolnośląskie;Powiat oławski;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2010/10/25
02-14;02;Powiat;Powiat oleśnicki;;;;;;13161900.0;8769800.0;4384900.0;3727165.0;;;;;;;;;;;;;
02-14-06;02-14;Gmina;Oleśnica;;;;;;13161900.0;8769800.0;4384900.0;3727165.0;;;;;;;;;;;;;
02-14-06-1;02-14-06;Projekt;Mieszanki mineralno-asfaltowe nowej generacji;POIG.04.04.00-02-016/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;13,161,900.00;8,769,800.00;4,384,900.00;3,727,165.00;POL-DRÓG OLEŚNICA SA;9111729128;56-400;Oleśnica;Dolnośląskie;Powiat oleśnicki;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka akcyjna - średnie przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2010/11/09
02-20;02;Powiat;Powiat trzebnicki;;;;;;95615060.0;77373000.0;38686500.0;32883525.0;;;;;;;;;;;;;
02-20-02;02-20;Gmina;Prusice;;;;;;95615060.0;77373000.0;38686500.0;32883525.0;;;;;;;;;;;;;
02-20-02-1;02-20-02;Projekt;Uruchomienie innowacyjnej produkcji ekologicznych płyt celulozowo - cementowych.;POIG.04.04.00-02-019/08-08;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;95,615,060.00;77,373,000.00;38,686,500.00;32,883,525.00;"""Panda Trzebnica"" Spółka z ograniczoną odpowiedzialnością";9151565621;55-100;Trzebnica;Dolnośląskie;Powiat trzebnicki;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;POIG.04.04.00-02-019/08-05;Nie;2008/12/30;2011/05/05
02-05;02;Powiat;Powiat jaworski;;;;;;11227028.11;9391314.0;3756525.6;3193046.76;;;;;;;;;;;;;
02-05-01;02-05;Gmina;Jawor;;;;;;11227028.11;9391314.0;3756525.6;3193046.76;;;;;;;;;;;;;
02-05-01-1;02-05-01;Projekt;Biotechnologia w służbie środowiska;POIG.04.04.00-02-029/08-06;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;11,227,028.11;9,391,314.00;3,756,525.60;3,193,046.76;Global Pollena Spółka Akcyjna Fabryka Chemii Gospodarczej;6950002732;59-400;Jawor;Dolnośląskie;Powiat jaworski;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2011/05/23
02-64;02;Powiat;Powiat m. Wrocław;;;;;;24389913.49;24048045.56;13294310.42;11728191.17;;;;;;;;;;;;;
02-64-01;02-64;Gmina;M. Wrocław;;;;;;24389913.49;24048045.56;13294310.42;11728191.17;;;;;;;;;;;;;
02-64-01-1;02-64-01;Projekt;Wdrożenie innowacyjnej technologii produkcji ortopedycznych elementów implantacyjnych Spółki Michael Bubolz;POIG.04.04.00-02-034/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;17,885,500.00;17,773,500.00;8,886,750.00;7,553,737.50;Michael Bubolz spółka z ograniczoną odpowiedzialnością;8971720362;55-011;Siechnice;Dolnośląskie;Powiat wrocławski;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2010/12/01
02-23-08;02-23;Gmina;Siechnice;;;;;;17885500.0;17773500.0;8886750.0;7553737.5;;;;;;;;;;;;;
02-23-08-1;02-23-08;Projekt;Wdrożenie innowacyjnej technologii produkcji ortopedycznych elementów implantacyjnych Spółki Michael Bubolz;POIG.04.04.00-02-034/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;17,885,500.00;17,773,500.00;8,886,750.00;7,553,737.50;Michael Bubolz spółka z ograniczoną odpowiedzialnością;8971720362;55-011;Siechnice;Dolnośląskie;Powiat wrocławski;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2010/12/01
04;;Województwo;Kujawsko-pomorskie;;;;;;452898131.61;399105353.28;216459797.93;186230126.27;;;;;;;;;;;;;
04-62;04;Powiat;Powiat m. Grudziądz;;;;;;21487140.0;18023000.0;10674900.0;9073665.0;;;;;;;;;;;;;
04-62-01;04-62;Gmina;M. Grudziądz;;;;;;21487140.0;18023000.0;10674900.0;9073665.0;;;;;;;;;;;;;
04-62-01-1;04-62-01;Projekt;Zakład Budowy Stacji Uzdatniania Wody;POIG.04.04.00-04-001/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;11,012,940.00;8,642,000.00;5,984,400.00;5,086,740.00;Centrum Badawczo Wdrożeniowe UNITEX Spółka z ograniczoną odpowiedzialnością;5840152269;80-386;Gdańsk;Pomorskie;Powiat m. Gdańsk;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo;00 Nie dotyczy;POIG.04.04.00-04-001/08-09;Nie;2008/12/30;2010/07/22
04-03;04;Powiat;Powiat bydgoski;;;;;;34497600.0;26830000.0;16095000.0;13680750.0;;;;;;;;;;;;;
04-03-08;04-03;Gmina;Solec Kujawski;;;;;;15892600.0;11830000.0;7095000.0;6030750.0;;;;;;;;;;;;;
04-03-08-1;04-03-08;Projekt;Dywersyfikacja produkcji materiałów sklejanych i samoprzylepnych;POIG.04.04.00-04-003/08-06;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;15,892,600.00;11,830,000.00;7,095,000.00;6,030,750.00;"Papiery Powlekane ""PASACO"" spółka z ograniczoną odpowiedzialnością";5541013399;86-050;Solec Kujawski;Kujawsko-pomorskie;Powiat bydgoski;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2011/01/21
04-61;04;Powiat;Powiat m. Bydgoszcz;;;;;;33272789.57;25592699.53;17555432.01;15056950.87;;;;;;;;;;;;;
04-61-01;04-61;Gmina;M. Bydgoszcz;;;;;;33272789.57;25592699.53;17555432.01;15056950.87;;;;;;;;;;;;;
04-61-01-1;04-61-01;Projekt;Dywersyfikacja usług poprzez zastosowanie innowacyjnej technologii do obróbki wielkogabarytowych blach i profili.;POIG.04.04.00-04-004/08-12;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;26,227,072.67;19,354,325.83;13,548,028.08;11,515,823.87;AIRON INVESTMENT Anna Niemczewska;9531008306;86-010;Koronowo;Kujawsko-pomorskie;Powiat bydgoski;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);osoba fizyczna prowadząca działalność gospodarczą - małe przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2011/05/05
04-07;04;Powiat;Powiat inowrocławski;;;;;;12309800.0;11603500.0;8122450.0;6904082.5;;;;;;;;;;;;;
04-07-04;04-07;Gmina;Inowrocław;;;;;;12309800.0;11603500.0;8122450.0;6904082.5;;;;;;;;;;;;;
04-07-04-1;04-07-04;Projekt;Wdrożenie innowacyjnej technologii produkcji płyt warstwowych z rdzeniem z poliuretanu;POIG.04.04.00-04-009/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;12,309,800.00;11,603,500.00;8,122,450.00;6,904,082.50;"""Włozamot Panel"" Spółka z ograniczoną odpowiedzialnością";8882181231;00-189;Warszawa;Mazowieckie;Powiat m. st. Warszawa;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2010/09/16
04-63;04;Powiat;Powiat m. Toruń;;;;;;181227135.83;156615630.27;94454234.19;80850483.42;;;;;;;;;;;;;
04-63-01;04-63;Gmina;M. Toruń;;;;;;181227135.83;156615630.27;94454234.19;80850483.42;;;;;;;;;;;;;
04-63-01-1;04-63-01;Projekt;Utworzenie centrum kompleksowej obróbki laserowej metali-wdrożenie technologii spawania laserowego;POIG.04.04.00-04-010/08-11;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;14,085,455.10;11,401,061.07;7,947,778.15;6,755,611.43;LASERSTAR sp. z o.o. sp.k;8792505256;87-100;Toruń;Kujawsko-pomorskie;Powiat m. Toruń / Powiat toruński;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka komandytowa - średnie przedsiębiorstwo;00 Nie dotyczy;POIG.04.04.00-04-010/08-04;Nie;2008/12/30;2010/12/09
04-62-01-2;04-62-01;Projekt;Wdrożenie zintegrowanego procesu produkcji pomp wirowych i tłoczni ścieków.;POIG.04.04.00-04-011/08-07;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;10,474,200.00;9,381,000.00;4,690,500.00;3,986,925.00;Hydro-Vacuum Spółka Akcyjna;8760203813;86-303;Grudziądz;Kujawsko-pomorskie;Powiat m. Grudziądz;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka akcyjna - duże przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2010/07/07
04-10;04;Powiat;Powiat nakielski;;;;;;148541885.08;141967585.08;58474018.69;51242995.89;;;;;;;;;;;;;
04-10-03;04-10;Gmina;Nakło nad Notecią;;;;;;22999162.54;20624362.54;11342190.0;10410901.5;;;;;;;;;;;;;
04-10-03-1;04-10-03;Projekt;Wprowadzenie nowych produktów do oferty firmy Zelan;POIG.04.04.00-04-012/08-07;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;12,725,000.00;10,350,200.00;6,208,590.00;5,277,301.50;Zieliński Antoni Przedsiębiorstwo Produkcyjno Handlowe ZELAN Zakład Pracy Chronionej;5580002572;89-100;Nakło Nad Notecią;Kujawsko-pomorskie;Powiat nakielski / Powiat świecki;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);osoba fizyczna prowadząca działalność gospodarczą - średnie przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2010/10/20
04-03-01;04-03;Gmina;Białe Błota;;;;;;18605000.0;15000000.0;9000000.0;7650000.0;;;;;;;;;;;;;
04-03-01-1;04-03-01;Projekt;Wdrożenie produkcji pakietów szklanych z wykorzystaniem innowacyjnej technologii nanoszenia powłok wielowarstwowych metodą magnetronową w firmie BOHAMET;POIG.04.04.00-04-013/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;18,605,000.00;15,000,000.00;9,000,000.00;7,650,000.00;"Zakład Produkcyjny ""BOHAMET"" Henryk Bogusz, Jarosław Halarewicz Spółka Jawna";5540384828;86-005;Białe Błota, Ciele;Kujawsko-pomorskie;Powiat bydgoski;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka jawna - średnie przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2010/07/30
04-64;04;Powiat;Powiat m. Włocławek;;;;;;16534660.0;14250191.9;8550115.14;7267597.87;;;;;;;;;;;;;
04-64-01;04-64;Gmina;M. Włocławek;;;;;;16534660.0;14250191.9;8550115.14;7267597.87;;;;;;;;;;;;;
04-64-01-1;04-64-01;Projekt;Wdrożenie innowacyjnej technologii produkcji oxybiodegradowalnego regranulatu oraz oxybiodegradowalnych zdobionych pojemników do celów spożywczych i technicznych w firmie CHEKO;POIG.04.04.00-04-016/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;16,534,660.00;14,250,191.90;8,550,115.14;7,267,597.87;Zakłady Wytwórcze CHEKO Spółka z ograniczoną odpowiedzialnością;8880401065;87-800;Włocławek;Kujawsko-pomorskie;Powiat m. Włocławek;07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.);spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo;00 Nie dotyczy;;;2008/12/30;2010/10/14
