ID;Rodzic;Poziom;Numer;Koszty;Centrala;Dolnośląskie;Kujawsko-Pomorskie;Lubelski;Lubuski;Łódzki;Małopolski;Mazowiecki;Opolski;Podkarpacki;Podlaski;Pomorski;Śląski;Świętokrzyski;Warmińsko-Mazurski;Wielkopolski;Zachodniopomorski;Ośrodki Wojewódzkie;Ogółem
A-017;A;b;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;0;187024;123131;177743;140337;228337;238832;217798;119236;204214;95892;164060;205495;164981;185769;199218;135522;2787589;2787589
A-018;A;b;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;0;7000;101;290;2200;10000;0;5092;900;7535;234;570;50000;75900;0;0;2240;162062;162062
B;;a;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C;;a;C;Koszty realizacji zadań zespołów ratownictwa medycznego;0;131354;103057;106201;61485;113453;129607;218521;48908;100094;63930;97188;187598;53100;86400;135546;94058;1730500;1730500
D;;a;D;Koszty administracyjne, w tym;180514;33957;25394;24974;16425;27418;35969;65162;14477;22345;14611;29367;57613;16431;18985;42079;21517;466724;647238
D-001;D;b;D.1;zużycie materiałów i energii;4146;1330;921;652;621;920;1284;1990;850;881;571;1389;2293;707;749;2122;849;18129;22275
D-002;D;b;D.2;usługi obce;78361;4123;3192;2351;1803;3675;4327;11238;1900;2269;934;2982;6757;1760;1750;7372;2143;58576;136937
D-003;D;b;D.3;podatki i opłaty, w tym:;382;280;186;211;127;278;223;407;104;106;190;243;615;50;65;334;213;3632;4014
D-003-001;D-003;c;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;36;79;24;26;27;10;20;25;0;23;15;34;75;3;32;42;25;460;496
D-003-002;D-003;c;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;27;13;5;0;0;0;0;37;0;0;33;0;0;3;0;0;6;97;124
D-003-003;D-003;c;D.3.3;VAT;0;1;0;0;0;0;0;0;0;0;0;6;13;0;0;0;0;20;20
D-003-004;D-003;c;D.3.4;podatek akcyzowy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D-003-005;D-003;c;D.3.5;wpłaty na PFRON;316;186;152;177;100;265;185;320;102;53;137;191;506;44;30;228;162;2838;3154
D-003-006;D-003;c;D.3.6;inne;3;1;5;8;0;3;18;25;2;30;5;12;21;0;3;64;20;217;220
D-004;D;b;D.4;wynagrodzenia;30855;19431;13744;14274;7964;16636;21016;38918;8128;12812;9054;17671;35546;9966;10416;21781;12134;269491;300346
D-005;D;b;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;7215;3922;2774;2879;1613;3357;4245;7829;1641;2588;1833;3582;7166;2014;2095;4390;2453;54381;61596
D-005-001;D-005;c;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;4688;2892;1952;2168;1210;2527;3192;5912;1235;1946;1375;2684;5399;1514;1582;3309;1843;40740;45428
D-005-002;D-005;c;D.5.2;składki na Fundusz Pracy;757;476;337;350;195;408;515;953;199;314;222;433;871;244;255;534;297;6603;7360
D-005-003;D-005;c;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D-005-004;D-005;c;D.5.4;pozostałe świadczenia;1770;554;485;361;208;422;538;964;207;328;236;465;896;256;258;547;313;7038;8808
D-006;D;b;D.6;koszty funkcjonowania Rady Funduszu;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200
D-007;D;b;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;56757;4075;4112;3600;3656;2207;4304;4429;1534;3003;1576;3342;4603;1535;3695;5597;3341;54609;111366
D-008;D;b;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;438;504;108;700;388;169;263;87;132;468;226;0;192;148;80;0;200;3665;4103
D-009;D;b;D.9;pozostałe koszty administracyjne;2160;292;357;307;253;176;307;264;188;218;227;158;441;251;135;483;184;4241;6401
E;;a;E;Pozostałe koszty ;20440;16273;12543;12419;8930;14456;20970;37578;6841;10600;7153;11034;11423;19405;37028;23817;3084;253554;273994
E-001;E;b;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;20162;15;15;10;3930;16;10;103;1741;62;6;1520;390;5;100;1235;25;9183;29345
E-002;E;b;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;0;16058;11884;12109;4900;14260;18295;34675;5000;10288;6645;7914;10383;17900;36828;19137;3000;229276;229276
E-003;E;b;E.3;inne rezerwy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-004;E;b;E.4;inne koszty;278;200;644;300;100;180;2665;2800;100;250;502;1600;650;1500;100;3445;59;15095;15373
F;;a;F;Koszty finansowe;30819;1244;906;11048;170;280;181;10742;0;1888;49;3761;3058;4194;3;5380;18;42922;73741
G;;a;G;Koszty poboru i ewidencjonowania składek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114905
H;;a;H;Obowiązkowy odpis na rezerwę ogólną;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;580013
I;;a;I;KOSZTY OGÓŁEM (A+B+C+D+E+F);654228;4516947;3162632;3333087;1540347;4053677;4872668;9094585;1498184;3072718;1808688;3474033;7279159;2008283;2136111;5113877;2627141;59592137;60941283
