ID;Rodzic;Poziom;Typ;Nazwa;Wydatki (w tys. zł) 2011 r.;Wydatki (w tys. zł) 2012 r.;Wydatki (w tys. zł) 2013 r.
0004;;a;FUNDUSZ 4;FUNDUSZ GWARANTOWANYCH ŚWIADCZEŃ PRACOWNICZYCH;1201722;253732;163731
0004-0001;0004;b;Zadanie 4.1;Budowa nowoczesnych stosunków pracy;1201722;253732;163731
0004-0001-0001;0004-0001;c;Podzadanie 4.1.1;Elastyczność i bezpieczeństwo w zatrudnieniu;1201722;253732;163731
0005;;a;FUNDUSZ 5;FUNDUSZ EMERYTALNO-RENTOWY;16625641;16859766;17073381
0005-0001;0005;b;Zadanie 5.1;Ubezpieczenia społeczne;14763635;14911742;15110237
0005-0001-0001;0005-0001;c;Podzadanie 5.1.1;Świadczenia społeczne;14763635;14911742;15110237
0005-0002;0005;b;Zadanie 5.2;Zapewnienie dostępu do świadczeń opieki zdrowotnej;1862006;1948024;1963144
0005-0002-0001;0005-0002;c;Podzadanie 5.2.1;Składki na ubezpieczenia zdrowotne opłacane z budżetu państwa za osoby uprawnień;1862006;1948024;1963144
0006;;a;FUNDUSZ 6;FUNDUSZ PREWENCJI I REHABILITACJI;33949;33937;33987
0006-0001;0006;b;Zadanie 6.1;Ubezpieczenie społeczne;33949;33937;33987
0006-0001-0001;0006-0001;c;Podzadanie 6.1.1;Prewencja i rehabilitacja;33949;33937;33987
0007;;a;FUNDUSZ 7;FUNDUSZ ADMINISTRACYJNY;584248;605613;610545
0007-0001;0007;b;Zadanie 7.1;Obsługa administracyjna;584248;605613;610545
0008;;a;FUNDUSZ 8;FUNDUSZ REHABILITACJI OSÓB NIEPEŁNOSPRAWNYCH;4294540;5509397;5687495
0008-0001;0008;b;Zadanie 8.1;Aktywizacja społeczna osób niepełnosprawnych;486801;911354;783233
0008-0001-0001;0008-0001;c;Podzadanie 8.1.1;Wspomaganie aktywizacji społecznej osób niepełnosprawnych;486801;760438;632425
0008-0001-0002;0008-0001;c;Podzadanie 8.1.2;Prowadzenie dialogu obywatelskiego w zakresie aktywizacji społecznej osób niepełnosprawych;0;150916;150808
0008-0002;0008;b;Zadanie 8.2;Aktywizacja zawodowa osób niepełnosprawnych;3807739;4598043;4904262
0008-0002-0001;0008-0002;c;Podzadanie 8.2.1;Wspomagania aktywizacji zawodowej osób niepełnosprawnych;3807739;4598043;4904262
0009;;a;FUNDUSZ 9;FUNDUSZ REHABILITACJI OSÓB NIEPEŁNOSPRAWNYCH CIĄG DLASZY;3807739;4598043;4904262
0009-0001;0009;b;Zadanie 9.1;Aktywizacja zawodowa osób niepełnosprawnych;3807739;4598043;4904262
0009-0001-0001;0009-0001;c;Podzadanie 9.1.1;Wspomaganie aktywizacji zawodowej osób niepełnosprawnych;3807739;4598043;4904262
0010;;a;FUNDUSZ 10;FUNDUSZ UBEZPIECZEŃ SPOŁECZNYCH;166833723;173905360;180795363
0010-0001;0010;b;Zadanie 10.1;Ubezpieczenia społeczne;162999349;169282303;176327215
0010-0001-0001;0010-0001;c;Podzadanie 10.1.1;Świadczenia społeczne;162821847;169104801;176149713
0010-0001-0002;0010-0001;c;Podzadanie 10.1.2;Prewencja i rehabilitacja;177502;177502;177502
0010-0002;0010;b;Zadanie 10.2;Obsługa administracyjna;3834374;4623057;4468148
0010-0002-0001;0010-0002;c;Podzadanie 10.2.1;Obsłua FUS;3776674;4623057;4468148
0010-0002-0002;0010-0002;c;Podzadanie 10.2.2;Obsługa kredytów FUS;57700;0;0
0011;;a;FUNDUSZ 11;FUNDUSZ EMERYTUR POMOSTOWYCH;167722;254495;351263
0011-0001;0011;b;Zadanie 11.1;Ubezpieczenia społeczne;166149;252177;348172
0011-0001-0001;0011-0001;c;Podzadanie 11.1.1;Świadczenia społeczne;166149;252177;348172
0011-0002;0011;b;Zadanie 11.2;Obsługa administracyjna;1573;2318;3091
0011-0002-0001;0011-0002;c;Podzadanie 11.2.1;Obsługa FEP;1573;2318;3091
0012;;a;FUNDUSZ 12;FUNDUSZ REPRYWATYZACJI;732700;722700;722700
0012-0001;0012;b;Zadanie 12.1;Roszczenia majątkowe wobec Skarbu Państwa (w tym za mienie pozostawione poza granicami państwa);732700;722700;722700
0012-0001-0001;0012-0001;c;Podzadanie 12.1.1;Zaspokajanie roszczeń majątkowych wobec Skarbu Państwa;732700;722700;722700
0013;;a;FUNDUSZ 13;FUNDUSZ REKOMPENSACYJNY;703000;703000;703000
0013-0001;0013;b;Zadanie 13.1;Roszczenia majątkowe wobec Skarbu Państwa (w tym za mienie pozostawione poza granicami państwa);703000;703000;703000
0013-0001-0001;0013-0001;c;Podzadanie 13.1.1;Zaspokajanie roszczeń majątkowych wobec Skarbu Państwa;703000;703000;703000
0014;;a;FUNDUSZ 14;FUNDUSZ RESTRUKTURYZACJI PRZEDSIĘBIORSTW;862844;844540;545683
0014-0001;0014;b;Zadanie 14.1;Gospodarowanie mieniem Skarbu Państwa;862844;844540;545683
0014-0001-0001;0014-0001;c;Podzadanie 14.1.1;Nadzór właścicielski;862844;844540;545683
0015;;a;FUNDUSZ 15;FUNDUSZ SKARBU PAŃSTWA;182159;42484;39377
0015-0001;0015;b;Zadanie 15.1;Gospodarowanie mieniem Skarbu Państwa;172790;34520;31543
0015-0001-0001;0015-0001;c;Podzadanie 15.1.1;Przekształcenia własnościowe (prywatyzacja);163130;29007;26733
0015-0001-0002;0015-0001;c;Podzadanie 15.1.2;Nadzór właścicielski;3705;1818;1679
0015-0001-0003;0015-0001;c;Podzadanie 15.1.3;Zarządzanie mieniem Skarbu Państwa;5955;3695;3131
0015-0002;0015;b;Zadanie 15.2;Obsługa administracyjna;1174;1069;964
0015-0003;0015;b;Zadanie 15.3;Obsługa techniczna;8195;6895;6870
0016;;a;FUNDUSZ 16;FUNDUSZ POMOCY POSTPENITENCJARNEJ;24001;24001;24001
0016-0001;0016;b;Zadanie 16.1;Wykonywanie kary pozbawienia wolności i tymczasowego aresztowania;24001;24001;24001
0016-0001-0001;0016-0001;c;Podzadanie 16.1.1;Udzielanie pomocy osobom pozbawionym wolności, zwalnianym z zakładów karnych i arasztów śledczych, rodzinom tych osób, pokrzywdzonych przestępstwem i ich rodzinom;24001;24001;24001
0017;;a;FUNDUSZ 17;FUNDUSZ ROZWOJU PRZYWIĘZIENNYCH ZAKŁADÓW PRACY;821;641;641
0017-0001;0017;b;Zadanie 17.1;Wykonywanie kary pozbawienia wolności i tymczasowego aresztowania;821;641;641
0017-0001-0001;0017-0001;c;Podzadanie 17.1.1;Resocjalizacja osób pozbawionych wolności poprzez pracę;821;641;641
0018;;a;FUNDUSZ 18;FUNDUSZ GOSPODARKI ZASOBEM GEODEZYJNYM I KARTOGRAFICZNYM;23793;9529;2000
0018-0001;0018;b;Zadanie 18.1;Geodezja i kartografia;23793;9529;2000
0018-0001-0001;0018-0001;c;Podzadanie 18.1.1;Gromadzenie, prowadzenie, aktualizacja i udostępnienie zasobu geodezyjnego i kartograficznego;23793;9529;2000
0019;;a;FUNDUSZ 19;FUNDUSZ PROMOCJI KULTURY;145270;149600;153320
0019-0001;0019;b;Zadanie 19.1;Edukacja i wychowanie;6000;7000;7000
0019-0001-0001;0019-0001;c;Podzadanie 19.1.1;Infrastruktura edukacji;6000;7000;7000
0019-0002;0019;b;Zadanie 19.2;Ochrona dziedzictwa narodowego;27230;26800;26800
0019-0002-0001;0019-0002;c;Podzadanie 19.2.1;Utrzymywanie muzeów;3000;4000;4000
0019-0002-0002;0019-0002;c;Podzadanie 19.2.2;Ochrona polskiego dziedzictwa kulturtowego w kraju i za granicą;2425;2800;2800
0019-0002-0003;0019-0002;c;Podzadanie 19.2.3;Dokumentacja, rejestry i ewidencja zabytków oraz dóbr kultury;2000;2000;2000
0019-0002-0004;0019-0002;c;Podzadanie 19.2.4;Utrzymywanie i powiększanie zasobów archiwalnych i filmowych;6430;6500;6500
0019-0002-0005;0019-0002;c;Podzadanie 19.2.5;Utrzymywanie bibliotek oraz innych instytucji, działających w sektorze ksiazki;13375;11500;11500
0019-0003;0019;b;Zadanie 19.3;Działalność artystyczna i promocja kultury;54145;55890;59610
0019-0003-0001;0019-0003;c;Podzadanie 19.3.1;Upowszechnianie i promocja kultury polskiej;45445;48700;52200
0019-0003-0002;0019-0003;c;Podzadanie 19.3.2;Wspieranie kinematografii;8700;7190;7410
0019-0004;0019;b;Zadanie 19.4;Budowa i modernizacja infrastruktury kultury;57885;59900;59900
0019-0004-0001;0019-0004;c;Podzadanie 19.4.1;Modernizacja i wyposażenie obiektów służących kulturze;57885;59900;59900
0019-0005;0019;b;Zadanie 19.5;Obsługa administracyjna;10;10;10
0019-0005-0001;0019-0005;c;Podzadanie 19.5.1;Obsługa administracyjna ministerstwa i jednostek podległych;10;10;10
0020;;a;FUNDUSZ 20;FUNDUSZ MODERNIZACJI SIŁ ZBROJNYCH ;81007;51150;34687
0020-0001;0020;b;Zadanie 20.1;Rozwój zdolności obronnych;81007;51150;34687
0020-0001-0001;0020-0001;c;Podzadanie 20.1.1;Programy operacyjne;81007;51150;34687
0021;;a;FUNDUSZ 21;FUNDUSZ WSPARCIA POLICJI;88744;62537;48171
0021-0001;0021;b;Zadanie 21.1;Ochrona obywateli i utrzymanie porządku publicznego;65580;47350;38118
0021-0001-0001;0021-0001;c;Podzadanie 21.1.1;Zapewnienie działania służby prewencyjnej;59901;43627;35653
0021-0001-0002;0021-0001;c;Podzadanie 21.1.2;Zapewnienie działania służby ruchu drogowego;5679;3723;2465
0021-0002;0021;b;Zadanie 21.2;Redukowanie przestępczości i działania na rzecz poprawy społecznego poczucia bezpieczeństwa;23164;15187;10053
0021-0002-0001;0021-0002;c;Podzadanie 21.2.1;Zapewnienie działania służby śledczej i kryminalnejj;23164;15187;10053
0022;;a;FUNDUSZ 22;FUNDUSZ CENTEALNEJ EWIDENCJI POJAZDÓW I KIEROWCÓW;121311;96006;95506
0022-0001;0022;b;Zadanie 22.1;Informatyzacja działalności i budowa społeczeństwa informacyjnego;121311;96006;95506
0022-0001-0001;0022-0001;c;Podzadanie 22.1.1;Centralne systemy ewidencji państwowych;121311;96006;95506
0023;;a;FUNDUSZ 23;FUNDUSZ WSPARCIA STRAŻY GRANICZNEJ;2545;2904;3075
0023-0001;0023;b;Zadanie 23.1;Ochrona granicy państwowej i kontrola ruchu granicznego;2545;2904;3075
0023-0001-0001;0023-0001;c;Podzadanie 23.1.1;Ochrona granicy państwowej;1241;1424;1506
0023-0001-0002;0023-0001;c;Podzadanie 23.1.2;Kontrola ruchu granicznego;499;570;618
0023-0001-0003;0023-0001;c;Podzadanie 23.1.3;Rozpoznawanie, zapobieganie i wykrywanie przestępstw oraz ściganie ich sprawców, w zakresie właściwości SG;805;910;951
0024;;a;FUNDUSZ 24;FUNDUSZ MODERNIZACJI BEZPIECZEŃSTWA PUBLICZNEGO;5781;3091;2071
0024-0001;0024;b;Zadanie 24.1;Ochrona obywateli i utrzymanie porządku publicznego;2180;1500;1050
0024-0001-0001;0024-0001;c;Podzadanie 24.1.1;Zapewnienie bezpieczeństwa wewnętrznego państwa;2080;1400;1000
0024-0001-0002;0024-0001;c;Podzadanie 24.1.2;Zapewnienie bezpieczeństwa najważniejszym osobom, obiektom i urządzeniom w państwie;100;100;50
0024-0002;0024;b;Zadanie 24.2;Ochrona granicy państwowej i kontrola ruchu granicznego;3601;1591;1021
0024-0002-0001;0024-0002;c;Podzadanie 24.2.1;Ochrona granicy państwowej;3601;1591;1021
0025;;a;FUNDUSZ 25;FUNDUSZ PROMOCJI TWÓRCZOŚCI;770;750;720
0025-0001;0025;b;Zadanie 25.1;Działalność artystyczna i promocja kultury;770;750;720
0025-0001-0001;0025-0001;c;Podzadanie 25.1.1;Wspieranie działalności artystycznej;690;670;550
0025-0001-0002;0025-0001;c;Podzadanie 25.1.2;Upowszechnianie i promocja kultury polskiej;80;80;170
0026;;a;FUNDUSZ 26;FUNDUSZ NAUKI I TECHNOLOGII POLSKIEJ;300000;200000;100000
0026-0001;0026;b;Zadanie 26.1;Prowadzenie badań naukowych;50000;30000;10000
0026-0001-0001;0026-0001;c;Podzadanie 26.1.1;Wspieranie badań naukowych;50000;30000;10000
0026-0002;0026;b;Zadanie 26.2;Rozbudowa infrastruktury nauki polskiej;250000;170000;90000
0026-0002-0001;0026-0002;c;Podzadanie 26.2.1;Inwestycje wspierające badania naukowe;250000;170000;90000
0027;;a;FUNDUSZ 27;FUNDUSZ KREDYTU TECHNOLOGICZNEGO;124635;216763;212892
0027-0001;0027;b;Zadanie 27.1;Wzrost konkurencyjności gospodarki;124635;216763;212892
0027-0001-0001;0027-0001;c;Podzadanie 27.1.1;Tworzenie warunków do zwiększenia innowacyjności przedsiębiorstw;124635;216763;212892
0028;;a;FUNDUSZ 28;FUNDUSZ ROZWIĄZYWANIA PROBLEMÓW HAZARDOWYCH;22340;18000;20000
0028-0001;0028;b;Zadanie 28.1;Nadzór sanitarno-epidemiologiczny, profilaktyka i promocja zdrowia;22340;18000;20000
0028-0001-0001;0028-0001;c;Podzadanie 28.1.1;Realizacja zadań edukacyjno-informacyjnych z zakresu programów zdrowotnych państwa dotyczących uzależnień;22340;18000;20000
9999;;a;Total;OGÓŁEM;206271502;216743615;223904659
