ID;Rodzic;Poziom;Typ;Nazwa;Część;Wydatki budżetu środków europejskich
0021;;a;Program 21;Regionalny Program Operacyjny Województwa Zachodniopomorskiego na lata 2007-2013;;320144
0021-0001;0021;b;Część 22;"Regionalny Program Operacyjny Województwa
Zachodniopomorskiego na lata 2007-2013";22 ;5802
0021-0002;0021;b;Część 34;ROZWÓJ REGIONALNY;34 ;307970
0021-0004;0021;b;Część 85/32;Budżety wojewodów ogółem: Zachodniopomorskie;85/32;6372
0024;;a;Granty 24;GRANTY EFS;;693
0024-0001;0024;b;Część 34;GRANTY EFS;34 ;693
0025;;a;Program 25;Szwajcarsko-Polski Program Współpracy;;100714
0025-0001;0025;b;Część 19;Szwajcarsko-Polski Program Współpracy;19 ;7309
0025-0002;0025;b;Część 20;GOSPODARKA;20 ;4839
0025-0003;0025;b;Część 34;ROZWÓJ REGIONALNY;34 ;58063
0025-0004;0025;b;Część 42;SPRAWY WEWNĘTRZNE;42 ;30503
0026;;a;Program 26;Program Operacyjny Zrównoważony Rozwój Sektora Rybołówstwa i Nadbrzeżnych Obszarów Rybackich;;356502
0026-0001;0026;b;Część 62;"Program Operacyjny ZrównowaŜony Rozwój Sektora Rybołówstwa i
NadbrzeŜnych Obszarów Rybackich";62 ;356502
0027;;a;Program 27;Wspólna Polityka Rolna;;18583060
0027-0003;0027;b;Część 33;ROZWÓJ WSI;33 ;17710415
0027-0004;0027;b;Część 35;RYNKI ROLNE;35 ;550000
0027-0006;0027;b;Część 85/02;Budżety wojewodów ogółem: Dolnośląskie;85/02;40468
0027-0007;0027;b;Część 85/04;Budżety wojewodów ogółem: Kujawsko-pomorskie;85/04;14625
0027-0008;0027;b;Część 85/06;Budżety wojewodów ogółem: Lubelskie;85/06;34946
0027-0009;0027;b;Część 85/08;Budżety wojewodów ogółem: Lubuskie;85/08;25782
0027-0010;0027;b;Część 85/10;Budżety wojewodów ogółem: Łódzkie;85/10;6300
0027-0011;0027;b;Część 85/12;Budżety wojewodów ogółem: Małopolskie;85/12;15730
0027-0012;0027;b;Część 85/14;Budżety wojewodów ogółem: Mazowieckie;85/14;35589
0027-0013;0027;b;Część 85/16;Budżety wojewodów ogółem: Opolskie;85/16;7556
0027-0014;0027;b;Część 85/18;Budżety wojewodów ogółem: Podkarpackie;85/18;3339
0027-0015;0027;b;Część 85/20;Budżety wojewodów ogółem: Podlaskie;85/20;14035
0027-0016;0027;b;Część 85/22;Budżety wojewodów ogółem: Pomorskie;85/22;20836
0027-0017;0027;b;Część 85/24;Budżety wojewodów ogółem: Śląskie;85/24;22194
0027-0018;0027;b;Część 85/26;Budżety wojewodów ogółem: Świętokrzyskie;85/26;13252
0027-0019;0027;b;Część 85/28;Budżety wojewodów ogółem: Warmińsko-mazurskie;85/28;20271
0027-0020;0027;b;Część 85/30;Budżety wojewodów ogółem: Wielkopolskie;85/30;33890
0027-0021;0027;b;Część 85/32;Budżety wojewodów ogółem: Zachodniopomorskie;85/32;13832
0028;;a;Różne rozliczenia 28;Finansowanie programów z budżetu środków europejskich;;18583060
0028-0001;0028;b;Część 83;Finansowanie programów z budżetu środków europejskich;83;36674500
0028-0002;0028;b;Część 83;Finansowanie wynagrodzeń w ramach budżetu środków europejskich;83;29494
9999;;a;Total;OGÓŁEM;;84004046
