ID;Rodzic;Poziom;Numer;Koszty;Ogółem
000000-D-005-003;000000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
000000-D-005-004;000000-D-005;d;D.5.4;pozostałe świadczenia;1770
000000-D-006;000000-D;c;D.6;koszty funkcjonowania Rady Funduszu;200
000000-D-007;000000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;56757
000000-D-008;000000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;438
000000-D-009;000000-D;c;D.9;pozostałe koszty administracyjne;2160
000000-E;000000;b;E;Pozostałe koszty ;20440
000000-E-001;000000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;20162
000000-E-002;000000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;0
000000-E-003;000000-E;c;E.3;inne rezerwy;0
000000-E-004;000000-E;c;E.4;inne koszty;278
000000-F;000000;b;F;Koszty finansowe;30819
000000-G;000000;b;G;Koszty poboru i ewidencjonowania składek;0
000000-H;000000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
020000;;a;020000;DOLNOŚLĄSKIE;4516947
020000-A;020000;b;A;Koszty świadczeń zdrowotnych,  w tym:;4334119
020000-A-001;020000-A;c;A.1;podstawowa opieka zdrowotna;545550
020000-A-002;020000-A;c;A.2;ambulatoryjna opieka specjalistyczna;345188
020000-A-003;020000-A;c;A.3;leczenie szpitalne, w tym:;1924570
020000-A-004;020000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;139008
020000-A-005;020000-A;c;A.5;rehabilitacja lecznicza;127676
020000-A-006;020000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;81008
020000-A-007;020000-A;c;A.7;opieka paliatywna i hospicyjna;18640
020000-A-008;020000-A;c;A.8;leczenie stomatologiczne;118746
020000-A-009;020000-A;c;A.9;lecznictwo uzdrowiskowe;52000
020000-A-010;020000-A;c;A.10;pomoc doraźna i transport sanitarny;3700
020000-A-011;020000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;11292
020000-A-012;020000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;102531
020000-A-013;020000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;46250
020000-A-014;020000-A;c;A.14;refundacja cen leków, w tym:;623936
020000-A-015;020000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
020000-A-016;020000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
020000-A-017;020000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;187024
020000-A-018;020000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;7000
020000-B;020000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
020000-C;020000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;131354
020000-D;020000;b;D;Koszty administracyjne, w tym;33957
020000-D-001;020000-D;c;D.1;zużycie materiałów i energii;1330
020000-D-002;020000-D;c;D.2;usługi obce;4123
020000-D-003;020000-D;c;D.3;podatki i opłaty, w tym:;280
020000-D-003-001;020000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;79
020000-D-003-002;020000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;13
020000-D-003-003;020000-D-003;d;D.3.3;VAT;1
020000-D-003-004;020000-D-003;d;D.3.4;podatek akcyzowy;0
020000-D-003-005;020000-D-003;d;D.3.5;wpłaty na PFRON;186
020000-D-003-006;020000-D-003;d;D.3.6;inne;1
020000-D-004;020000-D;c;D.4;wynagrodzenia;19431
020000-D-005;020000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;3922
020000-D-005-001;020000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;2892
020000-D-005-002;020000-D-005;d;D.5.2;składki na Fundusz Pracy;476
020000-D-005-003;020000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
020000-D-005-004;020000-D-005;d;D.5.4;pozostałe świadczenia;554
020000-D-006;020000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
020000-D-007;020000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;4075
020000-D-008;020000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;504
020000-D-009;020000-D;c;D.9;pozostałe koszty administracyjne;292
020000-E;020000;b;E;Pozostałe koszty ;16273
020000-E-001;020000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;15
020000-E-002;020000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;16058
020000-E-003;020000-E;c;E.3;inne rezerwy;0
020000-E-004;020000-E;c;E.4;inne koszty;200
020000-F;020000;b;F;Koszty finansowe;1244
020000-G;020000;b;G;Koszty poboru i ewidencjonowania składek;0
020000-H;020000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
040000;;a;040000;KUJAWSKO-POMORSKIE;3162632
040000-A;040000;b;A;Koszty świadczeń zdrowotnych,  w tym:;3020732
040000-A-001;040000-A;c;A.1;podstawowa opieka zdrowotna;410258
040000-A-002;040000-A;c;A.2;ambulatoryjna opieka specjalistyczna;227342
040000-A-003;040000-A;c;A.3;leczenie szpitalne, w tym:;1281807
040000-A-004;040000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;92884
040000-A-005;040000-A;c;A.5;rehabilitacja lecznicza;73863
040000-A-006;040000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;35238
040000-A-007;040000-A;c;A.7;opieka paliatywna i hospicyjna;22632
040000-A-008;040000-A;c;A.8;leczenie stomatologiczne;94822
040000-A-009;040000-A;c;A.9;lecznictwo uzdrowiskowe;28698
040000-A-010;040000-A;c;A.10;pomoc doraźna i transport sanitarny;2270
040000-A-011;040000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;7896
040000-A-012;040000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;93203
040000-A-013;040000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;32120
040000-A-014;040000-A;c;A.14;refundacja cen leków, w tym:;494467
040000-A-015;040000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
040000-A-016;040000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
040000-A-017;040000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;123131
040000-A-018;040000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;101
040000-B;040000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
040000-C;040000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;103057
040000-D;040000;b;D;Koszty administracyjne, w tym;25394
040000-D-001;040000-D;c;D.1;zużycie materiałów i energii;921
040000-D-002;040000-D;c;D.2;usługi obce;3192
040000-D-003;040000-D;c;D.3;podatki i opłaty, w tym:;186
040000-D-003-001;040000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;24
040000-D-003-002;040000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;5
040000-D-003-003;040000-D-003;d;D.3.3;VAT;0
040000-D-003-004;040000-D-003;d;D.3.4;podatek akcyzowy;0
040000-D-003-005;040000-D-003;d;D.3.5;wpłaty na PFRON;152
040000-D-003-006;040000-D-003;d;D.3.6;inne;5
040000-D-004;040000-D;c;D.4;wynagrodzenia;13744
040000-D-005;040000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;2774
040000-D-005-001;040000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;1952
040000-D-005-002;040000-D-005;d;D.5.2;składki na Fundusz Pracy;337
040000-D-005-003;040000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
040000-D-005-004;040000-D-005;d;D.5.4;pozostałe świadczenia;485
040000-D-006;040000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
040000-D-007;040000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;4112
040000-D-008;040000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;108
040000-D-009;040000-D;c;D.9;pozostałe koszty administracyjne;357
040000-E;040000;b;E;Pozostałe koszty ;12543
040000-E-001;040000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;15
040000-E-002;040000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;11884
040000-E-003;040000-E;c;E.3;inne rezerwy;0
040000-E-004;040000-E;c;E.4;inne koszty;644
040000-F;040000;b;F;Koszty finansowe;906
040000-G;040000;b;G;Koszty poboru i ewidencjonowania składek;0
040000-H;040000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
060000;;a;060000;LUBELSKIE;3333087
060000-A;060000;b;A;Koszty świadczeń zdrowotnych,  w tym:;3178445
060000-A-001;060000-A;c;A.1;podstawowa opieka zdrowotna;431400
060000-A-002;060000-A;c;A.2;ambulatoryjna opieka specjalistyczna;215000
060000-A-003;060000-A;c;A.3;leczenie szpitalne, w tym:;1367962
060000-A-004;060000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;101500
060000-A-005;060000-A;c;A.5;rehabilitacja lecznicza;84150
060000-A-006;060000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;39400
060000-A-007;060000-A;c;A.7;opieka paliatywna i hospicyjna;12700
060000-A-008;060000-A;c;A.8;leczenie stomatologiczne;112000
060000-A-009;060000-A;c;A.9;lecznictwo uzdrowiskowe;38100
060000-A-010;060000-A;c;A.10;pomoc doraźna i transport sanitarny;2500
060000-A-011;060000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;7900
060000-A-012;060000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;71000
060000-A-013;060000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;33000
060000-A-014;060000-A;c;A.14;refundacja cen leków, w tym:;483800
060000-A-015;060000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
060000-A-016;060000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
060000-A-017;060000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;177743
060000-A-018;060000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;290
060000-B;060000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
060000-C;060000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;106201
060000-D;060000;b;D;Koszty administracyjne, w tym;24974
060000-D-001;060000-D;c;D.1;zużycie materiałów i energii;652
060000-D-002;060000-D;c;D.2;usługi obce;2351
060000-D-003;060000-D;c;D.3;podatki i opłaty, w tym:;211
060000-D-003-001;060000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;26
060000-D-003-002;060000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;0
060000-D-003-003;060000-D-003;d;D.3.3;VAT;0
060000-D-003-004;060000-D-003;d;D.3.4;podatek akcyzowy;0
060000-D-003-005;060000-D-003;d;D.3.5;wpłaty na PFRON;177
060000-D-003-006;060000-D-003;d;D.3.6;inne;8
060000-D-004;060000-D;c;D.4;wynagrodzenia;14274
060000-D-005;060000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;2879
060000-D-005-001;060000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;2168
060000-D-005-002;060000-D-005;d;D.5.2;składki na Fundusz Pracy;350
060000-D-005-003;060000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
060000-D-005-004;060000-D-005;d;D.5.4;pozostałe świadczenia;361
060000-D-006;060000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
060000-D-007;060000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;3600
060000-D-008;060000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;700
060000-D-009;060000-D;c;D.9;pozostałe koszty administracyjne;307
060000-E;060000;b;E;Pozostałe koszty ;12419
060000-E-001;060000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;10
060000-E-002;060000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;12109
060000-E-003;060000-E;c;E.3;inne rezerwy;0
060000-E-004;060000-E;c;E.4;inne koszty;300
060000-F;060000;b;F;Koszty finansowe;11048
060000-G;060000;b;G;Koszty poboru i ewidencjonowania składek;0
060000-H;060000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
080000;;a;080000;LUBUSKIE;1540347
080000-A;080000;b;A;Koszty świadczeń zdrowotnych,  w tym:;1453337
080000-A-001;080000-A;c;A.1;podstawowa opieka zdrowotna;194880
080000-A-002;080000-A;c;A.2;ambulatoryjna opieka specjalistyczna;98380
080000-A-003;080000-A;c;A.3;leczenie szpitalne, w tym:;546453
080000-A-004;080000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;77918
080000-A-005;080000-A;c;A.5;rehabilitacja lecznicza;39452
080000-A-006;080000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;18346
080000-A-007;080000-A;c;A.7;opieka paliatywna i hospicyjna;8020
080000-A-008;080000-A;c;A.8;leczenie stomatologiczne;52500
080000-A-009;080000-A;c;A.9;lecznictwo uzdrowiskowe;11000
080000-A-010;080000-A;c;A.10;pomoc doraźna i transport sanitarny;2200
080000-A-011;080000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;4010
080000-A-012;080000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;33020
080000-A-013;080000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;16000
080000-A-014;080000-A;c;A.14;refundacja cen leków, w tym:;208621
080000-A-015;080000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
080000-A-016;080000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
080000-A-017;080000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;140337
080000-A-018;080000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;2200
080000-B;080000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
080000-C;080000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;61485
080000-D;080000;b;D;Koszty administracyjne, w tym;16425
080000-D-001;080000-D;c;D.1;zużycie materiałów i energii;621
080000-D-002;080000-D;c;D.2;usługi obce;1803
080000-D-003;080000-D;c;D.3;podatki i opłaty, w tym:;127
080000-D-003-001;080000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;27
080000-D-003-002;080000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;0
080000-D-003-003;080000-D-003;d;D.3.3;VAT;0
080000-D-003-004;080000-D-003;d;D.3.4;podatek akcyzowy;0
080000-D-003-005;080000-D-003;d;D.3.5;wpłaty na PFRON;100
080000-D-003-006;080000-D-003;d;D.3.6;inne;0
080000-D-004;080000-D;c;D.4;wynagrodzenia;7964
080000-D-005;080000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;1613
080000-D-005-001;080000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;1210
080000-D-005-002;080000-D-005;d;D.5.2;składki na Fundusz Pracy;195
080000-D-005-003;080000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
080000-D-005-004;080000-D-005;d;D.5.4;pozostałe świadczenia;208
080000-D-006;080000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
080000-D-007;080000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;3656
080000-D-008;080000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;388
080000-D-009;080000-D;c;D.9;pozostałe koszty administracyjne;253
080000-E;080000;b;E;Pozostałe koszty ;8930
080000-E-001;080000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;3930
080000-E-002;080000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;4900
080000-E-003;080000-E;c;E.3;inne rezerwy;0
080000-E-004;080000-E;c;E.4;inne koszty;100
080000-F;080000;b;F;Koszty finansowe;170
080000-G;080000;b;G;Koszty poboru i ewidencjonowania składek;0
080000-H;080000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
100000;;a;100000;ŁÓDZKIE;4053677
100000-A;100000;b;A;Koszty świadczeń zdrowotnych,  w tym:;3898070
100000-A-001;100000-A;c;A.1;podstawowa opieka zdrowotna;500399
100000-A-002;100000-A;c;A.2;ambulatoryjna opieka specjalistyczna;242265
100000-A-003;100000-A;c;A.3;leczenie szpitalne, w tym:;1683637
100000-A-004;100000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;117699
100000-A-005;100000-A;c;A.5;rehabilitacja lecznicza;95963
100000-A-006;100000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;43799
100000-A-007;100000-A;c;A.7;opieka paliatywna i hospicyjna;16576
100000-A-008;100000-A;c;A.8;leczenie stomatologiczne;117895
100000-A-009;100000-A;c;A.9;lecznictwo uzdrowiskowe;46304
100000-A-010;100000-A;c;A.10;pomoc doraźna i transport sanitarny;2025
100000-A-011;100000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;9068
100000-A-012;100000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;107367
100000-A-013;100000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;37438
100000-A-014;100000-A;c;A.14;refundacja cen leków, w tym:;639298
100000-A-015;100000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
100000-A-016;100000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
100000-A-017;100000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;228337
100000-A-018;100000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;10000
100000-B;100000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
100000-C;100000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;113453
100000-D;100000;b;D;Koszty administracyjne, w tym;27418
100000-D-001;100000-D;c;D.1;zużycie materiałów i energii;920
100000-D-002;100000-D;c;D.2;usługi obce;3675
100000-D-003;100000-D;c;D.3;podatki i opłaty, w tym:;278
100000-D-003-001;100000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;10
100000-D-003-002;100000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;0
100000-D-003-003;100000-D-003;d;D.3.3;VAT;0
100000-D-003-004;100000-D-003;d;D.3.4;podatek akcyzowy;0
100000-D-003-005;100000-D-003;d;D.3.5;wpłaty na PFRON;265
100000-D-003-006;100000-D-003;d;D.3.6;inne;3
100000-D-004;100000-D;c;D.4;wynagrodzenia;16636
100000-D-005;100000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;3357
100000-D-005-001;100000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;2527
100000-D-005-002;100000-D-005;d;D.5.2;składki na Fundusz Pracy;408
100000-D-005-003;100000-D-005;d;D.5.3;składki na Fundusz Gwarantowanych Świadczeń Pracowniczych;0
100000-D-005-004;100000-D-005;d;D.5.4;pozostałe świadczenia;422
100000-D-006;100000-D;c;D.6;koszty funkcjonowania Rady Funduszu;0
100000-D-007;100000-D;c;D.7;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych zakupionych ze środków własnych Funduszu;2207
100000-D-008;100000-D;c;D.8;amortyzacja środków trwałych oraz wartości niematerialnych i prawnych otrzymanych nieodpłatnie;169
100000-D-009;100000-D;c;D.9;pozostałe koszty administracyjne;176
100000-E;100000;b;E;Pozostałe koszty ;14456
100000-E-001;100000-E;c;E.1;wydanie i utrzymanie kart ubezpieczenia (w tym części stałych i zamiennych książeczek usług medycznych) oraz recept;16
100000-E-002;100000-E;c;E.2;rezerwa na zobowiązania wynikające z postępowań sądowych;14260
100000-E-003;100000-E;c;E.3;inne rezerwy;0
100000-E-004;100000-E;c;E.4;inne koszty;180
100000-F;100000;b;F;Koszty finansowe;280
100000-G;100000;b;G;Koszty poboru i ewidencjonowania składek;0
100000-H;100000;b;H;Obowiązkowy odpis na rezerwę ogólną;0
120000;;a;120000;MAŁOPOLSKIE;4872668
120000-A;120000;b;A;Koszty świadczeń zdrowotnych,  w tym:;4685941
120000-A-001;120000-A;c;A.1;podstawowa opieka zdrowotna;620007
120000-A-002;120000-A;c;A.2;ambulatoryjna opieka specjalistyczna;337858
120000-A-003;120000-A;c;A.3;leczenie szpitalne, w tym:;1983210
120000-A-004;120000-A;c;A.4;opieka psychiatryczna i leczenie uzależnień;125319
120000-A-005;120000-A;c;A.5;rehabilitacja lecznicza;137053
120000-A-006;120000-A;c;A.6;świadczenia pielęgnacyjne i opiekuńcze w ramach opieki długoterminowej;98409
120000-A-007;120000-A;c;A.7;opieka paliatywna i hospicyjna;22403
120000-A-008;120000-A;c;A.8;leczenie stomatologiczne;165895
120000-A-009;120000-A;c;A.9;lecznictwo uzdrowiskowe;43334
120000-A-010;120000-A;c;A.10;pomoc doraźna i transport sanitarny;1701
120000-A-011;120000-A;c;A.11;koszty profilaktycznych programów zdrowotnych finansowanych ze środków własnych Funduszu;7987
120000-A-012;120000-A;c;A.12;świadczenia zdrowotne kontraktowane odrębnie;115733
120000-A-013;120000-A;c;A.13;zaopatrzenie w sprzęt ortopedyczny, środki pomocnicze i lecznicze środki techniczne;54200
120000-A-014;120000-A;c;A.14;refundacja cen leków, w tym:;734000
120000-A-015;120000-A;c;A.15;rezerwa na koszty realizacji zadań wynikajacych z przepisów o koordynacji;0
120000-A-016;120000-A;c;A.16;rezerwa na pokrycie kosztów świadczeń zdrowotnych oraz refundacji cen leków;0
120000-A-017;120000-A;c;A.17;rezerwa na koszty świadczeń opieki zdrowotnej w ramach migracji ubezpieczonych;238832
120000-A-018;120000-A;c;A.18;koszty świadczeń zdrowotnych z lat ubiegłych;0
120000-B;120000;b;B;Koszty programów polityki zdrowotnej realizowanych na zlecenie ;0
120000-C;120000;b;C;Koszty realizacji zadań zespołów ratownictwa medycznego;129607
120000-D;120000;b;D;Koszty administracyjne, w tym;35969
120000-D-001;120000-D;c;D.1;zużycie materiałów i energii;1284
120000-D-002;120000-D;c;D.2;usługi obce;4327
120000-D-003;120000-D;c;D.3;podatki i opłaty, w tym:;223
120000-D-003-001;120000-D-003;d;D.3.1;podatki stanowiące dochody własne jednostek samorządu terytorialnego, w tym:;20
120000-D-003-002;120000-D-003;d;D.3.2;opłaty stanowiące dochody własne jednostek samorządu terytorialnego;0
120000-D-003-003;120000-D-003;d;D.3.3;VAT;0
120000-D-003-004;120000-D-003;d;D.3.4;podatek akcyzowy;0
120000-D-003-005;120000-D-003;d;D.3.5;wpłaty na PFRON;185
120000-D-003-006;120000-D-003;d;D.3.6;inne;18
120000-D-004;120000-D;c;D.4;wynagrodzenia;21016
120000-D-005;120000-D;c;D.5;ubezpieczenie społeczne i inne świadczenia, w tym:;4245
120000-D-005-001;120000-D-005;d;D.5.1;składki na Fundusz Ubezpieczeń Społecznych;3192
