ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
14-1;14;Projekt;ROCZNY PLAN DZIAŁAŃ POMOCY TECHNICZNEJ UMWM na 2009 rok w zakresie wsparcia procesów zarządzania i wdrażania RPO WM;RPMA.08.01.00-14-001/09-02;Regionalny Program Operacyjny Województwa Mazowieckiego;RPMA.08.00.00;RPMA.08.01.00;;5,826,264.00;5,826,264.00;4,952,324.40;4,952,324.40;Urząd Marszałkowski Województwa Mazowieckiego;5252087227;03-719;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;00 Nie dotyczy;RPMA.08.01.00-14-001/09-05;Tak;2009/11/03;2009/11/18
14-2;14;Projekt;PLAN DZIAŁAŃ POMOCY TECHNICZNEJ NA LATA 2007 - 2008 W RAMACH REGIONALNEGO PROGRAMU OPERACYJNEGO WOJEÓDZTWA MAZOWIECKIEGO  2007 - 2013. CZĘŚĆ B PLAN DZIAŁAŃ POMOCY TECHNICZNEJ RPO NA 2008 r.;RPMA.08.01.00-14-002/08-02;Regionalny Program Operacyjny Województwa Mazowieckiego;RPMA.08.00.00;RPMA.08.01.00;;14,550,795.00;14,550,795.00;12,368,175.75;12,368,175.75;Mazowiecka Jednostka Wdrażania Programów Unijnych;1132669019;03-301;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;00 Nie dotyczy;RPMA.08.01.00-14-002/08-07;Tak;2009/02/24;2009/02/26
14-3;14;Projekt;ROCZNY PLAN DZIAŁAŃ POMOCY TECHNICZNEJ MJWPU na 2009 r. w zakresie wsparcia procesów wdrażania RPO WM;RPMA.08.01.00-14-007/09-03;Regionalny Program Operacyjny Województwa Mazowieckiego;RPMA.08.00.00;RPMA.08.01.00;;27,993,392.75;27,993,392.75;23,794,383.83;23,794,383.83;Mazowiecka Jednostka Wdrażania Programów Unijnych;1132669019;03-301;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;00 Nie dotyczy;RPMA.08.01.00-14-007/09-06-K03;Tak;2009/11/24;2009/12/08
14-4;14;Projekt;PLAN DZIAŁAŃ POMOCY TECHNICZNEJ NA LATA 2007 - 2008 W RAMACH REGIONALNEGO PROGRAMU OPERACYJNEGO WOJEWÓDZTWA MAZOWIECKIEGO 2007 - 2013. CZĘŚĆ B PLAN DZIAŁAŃ POMOCY TECHNICZNEJ RPO NA 2008 r.;RPMA.08.02.00-14-003/08-02;Regionalny Program Operacyjny Województwa Mazowieckiego;RPMA.08.00.00;RPMA.08.02.00;;1,798,115.00;1,798,115.00;1,528,397.75;1,528,397.75;Mazowiecka Jednostka Wdrażania Programów Unijnych;1132669019;03-301;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorządowa jednostka organizacyjna;00 Nie dotyczy;RPMA.08.02.00-14-003/08-07;Tak;2009/02/24;2009/02/26
14-5;14;Projekt;ROCZNY PLAN DZIAŁAŃ POMOCY TECHNICZNEJ MJWPU na 2009 r. w zakresie działań informacyjnych i promocyjnych;RPMA.08.02.00-14-008/09-01;Regionalny Program Operacyjny Województwa Mazowieckiego;RPMA.08.00.00;RPMA.08.02.00;;9,335,096.00;9,335,096.00;7,934,831.60;7,934,831.60;Mazowiecka Jednostka Wdrażania Programów Unijnych;1132669019;03-301;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorządowa jednostka organizacyjna;00 Nie dotyczy;RPMA.08.02.00-14-008/09-05;Tak;2009/11/24;2009/12/08
12;;Województwo;Małopolskie;;;;;;20073465.0;19513315.0;16586319.0;16586319.0;;;;;;;;;;;;;
12-1;12;Projekt;Ewaluacja i udział w zarządzaniu MRPO - Priorytet 9 PT MRPO;RPMP.09.01.00-12-022/09-03;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;709,985.00;709,985.00;603,487.00;603,487.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-022/09-12;Tak;2009/12/21;2010/01/18
12-2;12;Projekt;Monitoring MRPO - Priorytet 9 PT MRPO;RPMP.09.01.00-12-023/09-01;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;56,000.00;56,000.00;47,600.00;47,600.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-023/09-12;Tak;2009/12/21;2010/01/18
12-3;12;Projekt;Zarządzanie finansowe MRPO - Priorytet 9 PT MRPO;RPMP.09.01.00-12-024/09-01;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;10,000.00;10,000.00;8,500.00;8,500.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-024/09-12;Tak;2009/12/21;2010/01/18
12-4;12;Projekt;Utrzymanie i rozwój Regionalnego Systemu Informatycznego w ramach MRPO - Priorytet 9 PT MRPO;RPMP.09.01.00-12-026/09-04;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;171,385.00;166,389.00;141,430.00;141,430.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-026/09-12;Tak;2009/11/26;2009/12/30
12-5;12;Projekt;Analizy i badania oraz usługi zewnętrzne na potrzeby wspierania wdrażania MRPO - Priorytet 9 PT MRPO;RPMP.09.01.00-12-027/09-05;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;97,830.00;96,980.00;82,433.00;82,433.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-027/09-12;Tak;2009/12/29;2010/02/02
12-6;12;Projekt;Obsługa procesu oceny projektów złożonych do MRPO 2007-2013 - Priorytet 9 PT MRPO;RPMP.09.01.00-12-029/09-03;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;682,400.00;682,400.00;580,040.00;580,040.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-029/09-12;Tak;2009/12/21;2010/01/20
12-7;12;Projekt;Ekspertyzy i opinie techniczne na potrzeby kontroli projektów wdrażanych w ramach MRPO - Priorytet 9 PT MRPO;RPMP.09.01.00-12-030/09-02;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;29,000.00;29,000.00;24,650.00;24,650.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-030/09-12;Tak;2009/11/16;2009/12/30
12-8;12;Projekt;Pomoc Techniczna Priorytet 9 PT MRPO - Zasoby ludzkie;RPMP.09.01.00-12-031/09-05;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;8,418,000.00;8,055,000.00;6,846,750.00;6,846,750.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-031/09-12;Tak;2009/12/22;2010/02/25
12-9;12;Projekt;Pomoc Techniczna Priorytet 9 PT MRPO - Seminaria w zakresie zarządzania i wdrażania;RPMP.09.01.00-12-032/09-02;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;362,000.00;357,000.00;303,450.00;303,450.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-032/09-12;Tak;2009/12/22;2010/02/25
12-10;12;Projekt;Promoc Techniczna Priorytet 9 PT MRPO - Obsługa logistyczna i informatyczna;RPMP.09.01.00-12-033/09-05;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;3,687,187.00;3,684,787.00;3,132,069.00;3,132,069.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-033/09-12;Tak;2009/12/22;2010/02/25
12-11;12;Projekt;Pomoc Techniczna Priorytet 9 PT MRPO - podróże służbowe 9.1;RPMP.09.01.00-12-034/09-01;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;59,500.00;58,000.00;49,300.00;49,300.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-034/09-12;Tak;2009/08/28;2009/10/30
12-12;12;Projekt;Pomoc Techniczna MRPO - delegacja zagraniczne;RPMP.09.01.00-12-036/09-02;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;174,900.00;174,000.00;147,900.00;147,900.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-036/09-12;Tak;2009/12/29;2010/02/02
12-13;12;Projekt;"Działalność Instytucji Pośredniczącej II stopnia dla 2 osi priorytetowej MRPO ""Gospodarka regionalnej szansy"" w 2009 roku - PT MRPO";RPMP.09.01.00-12-037/09-02;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.01.00;;4,897,114.00;4,728,814.00;4,019,493.00;4,019,493.00;Małopolskie Centrum Przedsiębiorczości;6751378475;31-542;Kraków;Małopolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-037/09-12;Tak;2009/12/21;2010/01/18
12-14;12;Projekt;Promocja MRPO - Priorytet 9 PT MRPO;RPMP.09.02.00-12-025/09-02;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.02.00;;303,327.00;303,327.00;257,828.00;257,828.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.02.00-12-025/09-12;Tak;2009/12/21;2010/01/20
12-15;12;Projekt;Działalność Centrum Informacyjnego FEM - Priorytet 9 PT MRPO;RPMP.09.02.00-12-028/09-05;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.02.00;;228,556.00;215,556.00;183,223.00;183,223.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.02.00-12-028/09-12;Tak;2009/12/21;2010/01/20
12-16;12;Projekt;Pomoc Techniczna Priorytet 9 PT MRPO - podróże służbowe 9.2;RPMP.09.02.00-12-035/09-01;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.02.00;;4,000.00;3,800.00;3,230.00;3,230.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.02.00-12-035/09-12;Tak;2009/08/28;2009/10/30
12-17;12;Projekt;Promocja MRPO - Priorytet 9 PT MRPO;RPMP.09.02.00-12-039/09-04;Regionalny Program Operacyjny Województwa Małopolskiego;RPMP.09.00.00;RPMP.09.02.00;;182,281.00;182,277.00;154,936.00;154,936.00;Urząd Marszałkowski Województwa Małopolskiego;6762083499;31-156;Kraków;Małopolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorządowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.02.00-12-039/09-08;Tak;2009/12/29;2010/02/02
16;;Województwo;Opolskie;;;;;;60365829.16;60365829.16;46801243.07;46801243.07;;;;;;;;;;;;;
16-1;16;Projekt;Zakup pojazdów szynowych.;RPOP.03.02.00-16-001/08-01;Regionalny Program Operacyjny Województwa Opolskiego;RPOP.03.00.00;RPOP.03.02.00;;42,029,000.00;42,029,000.00;31,214,938.30;31,214,938.30;Samorząd Województwa Opolskiego;7542549660;45-082;Opole;;;18 Tabor kolejowy;wspólnota samorządowa - województwo;05 Obszary wiejskie (poza obszarami górskimi, wyspami lub o niskiej i bardzo niskiej gęstości zaludnienia);RPOP.03.02.00-16-001/08-08-K01;Tak;2009/09/07;2009/09/11
16-2;16;Projekt;Roczny Plan Działań Pomocy Technicznej RPO WO 2007-2013 na 2007-2008 ;RPOP.07.01.00-16-001/08-05;Regionalny Program Operacyjny Województwa Opolskiego;RPOP.07.00.00;RPOP.07.01.00;;2,601,084.30;2,601,084.30;2,210,921.65;2,210,921.65;Opolskie Centrum Rozwoju Gospodarki;7542898797;45-716;Opole;Opolskie;Powiat m. Opole;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;00 Nie dotyczy;RPOP.07.01.00-16-001/08-09;Tak;2009/05/07;2009/05/12
16-3;16;Projekt;Roczny Plan Działań Pomocy Technicznej RPO WO 2007-2013 na 2007-2008 ;RPOP.07.01.00-16-002/08-02;Regionalny Program Operacyjny Województwa Opolskiego;RPOP.07.00.00;RPOP.07.01.00;;7,297,989.77;7,297,989.77;6,203,291.30;6,203,291.30;Urząd Marszałkowski Województwa Opolskiego (Instytucja Zarzą;7542549660;45-082;Opole;;;85 Przygotowanie, realizacja, monitorowanie i kontrola;wspólnota samorządowa - województwo;00 Nie dotyczy;RPOP.07.01.00-16-002/08-10;Tak;2009/06/23;2009/06/25
16-4;16;Projekt;ROCZNY PLAN DZIAŁANIA POMOCY TECHNICZNEJ RPO WO 2007-2013 NA 2009 r.;RPOP.07.01.00-16-003/08-03;Regionalny Program Operacyjny Województwa Opolskiego;RPOP.07.00.00;RPOP.07.01.00;;2,825,527.60;2,825,527.60;2,401,698.45;2,401,698.45;Opolskie Centrum Rozwoju Gospodarki;7542898797;45-716;Opole;Opolskie;Powiat m. Opole;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorządowa jednostka organizacyjna;00 Nie dotyczy;RPOP.07.01.00-16-003/08-12-K03;Tak;2009/12/17;2009/12/18
16-5;16;Projekt;ROCZNY PLAN DZIAŁANIA POMOCY TECHNICZNEJ RPO WO 2007-2013 NA 2009 r.;RPOP.07.01.00-16-004/08-02;Regionalny Program Operacyjny Województwa Opolskiego;RPOP.07.00.00;RPOP.07.01.00;;5,612,227.49;5,612,227.49;4,770,393.37;4,770,393.37;Województwo Opolskie (Urząd Marszałkowski Województwa Opolskiego);7542549660;45-082;Opole;;;85 Przygotowanie, realizacja, monitorowanie i kontrola;wspólnota samorządowa - województwo;00 Nie dotyczy;RPOP.07.01.00-16-004/08-14-K02;Tak;2009/12/02;2009/12/09
22;;Województwo;Pomorskie;;;;;;315697985.97;315697985.97;308622099.97;236773490.52;;;;;;;;;;;;;
22-1;22;Projekt;Wsparcie przedsiębiorczości poprzez rozwój instrumentów inżynierii finansowej w ramach inicjatywy JEREMIE w województwie pomorskim;RPPM.01.03.00-00-001/09-00;Regionalny Program Operacyjny Województwa Pomorskiego;RPPM.01.00.00;RPPM.01.03.00;;287,394,441.97;287,394,441.97;287,394,441.97;215,545,832.52;Bank Gospodarstwa Krajowego;5250012372;00-955;Warszawa;;;09 Inne działania mające na celu pobudzanie badań, innowacji i przedsiębiorczości w MŚP;przedsiębiorstwo państwowe - duże przedsiębiorstwo;01 Obszar miejski;RPPM.01.03.00-00-001/09-01;Nie;2009/08/07;2009/08/13
22-2;22;Projekt;Wsparcie procesu zarządzania i wdrażania RPO WP w 2008 roku.;RPPM.10.01.00-00-002/08-04;Regionalny Program Operacyjny Województwa Pomorskiego;RPPM.10.00.00;RPPM.10.01.00;;13,666,544.00;13,666,544.00;10,249,908.00;10,249,908.00;Samorząd Województwa Pomorskiego;5832569948;80-810;Gdańsk;Pomorskie;Powiat m. Gdańsk;85 Przygotowanie, realizacja, monitorowanie i kontrola;wspólnota samorządowa - województwo;00 Nie dotyczy;RPPM.10.01.00-00-002/08-04;Tak;2009/02/23;2009/02/26
22-3;22;Projekt;Wsparcie procesu zarządzania i wdrażania RPO WP w 2009 roku.;RPPM.10.01.00-00-003/08-06;Regionalny Program Operacyjny Województwa Pomorskiego;RPPM.10.00.00;RPPM.10.01.00;;14,637,000.00;14,637,000.00;10,977,750.00;10,977,750.00;Samorząd Województwa Pomorskiego;5832569948;80-810;Gdańsk;Pomorskie;Powiat m. Gdańsk;85 Przygotowanie, realizacja, monitorowanie i kontrola;wspólnota samorządowa - województwo;00 Nie dotyczy;RPPM.10.01.00-00-003/08-11;Tak;2009/12/31;2010/02/03
24;;Województwo;Śląskie;;;;;;10280900.57;10280900.57;7563823.51;7563823.51;;;;;;;;;;;;;
24-1;24;Projekt;Ogólnopolska kampania promocyjna województwa śląskiego;RPSL.03.04.00-00-006/08-01;Regionalny Program Operacyjny Województwa Śląskiego;RPSL.03.00.00;RPSL.03.04.00;;4,528,461.76;4,528,461.76;1,811,384.70;1,811,384.70;Województwo Śląskie;9542260713;40-037;Katowice;Śląskie;Powiat m. Katowice;57 Inne wsparcie na rzecz wzmocnienia usług turystycznych;wspólnota samorządowa - województwo;01 Obszar miejski;RPSL.03.04.00-00-006/08-03;Tak;2009/07/02;2009/07/10
24-2;24;Projekt;Roczny Plan Działań na rok 2008 w ramach Działania  10.1 Wsparcie procesu zarządzania i wdrażania;RPSL.10.01.00-00-002/08-01;Regionalny Program Operacyjny Województwa Śląskiego;RPSL.10.00.00;RPSL.10.01.00;;4,539,917.17;4,539,917.17;4,539,917.17;4,539,917.17;Województwo Śląskie;9542260713;40-037;Katowice;Śląskie;Powiat m. Katowice;85 Przygotowanie, realizacja, monitorowanie i kontrola;wspólnota samorządowa - województwo;00 Nie dotyczy;RPSL.10.01.00-00-002/08-04;Tak;2009/02/12;2009/02/26
24-3;24;Projekt;Roczny Plan Działań na rok 2008 w ramach Działania 10.2 Działania informacyjne i promocyjne. ;RPSL.10.02.00-00-002/08-01;Regionalny Program Operacyjny Województwa Śląskiego;RPSL.10.00.00;RPSL.10.02.00;;979,521.64;979,521.64;979,521.64;979,521.64;Województwo Śląskie;9542260713;40-037;Katowice;Śląskie;Powiat m. Katowice;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wspólnota samorządowa - województwo;00 Nie dotyczy;RPSL.10.02.00-00-002/08-04-K01;Tak;2009/02/12;2009/02/26
24-4;24;Projekt;Roczny Plan Działań na rok 2009 w ramach Działania 10.2 Działania informacyjne i promocyjne.;RPSL.10.02.00-00-005/08-01;Regionalny Program Operacyjny Województwa Śląskiego;RPSL.10.00.00;RPSL.10.02.00;;233,000.00;233,000.00;233,000.00;233,000.00;Śląskie Centrum Przedsiębiorczości;9542613270;41-500;Chorzów;Śląskie;Powiat m. Chorzów;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorządowa jednostka organizacyjna;00 Nie dotyczy;RPSL.10.02.00-00-005/08-18;Tak;2009/11/10;2009/11/27
30;;Województwo;Wielkopolskie;;;;;;135800.0;135800.0;135800.0;135800.0;;;;;;;;;;;;;
30-1;30;Projekt;Ocena i ewaluacja WRPO w 2009 r.;RPWP.07.01.00-30-018/08-01;Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013;RPWP.07.00.00;RPWP.07.01.00;;135,800.00;135,800.00;135,800.00;135,800.00;Urząd Marszałkowski Województwa Wielkopolskiego;7781344777;61-713;Poznań;Wielkopolskie;Powiat m. Poznań;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wspólnota samorządowa - województwo;01 Obszar miejski;RPWP.07.01.00-30-018/08-03;Tak;2009/12/03;2009/12/03
32;;Województwo;Zachodniopomorskie;;;;;;452660327.43;450912633.83;448854406.85;341274244.45;;;;;;;;;;;;;
