"idef";"idef_sort";"parent";"parent_sort";"node";"leaf";"level";"type";"name";"czesc";"wartosc_bazowa";"wartosc_rok_obec";"v_total";"v_nation";"v_eu";"v_proc_nation";"v_proc_eu"
"1-1-2-1-1";"001-001-002-001-001";"1-1-2-1";"001-001-002-001";1;"f";"e";"Cel";"Zapewnienie realizacji obsługi prawnej Prezydenta Rzeczypospolitej Polskiej";"1";;;;;;;
"1-1-2-1-1-1";"001-001-002-001-001-001";"1-1-2-1-1";"001-001-002-001-001";1;"t";"f";"Miernik";"Wskaźnik jakości planowania wydatków";"1";"993";"999";;;;;
"1-2";"001-002";"1";"001";;"f";"b";"Zadanie 1.2";"Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym";;;;410460;410460;0;100;0
"1-2-1";"001-002-001";"1-2";"001-002";0;"f";"c";"Dysponent";"Kancelaria Sejmu";"2";;;410460;410460;0;100;0
"1-2-1";"001-002-001";"1-2";"001-002";1;"f";"c";"Podzadanie 1.2.1";"Wsparcie merytoryczne parlamentarzystów";;;;133183;133183;0;100;0
"1-2-1-1";"001-002-001-001";"1-2-1";"001-002-001";0;"f";"d";"Cel";"Wsparcie Sejmu i jego organów w realizacji zadań, zapewnienie sprawnej i efektywnej obsługi ich działalności, zapewnienie posłom warunków niezbędnych do skutecznej realizacji obowiązków oraz ochrony praw wynikających ze sprawowania mandatu";"2";;;;;;;
"1-2-1-1";"001-002-001-001";"1-2-1";"001-002-001";1;"f";"d";"Dysponent";"Kancelaria Sejmu";"2";;;133183;133183;0;100;0
"1-2-1-1-1";"001-002-001-001-001";"1-2-1-1";"001-002-001-001";0;"t";"e";"Miernik";"Ankieta badająca poziom zadowolenia pos łów z działań podejmowanych przez Kancelarię Sejmu";"2";"43";"43";;;;;
"1-2-1-1-1";"001-002-001-001-001";"1-2-1-1";"001-002-001-001";1;"f";"e";"Cel";"Zapewnienie dostępu do wiedzy, analiz i ekspertyz niezbędnych w pracy parlamentarzystów.";"2";;;;;;;
"1-2-1-1-1-1";"001-002-001-001-001-001";"1-2-1-1-1";"001-002-001-001-001";1;"t";"f";"Miernik";"Ankieta badająca poziom zadowolenia posłów z działań podejmowanych przez Kancelarię Sejmu.";"2";"43";"43";;;;;
"1-2-1-2";"001-002-001-002";"1-2-1";"001-002-001";1;"f";"d";"Dysponent";"Kancelaria Senatu";"3";;;15806;15806;0;100;0
"1-2-1-2-1";"001-002-001-002-001";"1-2-1-2";"001-002-001-002";1;"f";"e";"Cel";"Zapewnienie dostępu do wiedzy, analiz i ekspertyz niezbędnych w pracy parlamentarzystów";"3";;;;;;;
"1-2-1-2-1-1";"001-002-001-002-001-001";"1-2-1-2-1";"001-002-001-002-001";1;"t";"f";"Miernik";"Ocena wsparcia merytorycznego ze strony Kancelarii Senatu dokonana przez senatorów (skala 1-4, gdzie 1 -  ocena zła, 4 - ocena bardzo dobra)";"3";"379";">3,77";;;;;
"1-2-2";"001-002-002";"1-2";"001-002";0;"f";"c";"Dysponent";"Kancelaria Senatu";"3";;;66047;66047;0;100;0
"1-2-2";"001-002-002";"1-2";"001-002";1;"f";"c";"Podzadanie 1.2.2";"Zapewnianie warunków wykonywania mandatu posła i senatora";;;;277277;277277;0;100;0
"1-2-2-1";"001-002-002-001";"1-2-2";"001-002-002";0;"f";"d";"Cel";"Wsparcie w realizacji zadań Senatu i jego organów oraz zapewnienie warunków wykonywania mandatu senatora";"3";;;;;;;
"1-2-2-1";"001-002-002-001";"1-2-2";"001-002-002";1;"f";"d";"Dysponent";"Kancelaria Sejmu";"2";;;277277;277277;0;100;0
"1-2-2-1-1";"001-002-002-001-001";"1-2-2-1";"001-002-002-001";0;"t";"e";"Miernik";"Ocena sprawności i efektywnści obsługi Kancelarii Senatu dokonana przez senatorów (skala 1-4, gdzie: 1 - ocena zła, 4 - ocena bardzo dobra)";"3";"384";">3,77";;;;;
"1-2-2-1-1";"001-002-002-001-001";"1-2-2-1";"001-002-002-001";1;"f";"e";"Cel";"Zapewnienie sprawnej obsługi parlamentarzystów, warunków niezbędnych do skutecznej realizacji obowiązków oraz ochrony praw wynikających ze sprawowania mandatu.";"2";;;;;;;
"1-2-2-1-1-1";"001-002-002-001-001-001";"1-2-2-1-1";"001-002-002-001-001";1;"t";"f";"Miernik";"Ankieta badająca poziom zadowolenia posłów z działań podejmowanych przez Kancelarię Sejmu.";"2";"43";"43";;;;;
"1-2-2-2";"001-002-002-002";"1-2-2";"001-002-002";1;"f";"d";"Dysponent";"Kancelaria Senatu";"3";;;50241;50241;0;100;0
"1-2-2-2-1";"001-002-002-002-001";"1-2-2-2";"001-002-002-002";1;"f";"e";"Cel";"Zapewnienie sprawnej obsługi parlamentarzystów, warunków niezbędnych do skutecznej realizacji obowiązków oraz ochrony praw wynikajacych ze sprawowania mandatu";"3";;;;;;;
"1-2-2-2-1-1";"001-002-002-002-001-001";"1-2-2-2-1";"001-002-002-002-001";1;"t";"f";"Miernik";"Ocena obsługi organizacyjnej i technicznej ze strony Kancelarii Senatu dokonana przez senatorów (skala 1 4, gdzie: 1- ocena zła, 4 - ocena bardzo dobra";"3";"387";"> 3.77";;;;;
"1-3";"001-003";"1";"001";;"f";"b";"Zadanie 1.3";"Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów i Rady Ministrów";;;;113268;103797;9471;91.64;8.36
"1-3-1";"001-003-001";"1-3";"001-003";0;"f";"c";"Dysponent";"Kancelaria Prezesa Rady Ministrów";"16";;;113268;103797;9471;91.64;8.36
"1-3-1";"001-003-001";"1-3";"001-003";1;"f";"c";"Podzadanie 1.3.1";"Obsługa i koordynacja prac rządu";;;;83878;83878;0;100;0
"1-3-1-1";"001-003-001-001";"1-3-1";"001-003-001";0;"f";"d";"Cel";"Zapewnienie sprawnej i efektywnej obsługi Przesa Rady Ministrów, Rady Ministrów oraz innych organów opiniodawczo-doradczych i pomocniczych PRM i RM";"16";;;;;;;
"1-3-1-1";"001-003-001-001";"1-3-1";"001-003-001";1;"f";"d";"Dysponent";"Kancelaria Prezesa Rady Ministrów";"16";;;83878;83878;0;100;0
"1-3-1-1-1";"001-003-001-001-001";"1-3-1-1";"001-003-001-001";0;"t";"e";"Miernik";"Stopień zadowolenia z obsługi członków Rady Ministrów, zespołów i rad, których obsługę zapewnia KPRM, na podstawie ankiety";"16";"51";">=5,0";;;;;
"1-3-1-1-1";"001-003-001-001-001";"1-3-1-1";"001-003-001-001";1;"f";"e";"Cel";"Zapewnienie sprawnego funkcjonowania Rady Ministrów, Prezesa Rady Ministrów, wiceprezesów Rady Ministrów, członka Rady Ministrów - Przewodniczącego stałego komitetu Rady Ministrów i pozostałych osób zajmujących kierownicze stanowiska w Kancelarii PRM";"16";;;;;;;
"1-3-1-1-1-1";"001-003-001-001-001-001";"1-3-1-1-1";"001-003-001-001-001";1;"t";"f";"Miernik";"Ocena pracy jednostek realizujących podzadanie 1.3.1 przez osoby i organy na rzecz których działają, na podstawie ankiety";"16";"51";">=5,0";;;;;
"1-3-2";"001-003-002";"1-3";"001-003";0;"f";"c";"Dysponent";"Rządowe Centrum Legislacji";"75";;;25403;24918;485;98.09;1.91
"1-3-2";"001-003-002";"1-3";"001-003";1;"f";"c";"Podzadanie 1.3.2";"Obsługa prawna Rady Ministrów";;;;20896;20411;485;97.68;2.32
"1-3-2-1";"001-003-002-001";"1-3-2";"001-003-002";0;"f";"d";"Cel";"Tworzenie i ogłaszanie prawa.";"75";;;;;;;
"1-3-2-1";"001-003-002-001";"1-3-2";"001-003-002";1;"f";"d";"Dysponent";"Rządowe Centrum Legislacji";"75";;;20896;20411;485;97.68;2.32
"1-3-2-1-1";"001-003-002-001-001";"1-3-2-1";"001-003-002-001";0;"t";"e";"Miernik";"WskaŜnik procentowy liczby projektów ustaw opracowanych przez RCL na podstawie załoŜeń w stosunku do liczby projektów ustaw, opracowanych na podstawie  przyjętych uprzednio załoŜeń, wniesionych przez Radę Ministrów do Sejmu.";"75";"75";"powyŜej 75";;;;;
"1-3-2-1-1";"001-003-002-001-001";"1-3-2-1";"001-003-002-001";1;"f";"e";"Cel";"Tworzenie dobrego prawa";"75";;;;;;;
"1-3-2-1-1-1";"001-003-002-001-001-001";"1-3-2-1-1";"001-003-002-001-001";1;"t";"f";"Miernik";"WyraŜona w % proporcja między liczbą projektów ustaw, rozporządzeń RM i Prezesa Rady Ministrów opracowanych lub opiniowanych przez RCL, których niezgodność z Konstytucją  nie została stwierdzona przez TK a liczbą aktów tego typu opracowanych lub opiniowanych przez RCL";"75";"995";"PowyŜej 98";;;;;
"1-3-3";"001-003-003";"1-3";"001-003";1;"f";"c";"Podzadanie 1.3.3";"Zarządzanie korpusem słuŜby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej";;;;29390;19919;9471;67.77;32.23
"1-3-3-1";"001-003-003-001";"1-3-3";"001-003-003";1;"f";"d";"Dysponent";"Kancelaria Prezesa Rady Ministrów";"16";;;29390;19919;9471;67.77;32.23
"1-3-3-1-1";"001-003-003-001-001";"1-3-3-1";"001-003-003-001";1;"f";"e";"Cel";"Zapewnienie zawodowej, rzetelnej, bezstronnej i politycznie neutralnej kadry urzędników państwowych";"16";;;;;;;
"1-3-3-1-1-1";"001-003-003-001-001-001";"1-3-3-1-1";"001-003-003-001-001";1;"t";"f";"Miernik";"Odsetek uczestników szkoleń którzy uwaŜają, Ŝe podnieśli swoje kompetencje zawodowe na skutek uczestnictwa w szkoleniach, na podstawie ankiety";"16";"91%";">=91%";;;;;
"1-3-4";"001-003-004";"1-3";"001-003";1;"f";"c";"Podzadanie 1.3.4";"Redagowanie i udostępnianie Dziennika Ustaw Rzeczypospolitej Polskiej oraz Dziennika Urzędowego Rzeczypospolitej Polskiej ``Monitor Polski``";;;;4507;4507;0;100;0
"1-3-4-1";"001-003-004-001";"1-3-4";"001-003-004";1;"f";"d";"Dysponent";"Rządowe Centrum Legislacji";"75";;;4507;4507;0;100;0
"1-3-4-1-1";"001-003-004-001-001";"1-3-4-1";"001-003-004-001";1;"f";"e";"Cel";"Ogłaszanie prawa zgodnego z tekstem skierowanym do publikacji";"75";;;;;;;
"1-3-4-1-1-1";"001-003-004-001-001-001";"1-3-4-1-1";"001-003-004-001-001";1;"t";"f";"Miernik";"Wskaźnik  %  aktów prawnych,  do których nie ogłaszano sprostowań";"75";"998";"PowyŜej 99,5";;;;;
"1-4";"001-004";"1";"001";;"f";"b";"Zadanie 1.4";"Obsługa Trybunału Konstytucyjnego w zakresie merytorycznym i organizacyjnym";;;;26200;26200;0;100;0
"1-4-1";"001-004-001";"1-4";"001-004";0;"f";"c";"Dysponent";"Trybunał Konstutucyjny";"6";;;26200;26200;0;100;0
"1-4-1";"001-004-001";"1-4";"001-004";1;"f";"c";"Podzadanie 1.4.1";"Działalność orzecznicza Trybunału Konstytucyjnego";;;;26200;26200;0;100;0
"1-4-1-1";"001-004-001-001";"1-4-1";"001-004-001";0;"f";"d";"Cel";"Poprawa stanu zgodności stanowionego prawa z Konstytucją i ratyfikowanymi umowami międzynarodowuymi (hierarchiczna zgodność aktów normatywnych)";"6";;;;;;;
"1-4-1-1";"001-004-001-001";"1-4-1";"001-004-001";1;"f";"d";"Dysponent";"Trybunał Konstutucyjny";"6";;;26200;26200;0;100;0
"1-4-1-1-1";"001-004-001-001-001";"1-4-1-1";"001-004-001-001";0;"t";"e";"Miernik";"Stosunek liczby spraw zakończonych w postępowaniu merytorycznym przed Trybunałem Konstytucyjnym (liczba wyroków i postanowień kończących postępowanie) do liczby spraw skierowanych do rozpoznania merytorycznego w ciągu roku (wpływ spraw)";"6";"106%";"106%";;;;;
"1-4-1-1-1";"001-004-001-001-001";"1-4-1-1";"001-004-001-001";1;"f";"e";"Cel";"Uzyskanie jak najlepszej efektywności działalności orzeczniczej Trybunału Konstytucyjnego";"6";;;;;;;
"1-4-1-1-1-1";"001-004-001-001-001-001";"1-4-1-1-1";"001-004-001-001-001";1;"t";"f";"Miernik";"Stosunek liczby wszystkich spraw rozpatrywanych przez Trybunał do wpływu w ciągu roku.";"6";"130%";"130%";;;;;
"1-5";"001-005";"1";"001";;"f";"b";"Zadanie 1.5";"Organizacja i przeprowadzanie wyborów";;;;872;872;0;100;0
"1-5-1";"001-005-001";"1-5";"001-005";0;"f";"c";"Dysponent";"Krajowe Biuro Wyborcze";"11";;;872;872;0;100;0
"1-5-1-1";"001-005-001-001";"1-5-1";"001-005-001";0;"f";"d";"Cel";"Zapewnienie sprawnego przeprowadzeia wyborów i referendów";"11";;;;;;;
"1-5-1-1-1";"001-005-001-001-001";"1-5-1-1";"001-005-001-001";0;"t";"e";"Miernik";"Czas ustalenia wyników wyborów od zamknięcia głosowania na podstawie wyników z 95% komisji obwodowych";"11";"-";"<  18 godzin";;;;;
"1-5-2";"001-005-002";"1-5";"001-005";0;"f";"c";"Dysponent";"Ministerstwo Finansów";"19";;;720;720;0;100;0
"1-5-2";"001-005-002";"1-5";"001-005";1;"f";"c";"Podzadanie 1.5.2";"Wybory do Sejmu i Senatu";;;;0;0;0;100;0
"1-5-2-1";"001-005-002-001";"1-5-2";"001-005-002";0;"f";"d";"Cel";"Terminowe regulowanie zobowiązań w zakresie finansowania partii politycznych, komitetów wyborczych oraz zwrotu kosztów badania ich sprawozdań i sporządzania opinii lub raportu przez biegłych rewidentów";"19";;;;;;;
"1-5-2-1";"001-005-002-001";"1-5-2";"001-005-002";1;"f";"d";"Dysponent";"Krajowe Biuro Wyborcze";"11";;;0;0;0;100;0
"1-5-2-1-1";"001-005-002-001-001";"1-5-2-1";"001-005-002-001";0;"t";"e";"Miernik";"Liczba dni faktycznego opóźnienia i wielkości kwot wypłaconych z opóźnieniem w porównaniu do liczby dni i kwot potencjalnego opóźnienia w roku budŜetowym";"19";"0%";"0%";;;;;
"1-5-2-1-1";"001-005-002-001-001";"1-5-2-1";"001-005-002-001";1;"f";"e";"Cel";"Zapewnienie sprawnego przeprowadzenia wyborów";"11";;;;;;;
"1-5-2-1-1-1";"001-005-002-001-001-001";"1-5-2-1-1";"001-005-002-001-001";1;"t";"f";"Miernik";"Ocena na podstawie ankiet przeprowadzonych wśród jst (skala od 1-5, gdzie 1- bardzo zła, 5 - bardzo dobra)";"11";"-";"36";;;;;
"1-5-3";"001-005-003";"1-5";"001-005";0;"f";"c";"Dysponent";"Wojewodowie";"85";;;523;523;0;100;0
"1-5-3-1";"001-005-003-001";"1-5-3";"001-005-003";0;"f";"d";"Cel";"Stworzenie organom wyborczym warunków do przeprowadzania wyborów";"85";;;;;;;
"1-5-3-1-1";"001-005-003-001-001";"1-5-3-1";"001-005-003-001";0;"t";"e";"Miernik";"Liczba protestów";"85";"-";"0";;;;;
"1-5-4";"001-005-004";"1-5";"001-005";1;"f";"c";"Podzadanie 1.5.4";"Wybory do rad gmin, rad powiatów i sejmików województw, wybory wójtów, burmistrzów i prezydentów miast oraz referenda gminne, powiatowe i wojewódzkie";;;;0;0;0;100;0
"1-5-4-1";"001-005-004-001";"1-5-4";"001-005-004";1;"f";"d";"Dysponent";"Krajowe Biuro Wyborcze";"11";;;0;0;0;100;0
"1-5-4-1-1";"001-005-004-001-001";"1-5-4-1";"001-005-004-001";1;"f";"e";"Cel";"Zapewnienie sprawnego przeprowadzenia wyborów";"11";;;;;;;
"1-5-4-1-1-1";"001-005-004-001-001-001";"1-5-4-1-1";"001-005-004-001-001";1;"t";"f";"Miernik";"Ocena na podstawie ankiet przeprowadzonych wśród jst (skala od 1-5, gdzie 1- bardzo zła, 5 - bardzo dobra)";"11";"-";"36";;;;;
"1-5-4-2";"001-005-004-002";"1-5-4";"001-005-004";1;"f";"d";"Dysponent";"Wojewodowie";"85";;;523;523;0;100;0
"1-5-4-2-1";"001-005-004-002-001";"1-5-4-2";"001-005-004-002";1;"f";"e";"Cel";"-";"85";;;;;;;
"1-5-4-2-1-1";"001-005-004-002-001-001";"1-5-4-2-1";"001-005-004-002-001";1;"t";"f";"Miernik";"-";"85";"-";"-";;;;;
"1-5-5";"001-005-005";"1-5";"001-005";1;"f";"c";"Podzadanie 1.5.5";"Referenda ogólnokrajowe i konstytucyjne";;;;0;0;0;100;0
"1-5-5-1";"001-005-005-001";"1-5-5";"001-005-005";1;"f";"d";"Dysponent";"Krajowe Biuro Wyborcze";"11";;;0;0;0;100;0
"1-5-5-1-1";"001-005-005-001-001";"1-5-5-1";"001-005-005-001";1;"f";"e";"Cel";"Zapewnienie sprawnego przeprowadzenia referendów";"11";;;;;;;
"1-5-5-1-1-1";"001-005-005-001-001-001";"1-5-5-1-1";"001-005-005-001-001";1;"t";"f";"Miernik";"Ocena na podstawie ankiet przeprowadzonych wśród jst (skala od 1-5, gdzie 1- bardzo zła, 5 - bardzo dobra)";"11";"-";"36";;;;;
"1-5-6";"001-005-006";"1-5";"001-005";1;"f";"c";"Podzadanie 1.5.6";"Finansowanie partii politycznych";;;;872;872;0;100;0
"1-5-6-1";"001-005-006-001";"1-5-6";"001-005-006";1;"f";"d";"Dysponent";"Krajowe Biuro Wyborcze";"11";;;872;872;0;100;0
"1-5-6-1-1";"001-005-006-001-001";"1-5-6-1";"001-005-006-001";1;"f";"e";"Cel";"Kontrola prawidłowości finansowania partii politycznych i kampanii wyborczych";"11";;;;;;;
"1-5-6-1-1-1";"001-005-006-001-001-001";"1-5-6-1-1";"001-005-006-001-001";1;"t";"f";"Miernik";"Liczba skarg wniesionych przez partie i komitety wyborcze w związku z odrzuceniem przez PKW ich sprawozdań/liczba skarg uchylonych przez SN";"11";"20/20";"25/25";;;;;
"1-5-6-2";"001-005-006-002";"1-5-6";"001-005-006";1;"f";"d";"Dysponent";"Ministerstwo Finansów";"19";;;720;720;0;100;0
"1-5-6-2-1";"001-005-006-002-001";"1-5-6-2";"001-005-006-002";1;"f";"e";"Cel";"Terminowe regulowanie zobowiązań w zakresie finansowania parii politycznych, komitetów wyborczych oraz zwrotu kosztów badania ich sprawozdań i sporządzania opinii lub raportu przez biegłych rewidentów";"19";;;;;;;
"1-5-6-2-1-1";"001-005-006-002-001-001";"1-5-6-2-1";"001-005-006-002-001";1;"t";"f";"Miernik";"Liczba dni faktycznego opóźnienia i wielkość kwot wypłaconych z opóźnieniem w porównaniu do liczby dni i kwoty potencjalnego opóŜnienia w roku budŜetowym";"19";"0%";"0%";;;;;
"1-6";"001-006";"1";"001";;"f";"b";"Zadanie 1.6";"Nadzór nad systemem zamówień publicznych";;;;13161;12665;496;96.23;3.77
"1-6-1";"001-006-001";"1-6";"001-006";0;"f";"c";"Dysponent";"Urząd Zamówień Publicznych";"49";;;13161;12665;496;96.23;3.77
"1-6-1";"001-006-001";"1-6";"001-006";1;"f";"c";"Podzadanie 1.6.1";"Nadzór oraz w szczególności dokonywanie kontroli procesu udzielania zamówień w zakresie przewidzianym ustawą";;;;7021;6525;496;92.94;7.06
"1-6-1-1";"001-006-001-001";"1-6-1";"001-006-001";0;"f";"d";"Cel";"Zwiększenie prawidłowości przestrzegania procedur wydatkowania środków publicznych";"49";;;;;;;
"1-6-1-1";"001-006-001-001";"1-6-1";"001-006-001";1;"f";"d";"Dysponent";"Urząd Zamówień Publicznych";"49";;;7021;6525;496;92.94;7.06
"1-6-1-1-1";"001-006-001-001-001";"1-6-1-1";"001-006-001-001";0;"t";"e";"Miernik";"Odsetek wszczętych kontroli fakultatywnych,postępowań wyjaśniających oraz udzielonych odpowiedzi w stosunku do liczby wniosków";"49";"85%";"75%";;;;;
"1-6-1-1-1";"001-006-001-001-001";"1-6-1-1";"001-006-001-001";1;"f";"e";"Cel";"Usprawnienie wykrywania nieprwidłowości przy udzielaniu zamówien publicznych";"49";;;;;;;
"1-6-1-1-1-1";"001-006-001-001-001-001";"1-6-1-1-1";"001-006-001-001-001";1;"t";"f";"Miernik";"Odsetek kontroli zamówień współfinansowanych ze środków UE zakończonych w terminie 14 dni od dostarczenia Ŝądanych dokumentów";"49";"98%";"95%";;;;;
"1-6-1-1-2";"001-006-001-001-002";"1-6-1-1";"001-006-001-001";0;"t";"e";"Miernik";"Liczba osób korzystających z przedsięwzięć edukacyjnych realizowanych przez UZP (konferencje,seminaria,szkolenia,wydawnictwa)";"None";"8450";"6000";;;;;
"1-6-2";"001-006-002";"1-6";"001-006";1;"f";"c";"Podzadanie 1.6.2";"System odwołań";;;;6140;6140;0;100;0
"1-6-2-1";"001-006-002-001";"1-6-2";"001-006-002";1;"f";"d";"Dysponent";"Urząd Zamówień Publicznych";"49";;;6140;6140;0;100;0
"1-6-2-1-1";"001-006-002-001-001";"1-6-2-1";"001-006-002-001";1;"f";"e";"Cel";"Zapewnienie sprawnego funkcjonowania systemu rozpoznawania odwołań";"49";;;;;;;
"1-6-2-1-1-1";"001-006-002-001-001-001";"1-6-2-1-1";"001-006-002-001-001";1;"t";"f";"Miernik";"Terminowość rozpoznawania odwołań";"49";"53,3%";"80%";;;;;
"1-7";"001-007";"1";"001";;"f";"b";"Zadanie 1.7";"Ocena działalności organów administracji publicznej, Narodowego Banku Polskiego oraz jednostek organizacyjnych wydatkujących środki publiczne z punktu widzenia ustawowych kryteriów NIK";;;;186079;186079;0;100;0
"1-7-1";"001-007-001";"1-7";"001-007";0;"f";"c";"Dysponent";"NajwyŜsza Izba Kontroli";"7";;;186079;186079;0;100;0
"1-7-1";"001-007-001";"1-7";"001-007";1;"f";"c";"Podzadanie 1.7.1";"Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników";;;;174603;174603;0;100;0
"1-7-1-1";"001-007-001-001";"1-7-1";"001-007-001";0;"f";"d";"Cel";"Wspieranie działań wpływających na sprawne funkcjonowanie państwa i pozytywne oddziaływanie na skuteczność wykonywania zadań finansowanych ze środków publicznych";"7";;;;;;;
"1-7-1-1";"001-007-001-001";"1-7-1";"001-007-001";1;"f";"d";"Dysponent";"NajwyŜsza Izba Kontroli";"7";;;174603;174603;0;100;0
"1-7-1-1-1";"001-007-001-001-001";"1-7-1-1";"001-007-001-001";0;"t";"e";"Miernik";"Procent wydatków publicznych poddanych w danym roku audytowi finansowemu typu poświadczającego u dysponentów III stopnia";"7";"19,6%";"15%";;;;;
"1-7-1-1-1";"001-007-001-001-001";"1-7-1-1";"001-007-001-001";1;"f";"e";"Cel";"Przekazywanie Sejmowi oraz kontrolowanym podmiotom wiarygodnych ocen i  informacji niezbędnych do doskonalenia funkcjonowania administracji państwowej oraz podmiotów wykonujących zadania publiczne lub korzystających ze środków publicznych";"7";;;;;;;
"1-7-1-1-1-1";"001-007-001-001-001-001";"1-7-1-1-1";"001-007-001-001-001";1;"t";"f";"Miernik";"Liczba wystąpień pokontrolnych przedstawiających oceny kontrolowanej  działalności";"7";"2995";"2700";;;;;
"1-7-1-1-2";"001-007-001-001-002";"1-7-1-1";"001-007-001-001";0;"t";"e";"Miernik";"Odsetek wniosków pokontrolnych przyjętych do realizacji przez adresatów wystąpień pokontrolnych";"7";"84%";"≥80%";;;;;
"1-7-2";"001-007-002";"1-7";"001-007";1;"f";"c";"Podzadanie 1.7.2";"Przygotowanie analizy wykonania budŜetu państwa i załoŜeń polityki pienięŜnej oraz innych opracowań sektorowych";;;;1394;1394;0;100;0
"1-7-2-1";"001-007-002-001";"1-7-2";"001-007-002";1;"f";"d";"Dysponent";"NajwyŜsza Izba Kontroli";"7";;;1394;1394;0;100;0
"1-7-2-1-1";"001-007-002-001-001";"1-7-2-1";"001-007-002-001";1;"f";"e";"Cel";"Przekazanie Sejmowi wiarygodnych informacji i opinii niezbędnych przy debacie na  temat absolutorium dla Rady Ministrów oraz wniosków w sprawie rozpatrzenia przez  Sejm określonych problemów związanych z działalnością organów wykonujących zadania publicze";"7";;;;;;;
"1-7-2-1-1-1";"001-007-002-001-001-001";"1-7-2-1-1";"001-007-002-001-001";1;"t";"f";"Miernik";"Terminowość przekazania Sejmowi analizy wykonania budŜetu państwa  i  załoŜeń polityki pienięŜnej";"7";"w ustalonym terminie";"w ustalonym terminie";;;;;
"1-7-3";"001-007-003";"1-7";"001-007";1;"f";"c";"Podzadanie 1.7.3";"Wykonywanie niekontrolnych funkcji naczelnego organu kontroli państwowej";;;;10082;10082;0;100;0
"1-7-3-1";"001-007-003-001";"1-7-3";"001-007-003";1;"f";"d";"Dysponent";"NajwyŜsza Izba Kontroli";"7";;;10082;10082;0;100;0
"1-7-3-1-1";"001-007-003-001-001";"1-7-3-1";"001-007-003-001";1;"f";"e";"Cel";"Zwiększenie wpływu NIK jako naczelnego organu kontroli państwowej na system  kontroli w państwie oraz roli NIK w międzynarodowych stowarzyszeniach najwyŜszych organów kontrolnych";"7";;;;;;;
"1-7-3-1-1-1";"001-007-003-001-001-001";"1-7-3-1-1";"001-007-003-001-001";1;"t";"f";"Miernik";"Liczba informacji i wzmianek w mediach o działalności i kontrolach NIK";"7";"10644";"11000";;;;;
"1-8";"001-008";"1";"001";;"f";"b";"Zadanie 1.8";"Ochrona wolności słowa, prawa do informacji oraz interesu publicznego w radiofonii i telewizji";;;;10775;10775;0;100;0
"1-8-1";"001-008-001";"1-8";"001-008";0;"f";"c";"Dysponent";"Krajowa Rada Radiofonii i Telewizji";"9";;;10775;10775;0;100;0
"1-8-1";"001-008-001";"1-8";"001-008";1;"f";"c";"Podzadanie 1.8.1";"Koncesje na rozpowszechnianie programów radiowych i telewizyjnych, rejestrowanie programów rozprowadzanych oraz prowadzenie wykazu usług na Ŝądanie";;;;3835;3835;0;100;0
