"numer";"Funkcja / zadanie / podzadanie
";"Dysponent
";"Część
";"Cel
";"Miernik
";;;"Przewidywane wydatki w 2012 r. (w tys. zł)
";"nation";"eu"
"1.3.2";"1.3.2. Obsługa prawna Rady Ministrów
";"Rządowe Centrum Legislacji
";75;"Tworzenie dobrego prawa
";"WyraŜona w % proporcja między liczbą projektów ustaw, rozporządzeń RM i Prezesa Rady Ministrów opracowanych lub opiniowanych przez RCL, których niezgodność z Konstytucją  nie została stwierdzona przez TK a liczbą aktów tego typu opracowanych lub opiniowanych przez RCL
";995;"PowyŜej 98
";"20 896
";"20 411
";485
"1.3.3";"1.3.3. Zarządzanie korpusem słuŜby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej
";"Kancelaria Prezesa Rady
Ministrów
";16;"Zapewnienie zawodowej, rzetelnej, bezstronnej i politycznie neutralnej kadry urzędników państwowych
";"Odsetek uczestników szkoleń którzy uwaŜają, Ŝe podnieśli swoje kompetencje zawodowe na skutek uczestnictwa w szkoleniach, na podstawie ankiety
";"91%
";">=91%
";"29 390
";"19 919
";"9471
"
"1.3.4";"1.3.4. Redagowanie i udostępnianie Dziennika Ustaw Rzeczypospolitej Polskiej oraz Dziennika Urzędowego Rzeczypospolitej Polskiej ``Monitor Polski``
";"Rządowe Centrum Legislacji
";75;"Ogłaszanie prawa zgodnego z tekstem skierowanym do publikacji
";"Wskaźnik  %  aktów prawnych,  do których nie ogłaszano sprostowań
";998;"PowyŜej 99,5
";"4 507
";"4 507
";0
"1.4";"1.4. Obsługa Trybunału Konstytucyjnego w zakresie merytorycznym i organizacyjnym
";"Trybunał Konstutucyjny
";6;"Poprawa stanu zgodności stanowionego prawa z Konstytucją i ratyfikowanymi umowami międzynarodowuymi (hierarchiczna zgodność aktów normatywnych)
";"Stosunek liczby spraw zakończonych w postępowaniu merytorycznym przed Trybunałem Konstytucyjnym (liczba wyroków i postanowień kończących postępowanie) do liczby spraw skierowanych do rozpoznania merytorycznego w ciągu roku (wpływ spraw)
";"106%
";"106%
";"26 200
";"26 200
";0
"1.4.1";"1.4.1. Działalność orzecznicza Trybunału
Konstytucyjnego
";"Trybunał Konstutucyjny
";6;"Uzyskanie jak najlepszej efektywności działalności orzeczniczej Trybunału Konstytucyjnego
";"Stosunek liczby wszystkich spraw rozpatrywanych przez Trybunał do wpływu w ciągu roku.
";"130%
";"130%
";"26 200
";"26 200
";0
"1.5";"1.5. Organizacja i przeprowadzanie wyborów
";"Krajowe Biuro Wyborcze
";11;"Zapewnienie sprawnego przeprowadzeia wyborów i referendów
";"Czas ustalenia wyników wyborów od zamknięcia głosowania na podstawie wyników z 95% komisji obwodowych
";"-
";"<  18 godzin
";872;872;0
"1.5";;"Ministerstwo Finansów
";19;"Terminowe regulowanie zobowiązań w zakresie finansowania partii politycznych, komitetów wyborczych oraz zwrotu kosztów badania ich sprawozdań i sporządzania opinii lub raportu przez biegłych rewidentów
";"Liczba dni faktycznego opóźnienia i wielkości kwot wypłaconych z opóźnieniem w porównaniu do liczby dni i kwot potencjalnego opóźnienia w roku budŜetowym
";"0%
";"0%
";720;720;0
"1.5";;"Wojewodowie
";85;"Stworzenie organom wyborczym warunków do przeprowadzania wyborów
";"Liczba protestów
";"-
";0;523;523;0
"1.5.2";"1.5.2. Wybory do Sejmu i Senatu
";"Krajowe Biuro Wyborcze
";11;"Zapewnienie sprawnego przeprowadzenia wyborów
";"Ocena na podstawie ankiet przeprowadzonych wśród jst (skala od 1-5, gdzie 1- bardzo zła, 5 - bardzo dobra)
";"-
";36;0;0;0
"1.5.4";"1.5.4. Wybory do rad gmin, rad powiatów i sejmików województw, wybory wójtów, burmistrzów i prezydentów miast oraz referenda gminne, powiatowe i wojewódzkie
";"Krajowe Biuro Wyborcze
";11;"Zapewnienie sprawnego przeprowadzenia wyborów
";"Ocena na podstawie ankiet przeprowadzonych wśród jst (skala od 1-5, gdzie 1- bardzo zła, 5 - bardzo dobra)
";"-
";36;0;0;0
"1.5.4";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";523;523;0
"1.5.5";"1.5.5. Referenda ogólnokrajowe i konstytucyjne
";"Krajowe Biuro Wyborcze
";11;"Zapewnienie sprawnego przeprowadzenia referendów
";"Ocena na podstawie ankiet przeprowadzonych wśród jst (skala od 1-5, gdzie 1- bardzo zła, 5 - bardzo dobra)
";"-
";36;0;0;0
"1.5.6";"1.5.6. Finansowanie partii politycznych
";"Krajowe Biuro Wyborcze
";11;"Kontrola prawidłowości finansowania partii politycznych i kampanii wyborczych
";"Liczba skarg wniesionych przez partie i komitety wyborcze w związku z odrzuceniem przez PKW ich sprawozdań/liczba skarg uchylonych przez SN
";"20/20
";"25/25
";872;872;0
"1.5.6";;"Ministerstwo Finansów
";19;"Terminowe regulowanie zobowiązań w zakresie finansowania parii politycznych, komitetów wyborczych oraz zwrotu kosztów badania ich sprawozdań i sporządzania opinii lub raportu przez biegłych rewidentów
";"Liczba dni faktycznego opóźnienia i wielkość kwot wypłaconych z opóźnieniem w porównaniu do liczby dni i kwoty potencjalnego opóŜnienia w roku budŜetowym
";"0%
";"0%
";720;720;0
"1.6";"1.6. Nadzór nad systemem zamówień publicznych
";"Urząd Zamówień Publicznych
";49;"Zwiększenie prawidłowości przestrzegania procedur wydatkowania środków publicznych
";"Odsetek wszczętych kontroli fakultatywnych,postępowań wyjaśniających oraz udzielonych odpowiedzi w stosunku do liczby wniosków
";"85%
";"75%
";"13 161
";"12 665
";496
"1.6";;;49;;"Liczba osób korzystających z przedsięwzięć edukacyjnych realizowanych przez UZP (konferencje,seminaria,szkolenia,wydawnictwa)
";8450;6000;;;
"1.6.1";"1.6.1. Nadzór oraz w szczególności dokonywanie kontroli procesu udzielania zamówień w zakresie przewidzianym ustawą
";"Urząd Zamówień Publicznych
";49;"Usprawnienie wykrywania nieprwidłowości przy udzielaniu zamówien publicznych
";"Odsetek kontroli zamówień współfinansowanych ze środków UE zakończonych w terminie 14 dni od dostarczenia Ŝądanych dokumentów
";"98%
";"95%
";7021;"6 525
";496
"1.6.2";"1.6.2. System odwołań
";"Urząd Zamówień Publicznych
";49;"Zapewnienie sprawnego funkcjonowania systemu rozpoznawania odwołań
";"Terminowość rozpoznawania odwołań
";"53,3%
";"80%
";6140;"6 140
";0
"1.7";"1.7. Ocena działalności organów administracji publicznej, Narodowego Banku Polskiego oraz jednostek organizacyjnych wydatkujących środki publiczne z punktu widzenia ustawowych kryteriów NIK
";"NajwyŜsza Izba Kontroli
";7;"Wspieranie działań wpływających na sprawne funkcjonowanie państwa i pozytywne
oddziaływanie na skuteczność wykonywania zadań
finansowanych ze środków publicznych
";"Procent wydatków publicznych poddanych w danym roku audytowi
finansowemu typu poświadczającego u dysponentów
III stopnia
";"19,6%
";"15%
";"186 079
";"186 079
";0
"1.7";;;7;;"Odsetek wniosków pokontrolnych przyjętych do realizacji przez
adresatów wystąpień pokontrolnych
";"84%
";"≥80%
";;;
"1.7.1";"1.7.1. Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników
";"NajwyŜsza Izba Kontroli
";7;"Przekazywanie Sejmowi oraz kontrolowanym podmiotom wiarygodnych ocen i 
informacji niezbędnych do doskonalenia funkcjonowania administracji państwowej oraz podmiotów wykonujących zadania publiczne lub korzystających ze środków publicznych
";"Liczba wystąpień pokontrolnych przedstawiających oceny kontrolowanej 
działalności
";2995;2700;"174 603
";"174 603
";0
"1.7.2";"1.7.2. Przygotowanie analizy wykonania budŜetu państwa i załoŜeń polityki pienięŜnej oraz innych opracowań sektorowych
";"NajwyŜsza Izba Kontroli
";7;"Przekazanie Sejmowi wiarygodnych informacji i opinii niezbędnych przy debacie na 
temat absolutorium dla Rady Ministrów oraz wniosków w sprawie rozpatrzenia przez 
Sejm określonych problemów związanych z działalnością
organów wykonujących zadania publicze
";"Terminowość przekazania Sejmowi analizy wykonania budŜetu państwa 
i  załoŜeń polityki pienięŜnej
";"w ustalonym terminie
";"w ustalonym terminie
";"1 394
";"1 394
";0
"1.7.3";"1.7.3. Wykonywanie niekontrolnych funkcji naczelnego organu kontroli państwowej
";"NajwyŜsza Izba Kontroli
";7;"Zwiększenie wpływu NIK jako naczelnego organu kontroli państwowej na system 
kontroli w państwie oraz roli NIK w międzynarodowych stowarzyszeniach najwyŜszych
organów kontrolnych
";"Liczba informacji i wzmianek w mediach o działalności i kontrolach NIK
";10644;11000;"10 082
";"10 082
";0
"1.8";"1.8. Ochrona wolności słowa, prawa do informacji oraz interesu publicznego w radiofonii i telewizji
";"Krajowa Rada Radiofonii i
Telewizji
";9;"Projektowanie w porozumieniu z Prezesem Rady Ministrów kierunków polityki państwa oraz opiniowanie projektów aktów ustawodawczych oraz umów międzynarodowych w dziedzinie radiofonii i telewizji
";"Liczba rozporządzeń, stanowisk i komunikatów
KRRiT
";26;17;"10 775
";"10 775
";0
"1.8";;;9;;"Liczba uchwał
";640;600;;;
"1.8";;;9;"Zapewnienie wolności słowa w radiu i telewizji, samodzielności dostawców usług medialnych i interesów odbiorców oraz otwartego i pluralistycznego charakteru radiofonii i telewizji
";"Liczba rozporządzeń, stanowisk i komunikatów
KRRiT
";26;17;;;
"1.8.1";"1.8.1. Koncesje na rozpowszechnianie programów radiowych i telewizyjnych, rejestrowanie programów rozprowadzanych oraz prowadzenie wykazu usług na Ŝądanie
";"Krajowa Rada Radiofonii i
Telewizji
";9;"Zapewnienie odbiorcom w granicach obowiązującego prawa róŜhnorodnej oferty programowej
";"Relacja liczby decyzji i postanowień Przewodniczącego KRRiT do liczby wniosków o udzielenie i zmianę koncesji radiowych i telewizyjnych oraz zgłoszeń o wpis do rejestru programów rozprowadzanych w sieciach kablowych (w %)
";"105%
";"99%
";"3 835
";"3 835
";0
"1.8.2";"1.8.2. Kontrola programów radiowych, telewizyjnych
i  usług na Ŝądanie oraz organizowanie badań treści i odbioru tych programów i usług
";"Krajowa Rada Radiofonii i
Telewizji
";9;"Nadzorowanie przestrzegania przez nadawców przepisów prawa w zakresie programów
";"Liczba przeprowadzonych kontroli oraz skontrolowanych programów
";2445;3051;"4 826
";"4 826
";0
"1.8.3";"1.8.3. Działalność KRRiT w zakresie środków abonamentowych
";"Krajowa Rada Radiofonii i
Telewizji
";9;"Rozpatrywanie wniosków w sprawie umorzenia i rozłoŜenia na raty zaległości w opłatach abonamentowych rtv
";"Liczba rozpatrzonych wniosków przypadająca na 1 etat kalkulacyjny pracowników zajmująych się powyŜszym w skali całego roku
";1387;2300;"2 114
";"2 114
";0
"1.9";"1.9. Gromadzenie i zarządzanie dokumentami organów określonych w ustawie o IPN
";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu
";13;"Upowszechnianie wiedzy o najnowszej historii Polski na podstawie zgromadzonego materiału archiwalnego i ściganie zbrodni przeciwko Narodowi Polskiemu
";"Stopień realizacji podzadań w %
";"34%
";"100%
";"247 567
";"247 567
";0
"1.9.1";"1.9.1. Udostępnianie dokumentów i informacji o zbiorach zgromadzonych w archiwach IPN
";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu
";13;"Wzrost liczby uporządkowanych, opracowanych i udostępnionych dokumentów w postaci cyfrowej wszystkim kategoriom wnioskodawców
";"Liczba w % zdigitalizowanych, opracowanych i udostępnionych dokumentów w stosunku do ogolnej liczby udostępnionych dokumentów
";"50%
";"60%
";"122 459
";"122 459
";0
"1.9.2";"1.9.2. Prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych oraz przeciwko ludzkości i innych
";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu
";13;"Zagwarantowanie obywatelom konstytucyjnego prawa do wszechstronnego i bez nieuzasadnionej zwłoki wyjasnienia przez uprawniony organ wszystkich okoliczności dotyczących zbrodni nazistowskich, komunistycznych, wojennych przeciwko ludzkości, pokojowi
";"Liczba postępowań załatwionych przez prokuratorów
IPN w ciągu całego roku kalendarzowego (w szt.)
";1174;1218;"31 231
";"31 231
";0
"1.9.3";"1.9.3. Przygotowywanie i publikowanie informacji dotyczących funkcjonariuszy organów bezpieczeństwa państwa, osób rozpracowywanych, funkcjonariuszy państwowych i partyjnych w latach
1944-1990 oraz osób publicznych, prowadzenie rejestru oświadczeń lustracyjnych i jego analiza, przygotowanie postępowań lustracyjnych
";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu
";13;"Publikacja w BIP IPN zgodnie z art. 22 ust. 1 i 2 tzw. ustawy lustracyjnej z 2006 r. oraz w katalogach z art. 52 a pkt.6,7, i 8 ustawy IPN z 1998 oraz przygotowanie postepowań lustracyjnych
";"Liczba osob odnośnie ktorych zebrano i ostatecznie zweryfikowano informacje (w szt.)
";15506;16500;"28 381
";"28 381
";0
"1.9.4";"1.9.4. Prowadzenie działalności edukacyjnej i popularyzatorskiej
";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu
";13;"Prowadzenie badań naukowych nad najnowszą historią
Polski i upowszechnianie ich
";"Ilość przedsięwzięć
";1822;1847;"65 496
";"65 496
";0
"1.10";"1.10. Ocena gospodarki finansowej jednostek samorządu terytorialnego z punktu widzenia kryteriów ustawowych
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";80;"Zapewnienie płynności i stabilności finansowej jednostek samorządu terytorialnego
";"Liczba negatywnych raportów o stanie gospodarki finansowej w relacji do liczby nadzorowanych jednostek
";"<9%
";"<9%
";"103 478
";"103 284
";194
"1.10";;"Wojewodowie
";85;"Zapewnienie zgodnego z prawem działania JST
";"Ilość zbadanych pod względem formalno-prawnym uchwał/zarządzeń organów JST
";"-
";20200;"4 311
";"4 311
";0
"1.10.1";"1.10.1. Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";80;"Wyeliminowanie nieprawidłowości zagraŜających prawidłowemu gospodarowaniu środkami publicznymi jst
";"Liczba skierowanych zawiadomień o naruszeniu dyscypliny finansów publicznych w relacji do przeprowadzonych kontroli
";"7%
";"7%
";"48 395
";"48 306
";89
"1.10.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"2 155
";"2 155
";0
"1.10.2";"1.10.2. Sprawowanie nadzoru nad jednostkami samorządu terytorialnego oraz działalność opiniodawcza
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";80;"Zapewnienie zgodnego z prawem uchwalania budŜetów przez jst, stanowiących podstawę gospodarki finansowej
";"Liczba uchylonych przez sądy administracyjne rozstrzygnięć nadzorczych izby
";"<8%
";"<8%
";"55 083
";"54 978
";105
"1.10.2";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"2 156
";"2 156
";0
"2";"FUNKCJA 2. BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY";;;;;;;"15 816 359
";"15 764 059
";"52 300
"
"2.1";"2.1. Ochrona obywateli, utrzymanie porządku publicznego oraz działania na rzecz poprawy bezpieczeństwa
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnienie bezpieczeństwa obywateli poprzez ograniczenie liczby przestępstw (w tym przestępstw drogowych)
";"Liczba postępowań wszczętych ogółem (w tym przestępstw drogowych) w bieŜącym roku do liczby postępowań wszczętych ogółem (w tym przestępstw drogowych) w analogicznym okresie roku poprzedniego x 100%
";"100%
";"osiągięcie dynamiki
<100%
";"5  349 658
";"5  327 190
";"22 468
"
"2.1";;"Agencja Bezpieczeństwa
Wewnętrznego
";57;"Zapewnienie bezpieczeństwa obywateli
";"BieŜące monitorowanie - wartość logiczna tak (1)/ nie
(0)
";1;1;"500 697
";"500 697
";0
"2.1";;"Wojewodowie
";85;"Poprawa bezpieczeństwa w województwie
";"Wskaźnik wykrywalności przestępczości
";"-
";"72,9%
";"1 116
";"1 116
";0
"2.1.1";"2.1.1. Bezpieczeństwo wewnętrzne państwa
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Poprawa bezpieczeństwa wewnętrznego
";"Bezwzględna liczba uŜytkowników w Centralnych
Systemach Informatycznych (SIS/VIS/KCIK)
";210000;"utrzymanie
";"141 398
";"141 341
";57
"2.1.1";;"Agencja Bezpieczeństwa
Wewnętrznego
";57;"Poprawa bezpieczeństwa wewnętrznego
";"BieŜące monitorowanie - wartość logiczna tak(1)/ nie
(0)
";1;1;"500 697
";"500 697
";0
"2.1.2";"2.1.2. Bezpieczeństwo najwaŜniejszych osób, obiektów i urządzeń w państwie
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnienie bezpieczeństwa związanego z ochroną
najwaŜniejszych osób, obiektów i urządzeń w państwie
";"Wskaźnik sprawności działania BOR
";"100%
";"100%
";"200 298
";"200 298
";0
"2.1.3";"2.1.3. Funkcjonowanie słuŜby prewencyjnej
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Ograniczenie liczby przestępstw, bezpośrednio rzutujących na ocenę skuteczności działań Policji tj: bójka/ pobicie, przestępstwa rozbójnicze, kradzieŜ z włamaniem, kradzieŜ cudzej rzeczy (w tym - samochodu), uszczerbek na zdrowiu, uszkodzenie mienia
";"Liczba postępowań wszczętych w kategoriach przestępstw: bójka lub pobicie, przestępstwa rozbójnicze, kradzieŜ z włamaniem, kradzieŜ cudzej rzeczy (w tym kradzieŜ samochodu), uszczerbek na zdrowiu, uszkodzenie mienia
";"100%
";"osiągnięcie dynamiki <100%
";"4  282 966
";"4  263 765
";"19 201
"
"2.1.4";"2.1.4. Funkcjonowanie słuŜby ruchu drogowego
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Poprawa bezpieczeństwa w ruchu drogowym
";"Procentowy udział policjantów ruchu drogowego pełniących słuŜbę bezpośrednio na drodze
";"42,59%
";"utrzymanie
";"715 966
";"712 756
";"3 210
"
"2.1.5";"2.1.5. Działania na rzecz poprawy bezpieczeństwa powszechnego i porządku publicznego
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnienie realizacji zadań mających na celu poprawę bezpieczeństwa powszechnego i porządku publicznego oraz zapobiegania przestępczości i aspołecznym zachowaniom.
";"Liczba realizowanych działań na rzecz poprawy bezpieczeństwa powszechnego i porządku publicznego oraz zapobiegania przestępczości i aspołecznym zachowaniom.
";28;25;"9 030
";"9 030
";0
"2.1.5";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"1 116
";"1 116
";0
"2.2";"2.2. Redukowanie przestępczości
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Usprawnienie procesu wykrywania przestępstw
";"Wskaźnik wykrywalności przestępstw ogółem: liczba przestępstw wykrytych przez ogólną liczbę przestępstw stwierdzonych (wyraŜony w %)
";"68,30%
";"68%
";"2  920 184
";"2  907 093
";"13 091
"
"2.2";;"Centralne Biuro Antykorupcyjne
";56;"Zwalczanie korupcji w Ŝyciu publicznym i gospodarczym
";"Indeks Percepcji Korupcji
";42;">4,2
";"108 039
";"108 039
";0
"2.2.1";"2.2.1. Funkcjonowanie słuŜby kryminalnej
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Skuteczne wykrywanie popełnionych przestępstw w 7 wybranych kategoriach: bójka lub pobicie, przestępstwa rozbójnicze, kradzieŜ z włamaniem, kradzieŜ cudzej rzeczy (w tym kradzieŜ samochodu), uszczerbek na zdrowiu, uszkodzenie mienia
";"Liczba przestępstw wykrytych do liczby przestępstw stwierdzonych w 7 wybranych kategoriach
";"35,60%
";"utrzymanie
";"2  920 184
";"2  907 093
";"13 091
"
"2.2.3";"2.2.3. Zwalczanie korupcji
";"Centralne Biuro Antykorupcyjne
";56;"Zmniejszenie poziomu korupcji
";"Liczba przedstawionych zarzutów na podstawie materiałów CBA
";387;">500
";"108 039
";"108 039
";0
"2.3";"2.3. StrzeŜenie praworządności i czuwanie nad ściganiem przestępstw przez prokuraturę
";"Ministerstwo Obrony Narodowej
";29;"Zagwarantowanie bezpieczeństwa państwa i obywateli
";"Odsetek spraw załatwionych w terminie do trzech miesięcy w stosunku do ogólnej liczby spraw
";"75,60%
";"76,10%
";"40 859
";"40 859
";0
"2.3";;"Prokuratura Generalna
";88;"Zagwarantowanie bezpieczeństwa państwa i obywateli
";"Wskaźnik czasu trwania postępowań
";83;83;"1  025 234
";"1  025 234
";0
"2.3";;;88;;"Wskaźnik skuteczności ścigania
";835;835;;;
"2.3.1";"2.3.1. Przygotowanie postępowania przygotowawczego i procesowego
";"Ministerstwo Obrony Narodowej
";29;"Zapewnienie moŜliwości osądzenia sprawców przestępstw
";"Odsetek spraw zakończonych skargą prokuratorską
(akt oskarŜenia, wniosek o warunkowe umorzenie, wniosek o ukaranie za wykroczenie) w stosunku do ogólnej liczby spraw
";"73,70%
";"74,20%
";"40 859
";"40 859
";0
"2.3.1";;"Prokuratura Generalna
";88;"Poprawa sprawności i skuteczności zwalczania
przestępstw
";"Wskaźnik skuteczności ścigania
";835;835;"967 921
";"967 921
";0
"2.3.2";"2.3.2. Zwalczanie przestępczości zorganizowanej
";"Prokuratura Generalna
";88;"Poprawa sprawności i skuteczności zwalczania przestępczości zorganizowanej
";"Wskaźnik skuteczności zwalczania przestępczości zorganizowanej
";801;801;"29 682
";"29 682
";0
"2.3.3";"2.3.3. Realizacja zadań Prokuratora Generalnego w postępowaniach przed SN, TK, NSA oraz innych przewidzianych w ustawach
";"Prokuratura Generalna
";88;"Zapewnienie realizocji procesowych i pozaprocesowych uprawnień PG
";"Liczba spraw rozpatrywanych przez TK, SN, NSA z udziałem Prokuratora Generalnego
";1007;1007;"27 631
";"27 631
";0
"2.4";"2.4. Ochrona przeciwpoŜarowa, działalność zapobiegawcza, ratownicza i gaśnicza
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnienie sprawności funkcjonowania krajowego systemu ratowniczo-gaśniczego
";"Wskaźnik rozmieszczenia jednostek ksrg (liczba jednostek OSP włączonych do ksrg do docelowej liczby tych jednostek).
";"3815/4602
";"4012/4602
";"218 555
";"217 104
";"1 451
"
"2.4";;;42;;"Procent interwencji, w którym jednostka ksrg dotarła na miejsce zdarzenia w czasie krótszym niz 15 minut
";"75 %
";"75 %
";;;
"2.4";;"Wojewodowie
";85;"Zapobieganie i minimalizacja skutków poŜarów, zagroŜeń miejscowych i klęsk Ŝywiołowych
";"Stosunek liczby interwencji, w których jednostka KSRG dotarła na miejsce zdarzenia w czasie do 15 minut do ogółu interwencji
";"-
";"54,7%
";"2  019 118
";"2  008 194
";"10 924
"
