"numer";"funkcja_zadanie";"podzadanie";"dysponent";"czesc";"cel";"miernik_nazwa";"miernik_wartosc_bazowa";"miernik_wartosc_rok_obec";"ogolem";"budzet_panstwa";"budzet_srodkow_europejskich"
"1.4";"1.4. Obsługa Trybunału Konstytucyjnego w zakresie merytorycznym i organizacyjnym";;"Trybunał Konstytucyjny";"06";"Poprawa stanu zgodności stanowionego prawa z konstytucją i ratyfikowanymi umowami międzynarodowymi";"Stosunek liczby spraw rozpoznanych przez Trybunał Konstytucyjny do wpływu spraw w ciągu roku";"31,5%";"31%";22598;22598;0
"1.4.1";;"1.4.1. Działalność orzecznicza Trybunału Konstytucyjnego";"Trybunał Konstytucyjny";"06";"Poprawa efektywności orzecznictwa Trybunału";"Przeciętny czas wydawania orzeczeń w sprawach (od daty wpływu do daty zakończenia)";"16 m-cy";"18 m-cy";7630;7630;0
"1.4.2";;"1.4.2. Obsługa i koordynacja prac Trybunału Konstytucyjnego";"Trybunał Konstytucyjny";"06";"Poprawa warunków pracy Trybunału, Biura Trybunału oraz stron i uczestników postępowania przed Trybunałem";"Przeciętny czas wydawania orzeczeń w sprawach (od daty wpływu do zakończenia sprawy)";"16 m-cy";"18 m-cy";14968;14968;0
"1.5";"1.5. Organizacja i przeprowadzanie wyborów";;"Krajowe Biuro Wyborcze";"11";"Zapewnienie sprawnego przeprowadzenia wyborów i referendów przy rozsądnym koszcie";"Stopień wykorzystania środków przeznaczonych na realizację zadania";"96,8%";"91,0%";0;0;0
"1.5";;;"Ministerstwo Finansów";"19";"MF: Budżetowanie zadań państwa";"Kwota wykonanych wydatków w stosunku do zobowiązań (w %)";"99,80";"100";228212;228212;0
"1.5";;;"Wojewodowie";"85";"Stworzenie organom wyborczym warunków do przeprowadzania wyborów";"-";"-";"-";121;121;0
"1.5.1";;"1.5.1. Wybory Prezydenta Rzeczpospolitej Polskiej";"Krajowe Biuro Wyborcze";"11";"Zapewnienie sprawnego przeprowadzenia wyborów i referendów przy rozsądnym koszcie";"Stopień wykorzystania środków przeznaczonych na realizację zadania";"93,7";"0";0;0;0
"1.5.2";;"1.5.2. Wybory do Sejmu i Senatu";"Krajowe Biuro Wyborcze";"11";"Zapewnienie sprawnego przeprowadzenia wyborów przy rozsądnym koszcie";"Stopień wykorzystania środków przeznaczonych na realizację zadania";"90,8";"91,0";0;0;0
"1.5.4";;"1.5.4. Wybory do rad gmin, rad powiatów i sejmików województw, wybory wójtów, burmistrzów i prezydentów miast oraz referenda gminne, powiatowe i wojewódzkie";"Krajowe Biuro Wyborcze";"11";"Zapewnienie sprawnego przeprowadzenia wyborów przy rozsądnym koszcie";"Stopień wykorzystania środków przeznaczonych na realizację zadania";"75,4";"80,0";0;0;0
"1.5.4";;;"Wojewodowie";"85";"-";"-";"-";"-";121;121;0
"1.5.5";;"1.5.5. Referenda ogólnokrajowe i konstytucyjne w tym obsługa pod względem merytorycznym, finansowym, technicznym i organizacyjnym PKW i Komisarzy wyborczych";"Krajowe Biuro Wyborcze";"11";"Zapewnienie sprawnego przeprowadzenia wyborów przy rozsądnym koszcie";"Stopień wykorzystania środków przeznaczonych na realizację zadania";"99,0";"98,0";0;0;0
"1.5.6";;"1.5.6. Finansowanie partii politycznych";"Ministerstwo Finansów";"19";"Budżetowanie zadań państwa";"Kwota wykonanych wydatków w stosunku do zobowiązań (w %)";"99,80%";"100%";228212;228212;0
"1.6";"1.6. Nadzór nad systemem zamówień publicznych";;"Urząd Zamówień Publicznych";"49";"Zwiększanie prawidłowości przestrzegania procedur wydatkowania środków publicznych";"Odsetek wszczętych kontroli fakultatywnych, postępowań wyjaśniających oraz udzielonych odpowiedzi w stosunku do liczby wniosków";"76%";"75%";12903;12449;454
"1.6";;;;"49";;"Liczba osób korzystających z przedsięwzięć edukacyjnych realizowanych przez UZP
(konferencje, seminaria, szkolenia, wydawnictwa)";"7987";"6000";;;
"1.6.1";;"1.6.1. Nadzór nad przestrzeganiem zasad systemu zamówień w szczególności dokonywanie kontroli procesu udzielania zamówień w zakresie przewidzianym ustawą";"Urząd Zamówień Publicznych";"49";"Usprawnienie wykrywania nieprawidłowości przy udzielaniu zamówień publicznych";"Odsetek kontroli uprzednich zamówień współfinansowanych ze środków UE zakończonych w terminie 14 dni od dostarczenia żądanych dokumentów";"99%";"95%";6844;6390;454
"1.6.2";;"1.6.2. System odwołań ";"Urząd Zamówień Publicznych";"49";"Zapewnienie sprawnego funkcjonowania systemu rozpoznawania odwołań";"Terminowość rozpoznawania odwołań";"56%";"80%";6059;6059;0
"1.7";"1.7. Ocena działalności organów administracji publicznej, Narodowego Banku Polskiego oraz jednostek organizacyjnych wydatkujących środki publiczne z punktu widzenia ustawowych kryteriów NIK";;"Najwyższa Izba Kontroli";"07";"Wspieranie działań wpływających na sprawne funkcjonowanie państwa i pozytywne oddziaływanie na skuteczność wykonywania zadań finansowanych ze środków publicznych.";"Procent wydatków publicznych poddanych w danym roku audytowi finansowemu typu poświadczającego u dysponenta III stopnia";"16,9";"15";275124;275124;0
"1.7";;;;"07";;"Odsetek wniosków pokontrolnych przyjętych do realizacji przez adresatów wystąpień pokontrolnych";"84";"≥80";;;
"1.7.1";;"1.7.1. Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników";"Najwyższa Izba Kontroli";"07";"Przekazywanie Sejmowi oraz kontrolowanym podmiotom wiarygodnych ocen i informacji niezbędnych do doskonalenia funkcjonowania administracji państwowej oraz podmiotów wykonujących zadania publiczne lub korzystających ze środków publicznych";"Liczba wystąpień pokontrolnych przedstawiających oceny kontrolowanej działalności";"2663";"2600";232860;232860;0
"1.7.2";;"1.7.2. Przygotowanie analizy wykonania budżetu państwa i założeń polityki pieniężnej oraz innych opracowań sektorowych";"Najwyższa Izba Kontroli";"07";"Przekazanie Sejmowi wiarygodnych informacji i opinii niezbędnych przy debacie na temat absolutorium dla Rady  Ministrów oraz wniosków w sprawie rozpatrzenia przez Sejm określonych problemów związanych z działalnością organów wykonujących zadania publiczne";"Terminowość przekazania Sejmowi analizy wykonania budżetu państwa i założeń polityki pieniężnej";"w ustalonym terminie";"w ustalonym terminie";3013;3013;0
"1.7.3";;"1.7.3. Wykonywanie nie kontrolnych funkcji naczelnego organu kontroli państwowej";"Najwyższa Izba Kontroli";"07";"Zwiększenie wpływu NIK jako naczelnego organu kontroli państwowej na system kontroli w państwie oraz roli NIK w międzynarodowych stowarzyszeniach najwyższych organów kontrolnych.";"Liczba informacji i wzmianek w mediach o działalności i kontrolach NIK";"8852";"10000";17587;17587;0
"1.7.4";;"1.7.4. Zarządzanie kapitałem ludzkim";"Najwyższa Izba Kontroli";"07";"Zwiększanie wiedzy i umiejętności kadry kontrolerskiej.";"Procent pracowników nadzorujących i wykonujących czynności kontrolne biorących w ciągu roku udział w  co najmniej 1 szkoleniu specjalistycznym";"-";"100";21664;21664;0
"1.8";"1.8. Ochrona wolności słowa, prawo do informacji oraz interes publiczny w radiofonii i telewizji";;"Krajowa Rada Radiofonii i Telewizji";"09";"Projektowanie w porozumieniu z Prezesem Rady Ministrów kierunków polityki państwa oraz opiniowanie projektów aktów ustawodawczych oraz umów międzynarodowych w dziedzinie radiofonii i telewizji. Zapewnienie wolności słowa w radiu i telewizji, samodzielności nadawców i interesów odbiorców oraz otwartego pluralistycznego charakteru radiofonii i telewizji";"Liczba stanowisk, oświadczeń i komunikatów";"12";"10";9993;9993;0
"1.8";;;;"09";;"Liczba rozporządzeń KRRiT";"8";"10";;;
"1.8";;;;"09";;"Liczba uchwał KRRiT";"553";"610";;;
"1.8.1";;"1.8.1. Koncesje na rozpowszechnianie programów radiowych i telewizyjnych oraz rejestrowanie programów rozprowadzanych w sieciach kablowych";"Krajowa Rada Radiofonii i Telewizji";"09";"Zapewnienie odbiorcom w granicach obowiązującego prawa różnorodnej oferty programowej";"Relacja liczby decyzji i postanowień Przewodniczącego KRRiT do liczby wniosków o udzielenie i zmianę koncesji radiowych i telewizyjnych oraz z głoszeń o wpis do rejestru programów rozprowadzanych w sieciach kablowych (w %)";"106%";"100%";3290;3290;0
"1.8.2";;"1.8.2. Kontrola programów radiowych i telewizyjnych oraz organizowanie badań treści i odbioru tych programów";"Krajowa Rada Radiofonii i Telewizji";"09";"Nadzorowanie przestrzegania przez nadawców przepisów prawa w zakresie programu";"Liczba przeprowadzonych kontroli zawartości programów";"1 124";"1249";4660;4660;0
"1.8.3";;"1.8.3. Działalność KRRiT w zakresie środków abonamentowych";"Krajowa Rada Radiofonii i Telewizji";"09";"Rozpatrywanie wniosków w sprawie umorzenia i rozłożenia na raty zaległości w opłatach r i tv";"Liczba rozpatrzonych wniosków przypadająca na 1 etat kalkulacyjny pracowników zajmujących się powyższym w skali roku";"2153";"2700";2043;2043;0
"1.9";"1.9. Gromadzenie i zarządzanie dokumentami organów bezpieczeństwa państwa oraz organów bezpieczeństwa III Rzeszy Niemieckiej i Związku Socjalistycznych Republik Radzieckich sporządzonymi od 1 września 1939 r. do 31 lipca 1990 r., prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych, zbrodni przeciwko ludzkości i innych, działalność lustracyjna";;"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu";"13";"Upowszechnianie wiedzy o najnowszej historii Polski na podstawie zgromadzonego materiału archiwalnego i ściganie zbrodni przeciwko Narodowi Polskiemu ";"Ilość podzadań, w których osiągnięto zaplanowane mierniki";"3";"3";182556;182556;0
"1.9.1";;"1.9.1. Udostępnianie dokumentów i informacji o zbiorach zgromadzonych w archiwach IPN";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu";"13";"Wzrost liczby uporządkowanych, opracowanych i udostępnianych dokumentów w postaci cyfrowej wszystkim kategoriom wnioskodawców";"Liczba w % zdigitalizowanych opracowanych i udostępnianych dokumentów  w stosunku do ogólnej liczby udostępnianych dokumentów";"43%";"65%";124046;124046;0
"1.9.2";;"1.9.2. Prowadzenie śledztw w sprawie zbrodni nazistowskich, komunistycznych oraz przeciwko ludzkości i innych";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu";"13";"Zagwarantowanie obywatelom konstytucyjnego prawa do wszechstronnego i bez nieuzasadnionej zwłoki wyjaśnienia przez uprawniony organ wszystkich okoliczności dot.zbrodni nazist. komunist. wojennych przeciwko ludzkości pokojowi i wym. w art.54 i 55 ust.o IPN";"Liczba postępowań załatwionych przez prokuratorów IPN w ciągu roku kalendarzowego";"1750";"1800";30621;30621;0
"1.9.3";;"1.9.3. Przygotowywanie i publikowanie informacji dotyczących funkcjonariuszy organów bezpieczeństwa państwa, osób rozpracowywanych, funkcjonariuszy państwowych i partyjnych w latach 1944-1990 oraz osób publicznych wg art. 22 tzw. ustawy lustracyjnej z 2006 roku, prowadzenie rejestru oświadczeń lustracyjnych i jego analiza, przygotowanie postępowań lustracyjnych";"Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu";"13";"Publikacja w BIP IPN zgodnie z art. 22 ust.1 i 2 ustawy lustracyjnej z 2006 oraz katalogowych z art. 52a pkt 6,7 i 8 ustawy i IPN z 1998 r. oraz przygotowanie postępowań lustracyjnych";"Liczba osób odnośnie których zebrano i ostatecznie zweryfikowano informacje";"10000";"15000";27889;27889;0
"1.10";"1.10. Ocena gospodarki finansowej jednostek samorządu terytorialnego z punktu widzenia kryteriów ustawowych";;"Ministerstwo Spraw Wewnętrznych i Administracji";"80";"Ocena gospodarki finansowej jednostek samorządu terytorialnego oraz pozytywne oddziaływanie na funkcjonowanie administracji samorządowej";"Stosunek ilości przeprowadzonych kontroli w stosunku do zaplanowanych - wskaźnik procentowy";"122,0";"111,8";103251;102751;500
"1.10";;;;"80";;"Stosunek ilości  kontroli stwierdzających nieprawidłowości do kontroli przeprowadzonych - wskaźnik procentowy";"91,0";"87,5";;;
"1.10";;;;"80";;"Stosunek ilości zbadanych uchwał i zarządzeń jst oraz wydanych opinii do ilości jst podległych nadzorowi - wskaźnik procentowy";"6050,5";"6135,9";;;
"1.10";;;;"80";;"Stosunek ilości udzielonych odpowiedzi/informacji na skierowane zapytania dotyczące określonych zagadnień do ilości jst podległych nadzorowi - wskaźnik procentowy";"36,0";"39,4";;;
"1.10.1";;"1.10.1. Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników";"Ministerstwo Spraw Wewnętrznych i Administracji";"80";"Wykonywanie kontroli oraz przekazywanie ich wyników kontrolowanym podmiotom w celu doskonalenia funkcjonowania administracji samorządowej";"Iloczyn stosunku kontroli wykonanych do zaplanowanych oraz stosunku kontroli stwierdzających nieprawidłowości do kontroli wykonanych - wskaźnik procentowy";"115,9%";"107,7%";46359;46154;205
"1.10.2";;"1.10.2. Sprawowanie nadzoru nad jednostkami samorządu terytorialnego oraz działalność opiniodawcza";"Ministerstwo Spraw Wewnętrznych i Administracji";"80";"Zapewnianie zgodnego z prawem działania jednostek samorządu terytorialnego";"Stosunek ilości zbadanych uchwał i zarządzeń jst oraz wydanych opinii do ilości jst podległych nadzorowi - wskaźnik procentowy";"6050,5%";"6135,9%";56892;56597;295
"1.11";"1.11. Informatyzacja działalności i budowa społeczeństwa informacyjnego";;"Urząd Zamówień Publicznych";"49";"Uproszczenie i przyśpieszenie udzielania zamówień publicznych poprzez wykorzystanie technik informatycznych";"Procent spraw załatwionych przez Urząd w formie elektronicznej w stosunku do formy papierowej";"91,7%";"93%";923;923;0
"1.11.1";;"1.11.1. Utrzymanie systemów informatycznych";"Urząd Zamówień Publicznych";"49";"Zapewnienie ciągłości dostępności usług świadczonych drogą elektroniczną";"Czas dostępności usług";"b.d.%";"96%";923;923;0
"2";"FUNKCJA 2. BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY";;;;;;;;14170616;14111837;58779
"2.1";"2.1. Ochrona obywateli i utrzymanie porządku publicznego";;"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Zapewnianie bezpieczeństwa obywateli";"Wskaźnik dynamiki przestępstw ogółem (w tym przestępstw drogowych); tj. przestępstw stwierdzonych w roku bieżącym do liczby przestępstw stwierdzonych w roku 2008  x 100";"100%";"Osiągnięcie dynamiki < 100% w stosunku do 2008 r.";5297590;5260531;37059
"2.1";;;"Agencja Bezpieczeństwa Wewnętrznego";"57";"Zapewnianie bezpieczeństwa obywateli";"Bieżące monitorowanie - wartość logiczna tak(1)/nie(0)";"1";"1";497682;497682;0
"2.1";;;"Wojewodowie";"85";"Zapewnianie bezpieczeństwa obywateli";" - ";" - ";" - ";12;12;0
"2.1.1";;"2.1.1. Zapewnienie bezpieczeństwa wewnętrznego państwa ";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Poprawa bezpieczeństwa wewnętrznego";"Liczba uczestników szkoleń podstawowych";"8702";"5000";31975;31975;0
"2.1.1";;;"Agencja Bezpieczeństwa Wewnętrznego";"57";"Poprawa bezpieczeństwa wewnętrznego";"Bieżące monitorowanie - wartość logiczna tak(1)/nie(0)";"1";"1";497682;497682;0
"2.1.1";;;"Wojewodowie";"85";"-";"-";"-";"-";12;12;0
"2.1.2";;"2.1.2. Zapewnienie bezpieczeństwa najważniejszym osobom, obiektom i urządzeniom w państwie";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Poprawa bezpieczeństwa związanego z ochroną osób i obiektów ważnych dla państwa";"Wartość logiczna TAK/NIE";"TAK";"TAK";177382;177382;0
"2.1.3";;"2.1.3. Zapewnienie działania służby prewencyjnej";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Ograniczanie liczby przestępstw";"Wskaźnik dynamiki przestępstw szczególnie uciążliwych społecznie w kategoriach: kradzież, kradzież z włamaniem, bójka lub pobicie, przestępstwa rozbójnicze; tj: przestępstw stwierdzonych w roku bieżącym do liczby przestęstwstwierdzonych w roku 2008 ";"100%";"Osiągnięcie dynamiki < 100% w stosunku do 2008 r.";4309904;4278153;31751
"2.1.4";;"2.1.4. Zapewnienie działania służby ruchu drogowego";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Poprawa bezpieczeństwa w ruchu drogowym";"Liczba zdarzeń drogowych ze skutkiem śmiertelnym";"4862";"Osiągnięcie dynamiki < 100% w stosunku do 2008 r.";723296;717988;5308
"2.1.5";;"2.1.5. Wydawanie zezwoleń, koncesji, wpisu do rejestru działalności regulowanej oraz kontrola własna działalności koncesjonowanej, regulowanej i legalności nabycia nieruchomości, akcji i udziałów przez cudzoziemców";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Usprawnianie działań wynikających z regulacji";"Liczba spraw zakończonych wydaniem decyzji w stosunku do liczby złożonych wniosków ogółem";"95%";"96%";3705;3705;0
"2.1.6";;"2.1.6. Wykonywanie zadań z zakresu postępowania mandatowego w sprawach o wykroczenia";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Zapewnienie sprawnego funkcjonowania postępowania mandatowego w sprawach o wykroczenia";"Odsetek uzasadnionych skarg na działanie organów nakładających grzywny w drodze mandatów karnych w stosunku do ogólnej liczby wniesionych skarg";"25%";"25%";792;792;0
"2.1.7";;"2.1.7. Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Zwiększanie sprawności działania służby prewencji i ruchu drogowego oraz poprawa bazy i sprzętu niezbędnego dla prawidłowego funkcjonowania BOR";"Wskaźnik modernizacji Policji /BOR";"100%/73%";"135%/100%";50536;50536;0
"2.2";"2.2. Redukowanie przestępczości i działania na rzecz poprawy społecznego poczucia bezpieczeństwa";;"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Usprawnianie zwalczania przestępczości oraz propagowanie, upowszechnianie i wdrażanie działań o charakterze profilaktycznym";"Wskaźnik wykrywalności przestępstw - iloraz liczby przestępstw wykrytych (łącznie z wykrytymi po podjęciu z umorzenia) - przez ogólną liczbę przestępstw stwierdzonych powiększoną o liczbę przestępstw wykrytych po podjęciu postępowań umorzonych - w %";"65,9";"69,2";2977061;2955411;21650
"2.2";;;;"42";;"Wskaźnik dynamiki inicjatyw na rzecz poprawy bezpieczeństwa zgłoszonych Wojewodom w skali kraju w ramach działań profilaktycznych, tj. liczba inicjatyw w roku bazowym do inicjatyw w latach kolejnych";"400%";"100%";;;
"2.2";;;"Centralne Biuro Antykorupcyjne";"56";"Zwalczanie  korupcji w życiu publicznym i gospodarczym";"Indeks Percepcji Korupcji";"4,2";">4,2";106971;106971;0
"2.2";;;"Wojewodowie";"85";"Poprawa bezpieczeństwa w województwie";"Wskaźnik przestępczości w regionie";"3%";"2,9%";961;961;0
"2.2.1";;"2.2.1. Zapewnienie działania służby śledczej i kryminalnej";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Utrzymanie wysokiego poziomu wykrywalności popełnionych przestępstw w 7 wybranych kategoriach";"Wykrywalność w wybranych 7 kategoriach przestępstw pospolitych";"17,50%";"21,50%";2946403;2924753;21650
"2.2.2";;"2.2.2. Zwalczanie korupcji";"Centralne Biuro Antykorupcyjne";"56";"Zmniejszanie poziomu korupcji";"Liczba przedstawionych zarzutów na podstawie materiałów CBA";"387";">500";106971;106971;0
"2.2.3";;"2.2.3. Zapobieganie przestępczości i aspołecznym zachowaniom oraz przeciwdziałanie przemocy i patologiom społecznym";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Aktywizacja społeczności lokalnych do działania na rzecz ograniczenia przestępczości";"Wskaźnik dynamiki projektów z zakresu ograniczania aspołecznych zachowań objętych dofinansowaniem tj. liczba projektów objętych dofinansowaniem w roku bazowym do projektów objętych dofinansowaniem w latach kolejnych";"40";"100 %";3072;3072;0
"2.2.3";;;"Wojewodowie";"85";"-";"-";"-";"-";961;961;0
"2.2.4";;"2.2.4. Wsparcie i ochrona ofiar handlu ludźmi";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Zapewnienie bezpieczeństwa ofiarom handlu ludźmi oraz osobom zagrożonym procederem";"Ilości osób, którym udzielono wsparcia i pomocy oraz udzielono konsultacji";"193";"570";1260;1260;0
"2.2.6";;"2.2.6. Program wieloletni ``Program modernizacji Policji, Straży Granicznej, Państwowej Straży Pożarnej i Biura Ochrony Rządu w latach 2007-2011``";"Ministerstwo Spraw Wewnętrznych i Administracji";"42";"Zwiększenie sprawności działania służby kryminalnej i śledczej";"Wskaźnik modernizacji Policji";"100%";"135%";26326;26326;0
"2.3";"2.3. Strzeżenie praworządności i czuwanie nad ściganiem przestępstw przez prokuraturę";;"Ministerstwo Obrony Narodowej";"29";"Zagwarantowanie bezpieczeństwa państwa i obywateli";"Odsetek spraw załatwionych w terminie do trzech miesięcy w stosunku do ogólnej liczby spraw";"74%";"76%";39276;39276;0
