"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj/ Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIS.12.01.00-00-118/08-00";"Zakup dwóch ambulansów na potrzeby zespołów ratownictwa medycznego Szpitalnego Oddziału Ratunkowego Szpitala Specjalistycznego w Pile.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Wielkopolskie";"Powiat pilski";"";"773,835.36";"765,840.00";"650,964.00";"650,964.00";"Szpital Specjalistyczny w Pile im. Stanisława Staszica";"7642088098";"64-920";"Piła";"Wielkopolskie";"Powiat pilski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-118/08-01";"Tak";"2009/06/30";"2009/07/09"
"POIS.12.01.00-00-171/08-00";"Zakup specjalistycznych środków transportu sanitarnego na potrzeby Radomskiej Stacji Pogotowia Ratunkowego.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Mazowieckie";"Powiat m. Radom";"";"2,924,659.22";"2,924,659.22";"2,485,960.33";"2,485,960.33";"Radomska Stacja Pogotowia Ratunkowego w Radomiu";"9481668643";"26-600";"Radom";"Mazowieckie";"Powiat m. Radom";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-171/08-02-K01";"Tak";"2009/06/24";"2009/07/17"
"POIS.12.01.00-00-173/08-00";"Wymiana ambulansu podstawowego zespołu ratownictwa medycznego w Zalewie szansą mieszkańców powiatu iławskiego na lepszy dostęp do świadczeń.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Warmińsko-mazurskie";"Powiat iławski";"";"387,238.44";"387,238.44";"329,152.67";"329,152.67";"Powiatowy Szpital im. Władysława Biegańskiego w Iławie";"7441484344";"14-200";"Iława";"Warmińsko-mazurskie";"Powiat iławski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-173/08-01";"Tak";"2009/07/02";"2009/07/17"
"POIS.12.01.00-00-178/08-00";"Poprawa jakości i dostępności do systemu ratownictwa medycznego w Bielskim Pogotowiu Ratunkowym poprzez wymianę 3 sztuk wyeksploatowanych karetek sanitarnych na nowe ambulanse dla zespołów specjalistycznych.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Śląskie";"Powiat bielski";"";"654,195.00";"654,195.00";"556,065.75";"556,065.75";"Bielskie Pogotowie Ratunkowe";"5470292617";"43-300";"Bielsko - Biała";"Śląskie";"Powiat m. Bielsko-Biała";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-178/08-01";"Tak";"2009/06/24";"2009/07/06"
"POIS.12.01.00-00-191/08-00";"Zakup specjalistycznych środków transportu sanitarnego wraz z wyposażeniem na potrzeby podstawowego zespołu ratownictwa medycznego w NZOZ w Świeciu.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Zachodniopomorskie";"Powiat m. Szczecin";"";"1,078,048.66";"1,078,048.66";"916,341.36";"916,341.36";"Nowy Szpital Sp. z o.o.";"8522433297";"70-356";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"76 Infrastruktura ochrony zdrowia";"niepubliczny zakład opieki zdrowotnej (w tym osoby prowadzące praktyki lekarskie/pielęgniarskie)";"00 Nie dotyczy";"POIS.12.01.00-00-191/08-02";"Tak";"2009/06/23";"2009/07/17"
"POIS.12.01.00-00-204/08-00";"Zakup ambulansu z wyposażeniem przez Wojewódzki Szpital Zespolony w Elblągu na potrzeby specjalistycznego zespołu ratownictwa medycznego w Elblągu.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Warmińsko-mazurskie";"Powiat m. Elbląg";"";"313,360.10";"313,360.10";"266,356.08";"266,356.08";"Wojewdzki Szpital Zespolony w Elblągu";"5782517492";"82-300";"Elbląg";"Warmińsko-mazurskie";"Powiat elbląski / Powiat m. Elbląg";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-204/08-01";"Tak";"2009/07/02";"2009/07/17"
"POIS.12.01.00-00-208/08-00";"Poprawa efektywności systemu ochrony zdrowia poprzez zakup Karetki typu ""S"" przez Szpital Powiatowy w Chełmży.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Kujawsko-pomorskie";"Powiat toruński";"";"420,608.63";"419,059.79";"356,013.49";"356,013.49";"Szpital Powiatowy Sp. z o.o. w Chełmży";"8792276028";"87-140";"Chełmża";"Kujawsko-pomorskie";"Powiat toruński";"76 Infrastruktura ochrony zdrowia";"niepubliczny zakład opieki zdrowotnej (w tym osoby prowadzące praktyki lekarskie/pielęgniarskie)";"00 Nie dotyczy";"POIS.12.01.00-00-208/08-01";"Tak";"2009/06/30";"2009/07/09"
"RPMP.04.01.01-12-058/08-03";"Modernizacja drogi woj. nr 933 na odcinku Brzeszcze – Chrzanów wraz z budową wiaduktu w m. Kroczymiech";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.04.00.00";"RPMP.04.01.00";"RPMP.04.01.01";"Małopolskie";"Powiat chrzanowski";"";"35,957,692.47";"35,805,119.35";"23,273,327.58";"23,273,327.58";"Województwo Małopolskie";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"23 Drogi regionalne/lokalne";"wspólnota samorządowa";"01 Obszar miejski";"RPMP.04.01.01-12-058/08-04";"Tak";"2009/10/15";"2010/02/08"
"RPMP.04.01.01-12-058/08-03";"Modernizacja drogi woj. nr 933 na odcinku Brzeszcze – Chrzanów wraz z budową wiaduktu w m. Kroczymiech";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.04.00.00";"RPMP.04.01.00";"RPMP.04.01.01";"Małopolskie";"Powiat oświęcimski";"";"35,957,692.47";"35,805,119.35";"23,273,327.58";"23,273,327.58";"Województwo Małopolskie";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"23 Drogi regionalne/lokalne";"wspólnota samorządowa";"01 Obszar miejski";"RPMP.04.01.01-12-058/08-04";"Tak";"2009/10/15";"2010/02/08"
"RPSW.03.01.00-26-045/08-02";"Stworzenie systemu do poprawy bezpieczeństwa w zakresie ruchu drogowego i działań Policji w sytuacjach kryzysowych w oparciu o sprzęt specjalistyczny.";"Regionalny Program Operacyjny Województwa Świętokrzyskiego";"RPSW.03.00.00";"RPSW.03.01.00";"";"Świętokrzyskie";"Powiat kielecki";"";"276,078.44";"273,333.33";"164,000.00";"164,000.00";"Komenda Wojewódzka Policji w Kielcach";"6570313331";"25-372";"Kielce";"Świętokrzyskie";"Powiat m. Kielce";"28 Inteligentne systemy transportu";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"RPSW.03.01.00-26-045/08-03";"Tak";"2009/12/29";"2009/12/31"
"RPSW.03.01.00-26-045/08-02";"Stworzenie systemu do poprawy bezpieczeństwa w zakresie ruchu drogowego i działań Policji w sytuacjach kryzysowych w oparciu o sprzęt specjalistyczny.";"Regionalny Program Operacyjny Województwa Świętokrzyskiego";"RPSW.03.00.00";"RPSW.03.01.00";"";"Świętokrzyskie";"Powiat ostrowiecki";"";"276,078.44";"273,333.33";"164,000.00";"164,000.00";"Komenda Wojewódzka Policji w Kielcach";"6570313331";"25-372";"Kielce";"Świętokrzyskie";"Powiat m. Kielce";"28 Inteligentne systemy transportu";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"RPSW.03.01.00-26-045/08-03";"Tak";"2009/12/29";"2009/12/31"
"RPSW.03.01.00-26-045/08-02";"Stworzenie systemu do poprawy bezpieczeństwa w zakresie ruchu drogowego i działań Policji w sytuacjach kryzysowych w oparciu o sprzęt specjalistyczny.";"Regionalny Program Operacyjny Województwa Świętokrzyskiego";"RPSW.03.00.00";"RPSW.03.01.00";"";"Świętokrzyskie";"Powiat starachowicki";"";"276,078.44";"273,333.33";"164,000.00";"164,000.00";"Komenda Wojewódzka Policji w Kielcach";"6570313331";"25-372";"Kielce";"Świętokrzyskie";"Powiat m. Kielce";"28 Inteligentne systemy transportu";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"RPSW.03.01.00-26-045/08-03";"Tak";"2009/12/29";"2009/12/31"
