"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIS.05.01.00-00-148/09-00";"Ochrona ex situ zagrożonych i chronionych roślin, dziko rosnących w zachodniej części Polski
";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Pomorskie";"";"";"310,055.63";"284,177.00";"241,550.38";"241,550.38";"Leśny Bank Genów Kostrzyca";"6111119546";"58-535";"Miłków";"Dolnośląskie";"Powiat jeleniogórski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.05.01.00-00-148/09-01";"Nie";"2010/08/16";"2010/09/02"
"POIS.05.01.00-00-148/09-00";"Ochrona ex situ zagrożonych i chronionych roślin, dziko rosnących w zachodniej części Polski
";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Śląskie";"";"";"310,055.63";"284,177.00";"241,550.38";"241,550.38";"Leśny Bank Genów Kostrzyca";"6111119546";"58-535";"Miłków";"Dolnośląskie";"Powiat jeleniogórski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.05.01.00-00-148/09-01";"Nie";"2010/08/16";"2010/09/02"
"POIS.05.01.00-00-148/09-00";"Ochrona ex situ zagrożonych i chronionych roślin, dziko rosnących w zachodniej części Polski
";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Wielkopolskie";"";"";"310,055.63";"284,177.00";"241,550.38";"241,550.38";"Leśny Bank Genów Kostrzyca";"6111119546";"58-535";"Miłków";"Dolnośląskie";"Powiat jeleniogórski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.05.01.00-00-148/09-01";"Nie";"2010/08/16";"2010/09/02"
"POIS.05.01.00-00-148/09-00";"Ochrona ex situ zagrożonych i chronionych roślin, dziko rosnących w zachodniej części Polski
";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Zachodniopomorskie";"";"";"310,055.63";"284,177.00";"241,550.38";"241,550.38";"Leśny Bank Genów Kostrzyca";"6111119546";"58-535";"Miłków";"Dolnośląskie";"Powiat jeleniogórski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.05.01.00-00-148/09-01";"Nie";"2010/08/16";"2010/09/02"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Kujawsko-pomorskie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Lubelskie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Łódzkie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Małopolskie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Mazowieckie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Opolskie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Podkarpackie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Podlaskie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Pomorskie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Śląskie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Świętokrzyskie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-156/09-00";"Ochrona ex-situ dziko rosnących zagrożonych i chronionych roślin w Polsce wschodniej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Warmińsko-mazurskie";"";"";"274,562.61";"274,562.61";"233,378.22";"233,378.22";"Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN";"5250011935";"02-973";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"POIS.05.01.00-00-156/09-01";"Nie";"2010/10/28";"2010/11/03"
"POIS.05.01.00-00-189/09-00";"Ochrona żubrów in situ w województwie zachodniopomorskim";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Lubuskie";"";"";"591,327.45";"591,327.45";"502,628.33";"502,628.33";"Zachodniopomorskie Towarzystwo Przyrodnicze";"8521400870";"71-415";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-189/09-03";"Nie";"2010/07/28";"2010/07/28"
"POIS.05.01.00-00-189/09-00";"Ochrona żubrów in situ w województwie zachodniopomorskim";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Wielkopolskie";"";"";"591,327.45";"591,327.45";"502,628.33";"502,628.33";"Zachodniopomorskie Towarzystwo Przyrodnicze";"8521400870";"71-415";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-189/09-03";"Nie";"2010/07/28";"2010/07/28"
"POIS.05.01.00-00-189/09-00";"Ochrona żubrów in situ w województwie zachodniopomorskim";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Zachodniopomorskie";"";"";"591,327.45";"591,327.45";"502,628.33";"502,628.33";"Zachodniopomorskie Towarzystwo Przyrodnicze";"8521400870";"71-415";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-189/09-03";"Nie";"2010/07/28";"2010/07/28"
"POIS.05.01.00-00-195/09-00";"Ochrona in situ żubra w Polsce- część południowa";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Lubelskie";"";"";"1,273,856.40";"1,150,259.07";"977,720.21";"977,720.21";"Regionalna Dyrekcja lasów Państwowych w Krośnie";"6840011078";"38-400";"Krosno";"Podkarpackie";"Powiat krośnieński / Powiat m. Krosno";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2010/11/18";"2010/11/22"
"POIS.05.01.00-00-195/09-00";"Ochrona in situ żubra w Polsce- część południowa";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Małopolskie";"";"";"1,273,856.40";"1,150,259.07";"977,720.21";"977,720.21";"Regionalna Dyrekcja lasów Państwowych w Krośnie";"6840011078";"38-400";"Krosno";"Podkarpackie";"Powiat krośnieński / Powiat m. Krosno";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2010/11/18";"2010/11/22"
"POIS.05.01.00-00-195/09-00";"Ochrona in situ żubra w Polsce- część południowa";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Podkarpackie";"";"";"1,273,856.40";"1,150,259.07";"977,720.21";"977,720.21";"Regionalna Dyrekcja lasów Państwowych w Krośnie";"6840011078";"38-400";"Krosno";"Podkarpackie";"Powiat krośnieński / Powiat m. Krosno";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2010/11/18";"2010/11/22"
"POIS.05.01.00-00-202/09-00";"Reintrodukcja popielicy w Polsce Zachodniej - etap III";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Dolnośląskie";"";"";"221,619.05";"221,619.05";"188,376.19";"188,376.19";"Polskie Towarzystwo Ochrony Przyrody ""Salamandra""";"7781009642";"60-788";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-202/09-01";"Nie";"2010/09/02";"2010/09/21"
"POIS.05.01.00-00-226/09-00";"Reintrodukacja i restytucja niepylaka apollo na Dolnym Śląsku.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Dolnośląskie";"";"";"1,411,907.00";"1,411,907.00";"1,200,120.95";"1,200,120.95";"Fundacja EkoRozwoju";"8990023428";"50-134";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"fundacja";"00 Nie dotyczy";"POIS.05.01.00-00-226/09-03";"Nie";"2010/09/08";"2010/09/08"
"POIS.05.01.00-00-226/09-00";"Reintrodukacja i restytucja niepylaka apollo na Dolnym Śląsku.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Opolskie";"";"";"1,411,907.00";"1,411,907.00";"1,200,120.95";"1,200,120.95";"Fundacja EkoRozwoju";"8990023428";"50-134";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"fundacja";"00 Nie dotyczy";"POIS.05.01.00-00-226/09-03";"Nie";"2010/09/08";"2010/09/08"
"POIS.05.02.00-00-181/09-00";"Drogi dla Natury - aleje przydrożne jako korytarze ekologiczne dla pachnicy dębowej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.02.00";"";"Dolnośląskie";"";"";"681,187.00";"681,187.00";"579,008.95";"579,008.95";"Fundacja EkoRozwoju";"8990023428";"50-134";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"fundacja";"00 Nie dotyczy";"POIS.05.02.00-00-181/09-03";"Nie";"2010/03/29";"2010/04/12"
"POIS.05.02.00-00-181/09-00";"Drogi dla Natury - aleje przydrożne jako korytarze ekologiczne dla pachnicy dębowej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.02.00";"";"Małopolskie";"";"";"681,187.00";"681,187.00";"579,008.95";"579,008.95";"Fundacja EkoRozwoju";"8990023428";"50-134";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"fundacja";"00 Nie dotyczy";"POIS.05.02.00-00-181/09-03";"Nie";"2010/03/29";"2010/04/12"
"POIS.05.02.00-00-181/09-00";"Drogi dla Natury - aleje przydrożne jako korytarze ekologiczne dla pachnicy dębowej";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.02.00";"";"Warmińsko-mazurskie";"";"";"681,187.00";"681,187.00";"579,008.95";"579,008.95";"Fundacja EkoRozwoju";"8990023428";"50-134";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"fundacja";"00 Nie dotyczy";"POIS.05.02.00-00-181/09-03";"Nie";"2010/03/29";"2010/04/12"
"POIS.05.04.00-00-002/08-02";"Budowa wspólnej platformy wymiany informacji oraz systemu szkoleń zawodowych w parkach narodowych";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.04.00";"";"Dolnośląskie";"";"";"101,818.98";"101,818.98";"86,546.14";"86,546.14";"Narodowa Fundacja Ochrony Środowiska";"5220001889";"01-445";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.04.00-00-002/08-08";"Nie";"2010/08/30";"2010/09/01"
"POIS.05.04.00-00-002/08-02";"Budowa wspólnej platformy wymiany informacji oraz systemu szkoleń zawodowych w parkach narodowych";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.04.00";"";"Lubelskie";"";"";"101,818.98";"101,818.98";"86,546.14";"86,546.14";"Narodowa Fundacja Ochrony Środowiska";"5220001889";"01-445";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.04.00-00-002/08-08";"Nie";"2010/08/30";"2010/09/01"
"POIS.05.04.00-00-002/08-02";"Budowa wspólnej platformy wymiany informacji oraz systemu szkoleń zawodowych w parkach narodowych";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.04.00";"";"Lubuskie";"";"";"101,818.98";"101,818.98";"86,546.14";"86,546.14";"Narodowa Fundacja Ochrony Środowiska";"5220001889";"01-445";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.04.00-00-002/08-08";"Nie";"2010/08/30";"2010/09/01"
"POIS.05.04.00-00-002/08-02";"Budowa wspólnej platformy wymiany informacji oraz systemu szkoleń zawodowych w parkach narodowych";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.04.00";"";"Małopolskie";"";"";"101,818.98";"101,818.98";"86,546.14";"86,546.14";"Narodowa Fundacja Ochrony Środowiska";"5220001889";"01-445";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.04.00-00-002/08-08";"Nie";"2010/08/30";"2010/09/01"
