"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIG.01.01.02-00-109/09-02";"Innowacyjne metody wykorzystania komórek macierzystych w medycynie
";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"Cały kraj";"";"";"45,567,696.00";"45,351,032.00";"45,351,032.00";"38,548,377.20";"Pomorski Uniwersytet Medyczny w Szczecinie";"8520006757";"70-204";"Szczecin";"Zachodniopomorskie";"Powiat m. Szczecin";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.01.02-00-109/09-14";"Nie";"2010/12/29";"2011/01/10"
"POIG.01.02.00-00-001/09-00";"Program Pomost - projekty realizowane przez naukowców powracających do pracy naukowej po przerwach związanych z opieką nad dzieckiem oraz wsparcie w trakcie realizacji naukowych dla kobiet w ciąży";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.02.00";"";"Cały kraj";"";"";"27,600,000.00";"27,600,000.00";"27,600,000.00";"23,460,000.00";"Fundacja na rzecz Nauki Polskiej";"5260311952";"02-548";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"fundacja";"00 Nie dotyczy";"POIG.01.02.00-00-001/09-19";"Nie";"2010/03/31";"2010/04/01"
"POIG.01.02.00-00-002/09-00";"Program Homing Plus - projekty realizowane przez młodych doktorów przyjeżdżających do Polski z zagranicy (zwany Homing+)";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.02.00";"";"Cały kraj";"";"";"37,400,000.00";"37,400,000.00";"37,400,000.00";"31,790,000.00";"Fundacja na rzecz Nauki Polskiej";"5260311952";"02-548";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"fundacja";"00 Nie dotyczy";"POIG.01.02.00-00-002/09-20";"Nie";"2010/03/31";"2010/04/01"
"POIG.01.03.01-00-001/09-03";"Strategie i scenariusze technologiczne zagospodarowania i wykorzystania złóż surowców skalnych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"7,100,940.00";"7,000,000.00";"7,000,000.00";"5,950,000.00";"""Poltegor-Instytut"" Instytut Górnictwa Odkrywkowego";"8960005532";"51-616";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-001/09-17";"Nie";"2010/12/13";"2010/12/14"
"POIG.01.03.01-00-010/08-04";"Synteza kwasu akrylowego i estrów akrylowych w oparciu o surowce odnawialne, w tym o frakcję glicerynową z produkcji estrów metylowych kwasów tłuszczowych.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"24,682,275.26";"22,640,000.00";"22,640,000.00";"19,244,000.00";"Instytut Chemii Przemysłowej im. prof. Ignacego Mościckiego";"5250007939";"01-793";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-010/08-39";"Nie";"2010/12/31";"2011/01/07"
"POIG.01.03.01-00-014/08-04";"Mikro- i Nano-Systemy w Chemii i Diagnostyce Biomedycznej; MNS - DIAG";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"20,411,682.82";"19,760,000.00";"19,760,000.00";"16,796,000.00";"Instytut Technologii Elektronowej";"5250009111";"02-668";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-014/08-26";"Nie";"2010/12/31";"2011/01/07"
"POIG.01.03.01-00-040/08-03";"WSTĘPNE SUSZENIE WĘGLA BRUNATNEGO DLA CELÓW ENERGETYCZNYCH";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"6,271,550.00";"6,067,445.63";"6,067,445.63";"5,157,328.79";"Politechnika Wrocławska";"8960005851";"50-370";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"";"";"2010/12/27";"2010/12/29"
"POIG.01.03.01-00-042/08-02";"„Technologie wytwarzania supertwardych materiałów nanostrukturalnych ze stopów żelaza oraz ich zastosowanie w pancerzach pasywnych i pasywno-reaktywnych”";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"5,709,565.01";"5,709,565.01";"5,709,565.01";"4,853,130.26";"Instytut Metalurgii Żelaza im. Stanisława Staszica";"6310200819";"44-100";"Gliwice";"Śląskie";"Powiat m. Gliwice";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-042/08-18";"Nie";"2010/12/29";"2010/12/30"
"POIG.01.03.01-00-043/08-03";"Mechatroniczny system sterowania, diagnostyki i zabezpieczeń w maszynach górnictwa odkrywkowego.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"6,370,000.00";"6,150,000.00";"6,150,000.00";"5,227,500.00";"""Poltegor-Instytut"" Instytut Górnictwa Odkrywkowego";"8960005532";"51-616";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-043/08-21";"Nie";"2010/12/22";"2010/12/23"
"POIG.01.03.01-00-067/08-02";"Silikonowe kompozyty ceramizujące na osłony przewodów elektrycznych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"3,413,868.17";"3,413,868.17";"3,413,868.17";"2,901,787.94";"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie";"6750001923";"30-059";"Kraków";"Małopolskie";"Powiat m. Kraków";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-067/08-20";"Nie";"2010/12/02";"2010/12/03"
"POIG.01.03.01-00-076/08-03";"Analiza efektów wykorzystania toru w jądrowym reaktorze energetycznym";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"7,510,686.00";"7,510,686.00";"7,510,686.00";"6,384,083.10";"Instytut Energii Atomowej POLATOM";"5320001245";"05-400";"Otwock-Świerk";"Mazowieckie";"Powiat otwocki";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-076/08-18";"Nie";"2010/04/11";"2011/04/13"
"POIG.01.03.01-00-091/08-02";"Opracowanie modelu oceny ekoefektywności technologii zrównoważonego rozwoju";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"2,357,880.00";"2,357,880.00";"2,357,880.00";"2,004,198.00";"Główny Instytut Górnictwa";"6340126016";"40-166";"Katowice";"Śląskie";"Powiat m. Katowice";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-091/08-15";"Nie";"2010/12/08";"2010/12/09"
"POIG.01.03.01-00-092/08-03";"Nowe przyjazne dla środowiska kompozyty polimerowe z wykorzystaniem surowców odnawialnych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"4,795,111.18";"4,716,299.98";"4,716,299.98";"4,008,854.98";"Główny Instytut Górnictwa";"6340126016";"40-166";"Katowice";"Śląskie";"Powiat m. Katowice";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-092/08-18";"Nie";"2010/12/13";"2010/12/17"
"POIG.01.03.01-00-096/08-02";"Opracowanie metod przygotowania biomasy rolnej do energetycznego wykorzystania";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"999,700.00";"973,793.18";"973,793.18";"827,724.21";"Instytut Technologiczno-Przyrodniczy";"5342437004";"05-090";"Falenty";"Mazowieckie";"Powiat pruszkowski";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-096/08-16";"Nie";"2010/12/13";"2010/12/14"
"POIG.01.03.01-00-101/08-02";"POLAPGEN-BD „Narzędzia biotechnologiczne służące do otrzymywania odmian zbóż o zwiększonej odporności na suszę”";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"23,416,911.00";"23,416,911.00";"23,416,911.00";"19,904,374.35";"Instytut Genetyki Roślin Polskiej Akademii Nauk";"7811621455";"60-479";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-101/08-19";"Nie";"2010/12/14";"2010/12/16"
"POIG.01.03.01-00-103/09-04";"Poprawa niezawodności bezołowiowych połączeń lutowanych w pakietach elektronicznych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"3,852,466.80";"3,852,466.80";"3,852,466.80";"3,274,596.78";"Instytut Odlewnictwa";"6750000088";"30-418";"Kraków";"Małopolskie";"Powiat m. Kraków";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-103/09-13";"Nie";"2010/12/01";"2010/12/02"
"POIG.01.03.01-00-123/08-04";"Polimerowe chirurgiczne systemy resorbowalne z pamięcią kształtu";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"4,981,252.24";"4,950,090.84";"4,950,090.84";"4,207,577.22";"Centrum Materiałów Polimerowych i Węglowych PAN";"6480006714";"41-819";"Zabrze";"Śląskie";"Powiat m. Zabrze";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-123/08-21";"Nie";"2010/11/29";"2010/11/29"
"POIG.01.03.01-00-128/08-03";"Opracowanie metody wykrywania markerów wskazujących na predyspozycję do rozwoju insulinooporności";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"19,639,650.36";"19,639,650.36";"19,639,650.36";"16,693,702.81";"Uniwersytet Medyczny w Białymstoku";"5420211717";"15-089";"Białystok";"Podlaskie";"Powiat m. Białystok";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-128/08-16";"Nie";"2010/12/03";"2010/12/06"
"POIG.01.03.01-00-133/08-07";"Innowacyjne technologie produkcji biopreparatów na bazie nowej generacji jaj (OVOCURA).";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"24,956,217.10";"22,746,684.44";"22,746,684.44";"19,334,681.78";"Uniwersytet Przyrodniczy we Wrocławiu";"8960005354";"50-375";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-133/08-16";"Nie";"2010/12/29";"2010/12/29"
"POIG.01.03.01-00-133/09-04";"Opracowanie innowacyjnych metod szybkiej identyfikacji nicieni powodujących straty w gospodarce.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"14,639,656.26";"14,639,656.26";"14,639,656.26";"12,443,707.82";"Muzeum i Instytut Zoologii Polskiej Akademi Nauk";"5250008689";"00-679";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-133/09-20";"Nie";"2010/11/23";"2010/11/24"
"POIG.01.03.01-00-138/09-03";"Wykorzystanie kapusty białej na potrzeby fitoremediacji i biofumigacji gleby (AGROBIOKAP)";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"3,874,234.55";"3,391,950.00";"3,391,950.00";"2,883,157.50";"Politechnika Gdańska";"5840203593";"80-233";"Gdańsk";"Pomorskie";"Powiat m. Gdańsk";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-138/09-16";"Nie";"2010/12/22";"2010/12/22"
"POIG.01.03.01-00-139/08-03";" E-administracja warunkiem rozwoju Polski. Wzrost konkurencyjności przedsiębiorstw z wykorzystaniem innowacyjnych modeli referencyjnych procesów administracji publicznej.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"12,120,900.00";"12,120,900.00";"12,120,900.00";"10,302,765.00";"Uniwersytet Warmińsko-Mazurski w Olsztynie";"7393033097";"10-957";"Olsztyn";"";"";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-139/08-16";"Nie";"2010/12/02";"2010/12/02"
"POIG.01.03.01-00-140/08-04";"Platforma wspomagania decyzji operacyjnych zależnych od stanu atmosfery (PROZA)";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"12,796,713.48";"12,796,713.48";"12,796,713.48";"10,877,206.46";"Uniwersytet Warszawski";"5250011266";"00-927";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-140/08-13";"Nie";"2010/12/27";"2010/12/28"
"POIG.01.03.01-00-145/08-03";" Modelowanie repozytorium i analiza efektywności informacyjnej wytycznych i ścieżek klinicznych w służbie zdrowia";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"1,722,148.91";"1,722,148.91";"1,722,148.91";"1,463,826.57";"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego";"5270206300";"00-908";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-145/08-13-K01";"Tak";"2010/06/21";"2010/06/22"
"POIG.01.03.01-00-147/08-02";"Inteligentny System Kompleksowej Identyfikacji Pojazdów - ISKIP";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"2,175,224.12";"2,044,610.00";"2,044,610.00";"1,737,918.50";"Instytut Badawczy Dróg i Mostów";"5250007661";"03-302";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-147/08-18";"Nie";"2010/03/15";"2010/03/15"
"POIG.01.03.01-00-158/09-04";"Biotransformacje użyteczne w przemyśle farmaceutycznym i kosmetycznym";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"13,631,854.00";"13,299,981.60";"13,299,981.60";"11,304,984.36";"Politechnika Wrocławska";"8960005851";"50-370";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-158/09-15";"Nie";"2010/12/08";"2010/12/10"
"POIG.01.03.01-00-159/08-05";"Innowacyjne technologie wielofunkcyjnych materiałów i struktur dla nanoelektroniki, fotoniki, spintroniki i technik sensorowych
(InTechFun)";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"18,799,738.47";"18,448,400.00";"18,448,400.00";"15,681,140.00";"Instytut Technologii Elektronowej";"5250009111";"02-668";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-159/08-19";"Nie";"2010/12/23";"2010/12/29"
"POIG.01.03.01-00-160/08-01";"„Opracowanie metody szybkiej estymacji właściwości aerosprężystych samolotu w czasie prób flatterowych w locie”";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"2,314,033.23";"2,314,033.23";"2,314,033.23";"1,966,928.25";"Instytut Lotnictwa";"5250008494";"02-256";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-160/08-16";"Nie";"2010/03/31";"2010/04/01"
"POIG.01.03.01-00-165/09-04";"Technologia i nowej generacji urządzenie wielozadaniowe do regeneracyjnego kształtowania otwartych cieków wodnych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"8,877,170.21";"8,124,930.15";"8,124,930.15";"6,906,190.63";"Przemysłowy Instytut Maszyn Rolniczych";"7770003280";"60-963";"Poznań";"";"";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-165/09-13";"Nie";"2010/12/21";"2010/12/21"
"POIG.01.03.01-00-169/09-02";"SERCOWE KOMÓRKI MACIERZYSTE I PROGENITOROWE - nowa metoda regeneracji uszkodzonego serca";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"7,909,894.00";"7,909,894.00";"7,909,894.00";"6,723,409.90";"Śląskie Centrum Chorób Serca w Zabrzu";"6482302807";"41-800";"Zabrze";"Śląskie";"Powiat m. Zabrze";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-169/09-14";"Nie";"2010/11/29";"2010/11/30"
"POIG.01.03.01-00-204/09-03";"Optymalizacja produkcji wołowiny w Polsce, zgodnie ze strategią ""od widelca do zagrody"".";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"Cały kraj";"";"";"39,658,286.90";"39,658,286.90";"39,658,286.90";"33,709,543.87";"Uniwersytet Warmińsko-Mazurski w Olsztynie";"7393033097";"10-719";"Olsztyn";"Warmińsko-mazurskie";"Powiat m. Olsztyn";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-204/09-16";"Nie";"2010/12/06";"2010/12/06"
